歌单名称,播放量,歌单链接,用户名称,用户链接
8090后专属怀旧老歌合集（华语乐坛高光）,7102万,https://music.163.com/#/playlist?id=7340334755,人有相思寄明月z,https://music.163.com/#/user/home?id=3880144703
老歌最经典 旧人最难叙,1487万,https://music.163.com/#/playlist?id=5019795031,还不够远-,https://music.163.com/#/user/home?id=406344658
80、90怀旧经典老歌,1452万,https://music.163.com/#/playlist?id=366271648,music丶柳,https://music.163.com/#/user/home?id=93869490
72首经典英文歌曲,1251万,https://music.163.com/#/playlist?id=11586749,KoyoTa,https://music.163.com/#/user/home?id=3082716
他们老。江湖死。,1237万,https://music.163.com/#/playlist?id=32040661,螺丝起子,https://music.163.com/#/user/home?id=19299028
【怀旧】老歌终究经得起时间推敲,1154万,https://music.163.com/#/playlist?id=570313365,猛虎存心,https://music.163.com/#/user/home?id=118257962
100首8090年代的经典老歌,1075万,https://music.163.com/#/playlist?id=5166118187,chelife,https://music.163.com/#/user/home?id=443893337
【怀旧经典】向7080年代经典致敬,951万,https://music.163.com/#/playlist?id=2148882530,懵懂月明,https://music.163.com/#/user/home?id=1322601331
【武侠】刀剑如梦江湖路，倩女幽魂人间道,941万,https://music.163.com/#/playlist?id=954672918,夜无虞,https://music.163.com/#/user/home?id=39320160
100首经典怀旧金曲,686万,https://music.163.com/#/playlist?id=4990469,强壮的病猫,https://music.163.com/#/user/home?id=380024
华语乐坛诸神之战，神仙打架的年代！,656万,https://music.163.com/#/playlist?id=7454750012,音乐想象家,https://music.163.com/#/user/home?id=252393521
【80年代】经典老歌｜你听过几首？,617万,https://music.163.com/#/playlist?id=6728335761,火箭干部1,https://music.163.com/#/user/home?id=1717638922
90后80后70后回忆经典老歌,589万,https://music.163.com/#/playlist?id=967654996,忧神音乐,https://music.163.com/#/user/home?id=624809612
当年烂大街的舞曲,562万,https://music.163.com/#/playlist?id=102098124,MacMix,https://music.163.com/#/user/home?id=88595391
经典老牌子歌曲,479万,https://music.163.com/#/playlist?id=543054759,帐号已注销,https://music.163.com/#/user/home?id=41460175
『8 0、9 0后回忆杀』超好听非主流伤感歌曲,412万,https://music.163.com/#/playlist?id=3018135711,音乐想象家,https://music.163.com/#/user/home?id=252393521
怀旧金曲 经典老歌,396万,https://music.163.com/#/playlist?id=86861264,帐号已注销,https://music.163.com/#/user/home?id=46382084
宝丽金、经典粤语~百年经典,390万,https://music.163.com/#/playlist?id=320881799,Eddy_唐人,https://music.163.com/#/user/home?id=254577771
怀旧经典，倾听老歌。,390万,https://music.163.com/#/playlist?id=33352854,Jstweb,https://music.163.com/#/user/home?id=398144
你之所以是王菲,366万,https://music.163.com/#/playlist?id=20577629,丁炜,https://music.163.com/#/user/home?id=131672
『独特品味』2023新歌飙升最快推荐,349万,https://music.163.com/#/playlist?id=8399802656,落曰余辉照射,https://music.163.com/#/user/home?id=1381446357
90年代港台怀旧经典老歌一首歌一个故事,342万,https://music.163.com/#/playlist?id=2810961929,约翰德小炒肉,https://music.163.com/#/user/home?id=580821822
80.90古装剧主题曲,333万,https://music.163.com/#/playlist?id=93057153,一326一,https://music.163.com/#/user/home?id=75823771
HIFI 精选人声试音dts发烧歌,329万,https://music.163.com/#/playlist?id=2122946870,DJHAIOU,https://music.163.com/#/user/home?id=120417127
火影忍者OP ED顺序排列 1--终章,316万,https://music.163.com/#/playlist?id=140102670,能听指挥,https://music.163.com/#/user/home?id=102067165
回忆里的20年华语经典老歌100首,314万,https://music.163.com/#/playlist?id=543006653,你看到我的假笑了吗,https://music.163.com/#/user/home?id=375467497
那些年TVB剧中的经典配乐,301万,https://music.163.com/#/playlist?id=29936274,不可不笑,https://music.163.com/#/user/home?id=15509537
真武侠，永不死。,297万,https://music.163.com/#/playlist?id=39879940,Momolog,https://music.163.com/#/user/home?id=18001514
80年代的经典荷东(Disco),292万,https://music.163.com/#/playlist?id=107502180,网益漫步者,https://music.163.com/#/user/home?id=13832479
90年代经典歌曲，回忆一代人的故事,288万,https://music.163.com/#/playlist?id=467191909,北往的思雁,https://music.163.com/#/user/home?id=255228134
出生于1985—1995年的人记忆深处的旋律,282万,https://music.163.com/#/playlist?id=472730790,对爱情莫名的恐惧,https://music.163.com/#/user/home?id=326360631
王菲那些年歌全集,274万,https://music.163.com/#/playlist?id=18811091,苏苏的苏,https://music.163.com/#/user/home?id=3596690
华语乐坛神仙打架8090后经典老歌,262万,https://music.163.com/#/playlist?id=6720502469,王哈哈哈哈大魔王,https://music.163.com/#/user/home?id=95132556
70后80后经典老歌，国语流行金曲记忆！,260万,https://music.163.com/#/playlist?id=720833877,青春梦享,https://music.163.com/#/user/home?id=90529133
1000首华语乐坛神仙打架8090后经典老歌,253万,https://music.163.com/#/playlist?id=7746675783,一只薛定谔的小猫咪,https://music.163.com/#/user/home?id=563913813
即使不懂粤语仍然觉得好听的粤语歌精选,247万,https://music.163.com/#/playlist?id=70391449,放开那只山炮,https://music.163.com/#/user/home?id=18580859
80 90年代记忆·经典老歌,242万,https://music.163.com/#/playlist?id=7443299700,一人众天WQ莣情,https://music.163.com/#/user/home?id=647695007
『回忆杀』8090重温经典老歌,227万,https://music.163.com/#/playlist?id=7418532771,傅稀飯,https://music.163.com/#/user/home?id=302358159
张学友，Live版的低沉浑厚,224万,https://music.163.com/#/playlist?id=1487412,大爱李香兰,https://music.163.com/#/user/home?id=1218873
金典老歌，回忆那逝去的时光,224万,https://music.163.com/#/playlist?id=24651124,_九_七,https://music.163.com/#/user/home?id=12856281
70后80后90后♥♛♥经典老歌,218万,https://music.163.com/#/playlist?id=3046992723,_almas_007,https://music.163.com/#/user/home?id=2020767126
【香港粤语】精选百首经典老歌,213万,https://music.163.com/#/playlist?id=2951632309,Tehmasp,https://music.163.com/#/user/home?id=397414255
经典老歌 好听极了,212万,https://music.163.com/#/playlist?id=2435657776,乔明XG,https://music.163.com/#/user/home?id=346916653
经典老歌丨带你回忆8090年代的温情,211万,https://music.163.com/#/playlist?id=8433729421,爱吃汤圆的汤米呀,https://music.163.com/#/user/home?id=6476378123
90后喜欢的7080年代经典老歌，听到耳朵怀孕,207万,https://music.163.com/#/playlist?id=2081858574,微课mg动画制作-抖音motionGO,https://music.163.com/#/user/home?id=972802
蔡依林的慢节奏,203万,https://music.163.com/#/playlist?id=37545054,Fillet,https://music.163.com/#/user/home?id=16312670
请回答1988主题曲和插曲,199万,https://music.163.com/#/playlist?id=1992411423,LAUJIANG-,https://music.163.com/#/user/home?id=333752027
有没有一首歌，瞬间勾起回忆,198万,https://music.163.com/#/playlist?id=461033728,污妖汪汪汪丶,https://music.163.com/#/user/home?id=318191983
经典老歌丨8090百首珍藏丨听不厌,197万,https://music.163.com/#/playlist?id=3194673605,林等等丶,https://music.163.com/#/user/home?id=113714518
【精选】80、90怀旧经典老歌（持更）,197万,https://music.163.com/#/playlist?id=7610349679,情感交流所,https://music.163.com/#/user/home?id=8004481913
大张伟慢歌选集,196万,https://music.163.com/#/playlist?id=326119561,阿珩啊,https://music.163.com/#/user/home?id=79387682
8090的歌｜回不去的都叫青春,195万,https://music.163.com/#/playlist?id=2890334938,晓波Eris,https://music.163.com/#/user/home?id=268603213
你想不到这些原来都是日文歌！,191万,https://music.163.com/#/playlist?id=50135282,Van小宝,https://music.163.com/#/user/home?id=46951915
吴孟达：谐星陨落，笑留人间。,190万,https://music.163.com/#/playlist?id=6637191685,DarsilKuma,https://music.163.com/#/user/home?id=134472175
老歌珍藏：磁带里播放的80后青春,184万,https://music.163.com/#/playlist?id=7018180087,不二叔情感翻译官,https://music.163.com/#/user/home?id=556046321
怀旧复古:80.90年代摇滚，迪斯科，流行音乐,179万,https://music.163.com/#/playlist?id=422290658,窗边的土豆芽儿,https://music.163.com/#/user/home?id=67241831
老歌翻唱 :这么好听的老歌翻唱怎么没人推荐,174万,https://music.163.com/#/playlist?id=5379844239,心灵可否安静,https://music.163.com/#/user/home?id=296872912
歌老情未老，人老心未老、,168万,https://music.163.com/#/playlist?id=116902278,杂的歌,https://music.163.com/#/user/home?id=69424610
黄景行SuperDino‼️【国人骄傲】,165万,https://music.163.com/#/playlist?id=307748663,FreedomVin杨文智,https://music.163.com/#/user/home?id=75454483
柳州包厢DJ文化,163万,https://music.163.com/#/playlist?id=6919582953,林峰Kin9,https://music.163.com/#/user/home?id=472490051
经典老歌❤超好听陪伴7080后的成长记忆,162万,https://music.163.com/#/playlist?id=377095723,風聲byeyouth,https://music.163.com/#/user/home?id=35009240
任贤齐老歌精选,159万,https://music.163.com/#/playlist?id=2285337600,苏歌的情歌,https://music.163.com/#/user/home?id=70376886
1000首华语乐坛神仙打架8090后经典老歌,158万,https://music.163.com/#/playlist?id=7316825192,北海旧梦碎人i,https://music.163.com/#/user/home?id=343712208
【电音】听了会上瘾的复古Synthwave,152万,https://music.163.com/#/playlist?id=2676553013,风之君临,https://music.163.com/#/user/home?id=7803091
Kǐzǐlgǔl♥♢♛♢♥PǔrǎYdǔ,150万,https://music.163.com/#/playlist?id=3123216987,_almas_007,https://music.163.com/#/user/home?id=2020767126
朴师傅是一棵大树,149万,https://music.163.com/#/playlist?id=94509217,啊哦霍,https://music.163.com/#/user/home?id=2710261
不一样的张学友,147万,https://music.163.com/#/playlist?id=62687354,范范范了个范,https://music.163.com/#/user/home?id=60036296
80后经典老歌（然大大持续更新）,145万,https://music.163.com/#/playlist?id=2233403909,wuli然然然然,https://music.163.com/#/user/home?id=530006141
香港经典粤语老歌,144万,https://music.163.com/#/playlist?id=138458310,仆街你咪走,https://music.163.com/#/user/home?id=77572349
日系‖深情男声 如有来世，愿你我再次相遇,144万,https://music.163.com/#/playlist?id=456223557,Areal肥阳,https://music.163.com/#/user/home?id=88644734
