歌单名称,播放量,歌单链接,用户名称,用户链接
日系/无前奏：开口即跪 一秒沦陷,6663万,https://music.163.com/#/playlist?id=2105681544,chaz1,https://music.163.com/#/user/home?id=129377889
"〖唯美纯音〗不需要歌词,也可以打动你的心",6058万,https://music.163.com/#/playlist?id=112875926,樱井莜木,https://music.163.com/#/user/home?id=78905899
『耳机福利』左右耳已跪,3766万,https://music.163.com/#/playlist?id=108384918,舌尖上的洛天依,https://music.163.com/#/user/home?id=63512723
『那些评论破万的日文歌』更新中,3594万,https://music.163.com/#/playlist?id=2196947449,柒月的布偶猫,https://music.163.com/#/user/home?id=269677190
超好听の二次元日文歌,3280万,https://music.163.com/#/playlist?id=443797814,小仙女七七酱,https://music.163.com/#/user/home?id=283230319
『1963-至今』日本经典动漫音乐大盘点,3026万,https://music.163.com/#/playlist?id=158010361,佐仓小小千代,https://music.163.com/#/user/home?id=81635197
适合写作业时随机播放的BGM,2979万,https://music.163.com/#/playlist?id=2507890500,桉匕,https://music.163.com/#/user/home?id=1547037558
日本人气唱见，每人一首良曲,2858万,https://music.163.com/#/playlist?id=94284266,日代千鹤,https://music.163.com/#/user/home?id=64004173
『静心纯音』钢琴的哼唱，让世界安静下来,2287万,https://music.163.com/#/playlist?id=469708961,maaaaaaaaaad,https://music.163.com/#/user/home?id=135010123
日系温柔女声| 沐浴在歌声中的暖阳下,2155万,https://music.163.com/#/playlist?id=2088799380,chaz1,https://music.163.com/#/user/home?id=129377889
【日系纯音向】夏树眠 蝉在叫 人坏掉❤️,2122万,https://music.163.com/#/playlist?id=77629049,Mim1ao,https://music.163.com/#/user/home?id=63574988
日语｜无可救药的孤独症患者,1885万,https://music.163.com/#/playlist?id=984196486,PurionPurion,https://music.163.com/#/user/home?id=62696289
睡觉听的纯音乐（与君梦中相会）,1863万,https://music.163.com/#/playlist?id=2184703406,岩酱岩酱岩酱,https://music.163.com/#/user/home?id=436859129
日语歌单曲循环中毒系列,1704万,https://music.163.com/#/playlist?id=724106934,uddkdm,https://music.163.com/#/user/home?id=483464191
日系丨高音炸裂！音量已无法降低,1534万,https://music.163.com/#/playlist?id=998121738,chaz1,https://music.163.com/#/user/home?id=129377889
