歌单名称,播放量,歌单链接,用户名称,用户链接
流行点唱机 | 2010年代华语热播 每日30首,6699万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
KTV麦霸必点歌曲,5927万,https://music.163.com/#/playlist?id=98317854,Angel_Youngyue,https://music.163.com/#/user/home?id=83402276
时光点唱机 | 经典老歌带你重回90年代 每日30首,4868万,https://music.163.com/#/playlist?id=2945028696,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
青春点唱机 | 你学生时代的MP3 每日更新30首,4369万,https://music.163.com/#/playlist?id=2968527373,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
叱咤樂壇 的流行-粵耳旋律,4183万,https://music.163.com/#/playlist?id=133619338,哥哥姓劉,https://music.163.com/#/user/home?id=59836871
KTV女生必点歌曲【惊艳】,2825万,https://music.163.com/#/playlist?id=548495455,做他手心里的宝,https://music.163.com/#/user/home?id=366078915
KTV男生必备300首,2646万,https://music.163.com/#/playlist?id=368214813,柠檬我不萌yi,https://music.163.com/#/user/home?id=134668397
KTV必点歌曲【麦霸修炼歌单】,1177万,https://music.163.com/#/playlist?id=743154280,y思忆,https://music.163.com/#/user/home?id=318444956
如何在KTV唱哭全场,1069万,https://music.163.com/#/playlist?id=714049029,阿杰进化论,https://music.163.com/#/user/home?id=36066613
【KTV必点】麦霸终结者！,871万,https://music.163.com/#/playlist?id=5393321376,a丶安逸,https://music.163.com/#/user/home?id=1628490861
异域风情摇摆至上,865万,https://music.163.com/#/playlist?id=2651819450,伤痕我心z,https://music.163.com/#/user/home?id=538163745
[华语]开嗓就能hold住全场的KTV神曲,852万,https://music.163.com/#/playlist?id=722172893,一切_随遇而安,https://music.163.com/#/user/home?id=311385356
❥2022精选DJ ✰ XAX DJ ✰,836万,https://music.163.com/#/playlist?id=826946723,Abdu-FM罒,https://music.163.com/#/user/home?id=474773477
KTV必点歌曲：深情伤感老歌，每首都有回忆,797万,https://music.163.com/#/playlist?id=5066873486,侠侣亲子-许天准,https://music.163.com/#/user/home?id=82706946
KTV必点粤语50首,760万,https://music.163.com/#/playlist?id=2930775481,枫jackie,https://music.163.com/#/user/home?id=72699610
Hold住全场的KTV炫技良曲/华语篇,760万,https://music.163.com/#/playlist?id=126445843,格调时代,https://music.163.com/#/user/home?id=17931035
中文DJ·咚鼓版·弹鼓版·烟嗓版（Remix）,746万,https://music.163.com/#/playlist?id=2729985567,阳轩o,https://music.163.com/#/user/home?id=1472582424
【KTV】学几首不落俗套的歌,732万,https://music.163.com/#/playlist?id=446829982,螺丝起子,https://music.163.com/#/user/home?id=19299028
KTV男生必点歌曲，学会你就是麦霸,715万,https://music.163.com/#/playlist?id=2334786803,CHENGMEIYING,https://music.163.com/#/user/home?id=1472963469
女生KTV必点歌曲,679万,https://music.163.com/#/playlist?id=2023025745,學會笑著搖頭拒絕自己喜歡的東西,https://music.163.com/#/user/home?id=536588649
DJ神曲、车载必备,629万,https://music.163.com/#/playlist?id=2992777697,小小帅_,https://music.163.com/#/user/home?id=1662801258
热歌推荐[网易热歌，陪你过炙热的夏天。],610万,https://music.163.com/#/playlist?id=581943469,捧花XI,https://music.163.com/#/user/home?id=363453987
奥斯卡酒吧蹦迪专用曲_,533万,https://music.163.com/#/playlist?id=2571330872,澔釗,https://music.163.com/#/user/home?id=530632539
KTV热歌，九零后麦霸点唱指南,522万,https://music.163.com/#/playlist?id=7430064260,哪首会让你触景生情,https://music.163.com/#/user/home?id=1468568012
劲爆 <DJ中文歌曲> 很火,513万,https://music.163.com/#/playlist?id=5449091115,昼夜修仙,https://music.163.com/#/user/home?id=254748620
华语情歌° | 最痴情的男人像海洋,511万,https://music.163.com/#/playlist?id=2153717858,鮭魚先森,https://music.163.com/#/user/home?id=9890112
过年回家如何在KTV里笑傲全场,492万,https://music.163.com/#/playlist?id=2088435880,跟着我左手一只鸡右手一只鸭,https://music.163.com/#/user/home?id=41681569
百首流行 · 00后麦霸速成宝典,468万,https://music.163.com/#/playlist?id=5057152425,十四并,https://music.163.com/#/user/home?id=1769449316
KTV必点歌曲,463万,https://music.163.com/#/playlist?id=2310422052,西瓜要卖萌,https://music.163.com/#/user/home?id=307442873
紅磡體育館-(Live) 粵耳現場,460万,https://music.163.com/#/playlist?id=394652785,哥哥姓劉,https://music.163.com/#/user/home?id=59836871
麦霸练歌房 | KTV必点华语金曲精选,430万,https://music.163.com/#/playlist?id=2790812763,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
[狂野节奏] 电音之王,430万,https://music.163.com/#/playlist?id=2012833269,人生如戏_YudY,https://music.163.com/#/user/home?id=565677435
ღ很嗨很燃的英文歌remix版‖高速开车蹦迪DJ,421万,https://music.163.com/#/playlist?id=4976089115,沐玢儿,https://music.163.com/#/user/home?id=1735121054
劲爆 <DJ中文歌曲> 很火,418万,https://music.163.com/#/playlist?id=4898451242,陈彦俊爱,https://music.163.com/#/user/home?id=1879325992
华语｜字不成书，纸短情长,382万,https://music.163.com/#/playlist?id=487845197,杉茶先生,https://music.163.com/#/user/home?id=48115956
KTV必点的耳熟能详的歌曲：一人一首成名曲,361万,https://music.163.com/#/playlist?id=145803044,顶会之友,https://music.163.com/#/user/home?id=50352391
╭☞•́新疆Dj✪╭☞KuRax✪,332万,https://music.163.com/#/playlist?id=972418435,KuRax5115,https://music.163.com/#/user/home?id=290706703
再也不用担心去ktv没英文歌唱！,284万,https://music.163.com/#/playlist?id=759220398,qhuiya,https://music.163.com/#/user/home?id=347312827
2023网易云音乐云新歌推荐,276万,https://music.163.com/#/playlist?id=2978312974,小杜-媒体,https://music.163.com/#/user/home?id=1416029823
「麦霸必修」KTV里的华语金曲,261万,https://music.163.com/#/playlist?id=5031153385,MusicalEternal,https://music.163.com/#/user/home?id=3275306490
AnwarTurak安外尔.图如克,251万,https://music.163.com/#/playlist?id=5366610224,DJ__SARAYWAZ,https://music.163.com/#/user/home?id=1828817694
KTV女生必点歌曲【易学】,246万,https://music.163.com/#/playlist?id=2094503027,做他手心里的宝,https://music.163.com/#/user/home?id=366078915
XoH NaHxiLaR,239万,https://music.163.com/#/playlist?id=4944591870,Mutallip-FM,https://music.163.com/#/user/home?id=340649583
KTV必唱的80/90年代金典华语歌曲,224万,https://music.163.com/#/playlist?id=2686377235,时光隧道x,https://music.163.com/#/user/home?id=359011704
适合女生唱的100首歌,221万,https://music.163.com/#/playlist?id=74996072,沐子沐,https://music.163.com/#/user/home?id=64966371
KTV必点歌曲,220万,https://music.163.com/#/playlist?id=2562234350,安楠大叔,https://music.163.com/#/user/home?id=620617356
男生ktv必点歌曲100首,218万,https://music.163.com/#/playlist?id=2952086726,侠侣亲子-许天准,https://music.163.com/#/user/home?id=82706946
清风Dj英文Dj 车载音乐 MC大哥远,213万,https://music.163.com/#/playlist?id=5055775299,渴死的鱼798,https://music.163.com/#/user/home?id=416843266
社会人专用歌单，大佬里面请！,209万,https://music.163.com/#/playlist?id=6936664565,StriveToAchieve,https://music.163.com/#/user/home?id=4906232275
80后｜回味经典老歌，再续当年情,203万,https://music.163.com/#/playlist?id=7677040115,贝克克y,https://music.163.com/#/user/home?id=1489286516
Karaoke_伴奏精选集,201万,https://music.163.com/#/playlist?id=401171112,艾克Ekber,https://music.163.com/#/user/home?id=79224304
电驾|车载|抖腿|必备！（欢迎巨友）¿,190万,https://music.163.com/#/playlist?id=2756020962,一个唬妹儿,https://music.163.com/#/user/home?id=1669386637
那些年经典歌曲393首,171万,https://music.163.com/#/playlist?id=330834012,农户三拳,https://music.163.com/#/user/home?id=250504795
经典粤语天籁之音,164万,https://music.163.com/#/playlist?id=91718951,这娃有点彪,https://music.163.com/#/user/home?id=49555445
KTV【惊艳全场】必点歌曲（女声）,164万,https://music.163.com/#/playlist?id=588057555,古道茶马,https://music.163.com/#/user/home?id=361569397
Gulamjan Yakup,164万,https://music.163.com/#/playlist?id=750646203,Alfi8833,https://music.163.com/#/user/home?id=487422935
2023超级好听的网络流行歌曲,163万,https://music.163.com/#/playlist?id=7544519500,微雨染尘埃,https://music.163.com/#/user/home?id=7883320608
〖MC 喊麦 压声 另类 合集〗,159万,https://music.163.com/#/playlist?id=5473085735,渡劫_PnmN,https://music.163.com/#/user/home?id=3310957044
KTV里的华语金曲「十年」,155万,https://music.163.com/#/playlist?id=8480583812,rapper1314,https://music.163.com/#/user/home?id=6476384012
-【乌孜别克歌曲**】-❤️,151万,https://music.163.com/#/playlist?id=641721983,热古丽-,https://music.163.com/#/user/home?id=432757523
女生ktv必点歌曲100首,148万,https://music.163.com/#/playlist?id=2952119460,侠侣亲子-许天准,https://music.163.com/#/user/home?id=82706946
你是我心底的一首歌,148万,https://music.163.com/#/playlist?id=114606798,仝兀谙亓,https://music.163.com/#/user/home?id=583471
车载DJ：核爆神曲瞬间上头,146万,https://music.163.com/#/playlist?id=6928971595,StriveToAchieve,https://music.163.com/#/user/home?id=4906232275
我是歌手-全集,146万,https://music.163.com/#/playlist?id=169371506,HackerChou,https://music.163.com/#/user/home?id=3139468
先上DJ先上DJ【土到极致就是嗨】,144万,https://music.163.com/#/playlist?id=7048692011,丨风止意难平,https://music.163.com/#/user/home?id=1939813667
Dj ———艾克拜尔520,141万,https://music.163.com/#/playlist?id=2972943685,Dj艾克拜尔520,https://music.163.com/#/user/home?id=1533370473
男女对唱♪自从遇见你，往后余生都是你,140万,https://music.163.com/#/playlist?id=2365809603,--苏麻离青--,https://music.163.com/#/user/home?id=93983257
AlimjanHasan『阿里木江-艾山』,137万,https://music.163.com/#/playlist?id=2959205022,迪力亚尔江-,https://music.163.com/#/user/home?id=1759927193
KTV女生必点歌曲【中低音】,136万,https://music.163.com/#/playlist?id=7551260264,做他手心里的宝,https://music.163.com/#/user/home?id=366078915
【KTV小众出彩】女生中音好唱又特别,134万,https://music.163.com/#/playlist?id=167561574,顺亦,https://music.163.com/#/user/home?id=82167201
单曲循环一整天,131万,https://music.163.com/#/playlist?id=6041299,音你而在,https://music.163.com/#/user/home?id=379239
百听不厌的粤语歌,130万,https://music.163.com/#/playlist?id=2885461908,Alex-Fox,https://music.163.com/#/user/home?id=1562272439
2021 在车上听的歌DJ,128万,https://music.163.com/#/playlist?id=6673579624,拜克尔_yigana,https://music.163.com/#/user/home?id=1808060383
精神小伙专用曲,128万,https://music.163.com/#/playlist?id=3197965462,Rere_cc,https://music.163.com/#/user/home?id=2038344316
KTV必点歌曲，学会你就是麦霸,128万,https://music.163.com/#/playlist?id=398164683,皮皮鲁_5,https://music.163.com/#/user/home?id=273710253
属于孙燕姿的慢情歌,126万,https://music.163.com/#/playlist?id=2761747119,孙燕姿要开演唱会了吗,https://music.163.com/#/user/home?id=1416700154
最经典丨那些压箱底的华语老歌,125万,https://music.163.com/#/playlist?id=7019389829,不二叔情感翻译官,https://music.163.com/#/user/home?id=556046321
王杰我是真的爱上你,124万,https://music.163.com/#/playlist?id=5055448772,PAP云成,https://music.163.com/#/user/home?id=1833615953
AhliyaR.0.2.6,121万,https://music.163.com/#/playlist?id=2959368697,Ahli_白龙,https://music.163.com/#/user/home?id=1705495383
华语KTV必点歌单,119万,https://music.163.com/#/playlist?id=79769344,我是阿铭阿,https://music.163.com/#/user/home?id=66381728
朴树、许巍、李健、郑钧、老狼、赵雷、陈粒,116万,https://music.163.com/#/playlist?id=7642234994,Hello丶心境,https://music.163.com/#/user/home?id=1343791081
KTV成为麦霸的练习曲（男声篇）,116万,https://music.163.com/#/playlist?id=44464260,吴雪龙,https://music.163.com/#/user/home?id=39468344
适合ktv女生唱的简单歌,114万,https://music.163.com/#/playlist?id=2087189334,长得很好看的女生,https://music.163.com/#/user/home?id=137367316
❥Abdu-Fm罒 ‖ UyghurUsul ✰,113万,https://music.163.com/#/playlist?id=802176413,Abdu-FM罒,https://music.163.com/#/user/home?id=474773477
『KTV点歌推荐』KTV精品点唱歌单（男生版）,111万,https://music.163.com/#/playlist?id=106704742,微雨至夏,https://music.163.com/#/user/home?id=16133655
那些耳熟能详听着能够唱起来的歌,110万,https://music.163.com/#/playlist?id=404683560,在下O0,https://music.163.com/#/user/home?id=137001215
华语K歌精选 | 循环太多遍之麦霸KTV必点曲,109万,https://music.163.com/#/playlist?id=646054894,华纳音乐,https://music.163.com/#/user/home?id=3425937
M乖就抱你_M——DJ歌曲,106万,https://music.163.com/#/playlist?id=2211477835,M乖就抱你_M,https://music.163.com/#/user/home?id=293118049
K歌一下，你就知道。,104万,https://music.163.com/#/playlist?id=42082511,格调时代,https://music.163.com/#/user/home?id=17931035
8090经典网络流行歌曲回忆伤感ktv老歌,99万,https://music.163.com/#/playlist?id=2673294560,请你喝冰露,https://music.163.com/#/user/home?id=111759338
青海摇-Style,97万,https://music.163.com/#/playlist?id=2072463551,亚里士多缺德0,https://music.163.com/#/user/home?id=390946358
KTV必点歌曲简单好听歌曲,96万,https://music.163.com/#/playlist?id=2894164435,兰姐LZ,https://music.163.com/#/user/home?id=1695673086
uyghur lirik nahxilar,94万,https://music.163.com/#/playlist?id=2459752270,塔依尔江tayirjan,https://music.163.com/#/user/home?id=1354989128
®️新疆 dj waz ❌2023年,92万,https://music.163.com/#/playlist?id=3044961552,艾尼先生EA7,https://music.163.com/#/user/home?id=1861624515
3D、5D、8D环绕（音乐在脑子里跳舞）,88万,https://music.163.com/#/playlist?id=2228353068,Nev_be,https://music.163.com/#/user/home?id=292662009
〖易唱〗女生KTV易唱歌曲,88万,https://music.163.com/#/playlist?id=2467855605,CHSCYERXI,https://music.163.com/#/user/home?id=612748724
Mattohti Sattar丨麦提托合提·萨塔尔,87万,https://music.163.com/#/playlist?id=5362585028,DJ__SARAYWAZ,https://music.163.com/#/user/home?id=1828817694
简单易学又经典的英文歌,87万,https://music.163.com/#/playlist?id=110641230,XoXo_欧美控,https://music.163.com/#/user/home?id=9920415
★♛⇔♚新款的音乐Dj-0223♚⇔♛☆,85万,https://music.163.com/#/playlist?id=768547203,依先生-E,https://music.163.com/#/user/home?id=396978878
适合男生唱的100首歌,82万,https://music.163.com/#/playlist?id=75245058,沐子沐,https://music.163.com/#/user/home?id=64966371
《粤動聽，越揪心》,82万,https://music.163.com/#/playlist?id=93397334,離群索居的貓一隻,https://music.163.com/#/user/home?id=51108199
吉他歌曲♀〖GiTtAr KuYLiRi〗,81万,https://music.163.com/#/playlist?id=3133695821,AbDu-1222,https://music.163.com/#/user/home?id=1667255645
刘德华99演唱会,80万,https://music.163.com/#/playlist?id=2027834223,TS89797295,https://music.163.com/#/user/home?id=45782500
KTV麦霸点歌指南｜华语金曲200首,79万,https://music.163.com/#/playlist?id=6646882239,这条平凡的狗_QwQ,https://music.163.com/#/user/home?id=109390499
2023帮你整理好听的歌（宝藏推荐）,77万,https://music.163.com/#/playlist?id=7544355575,微雨染尘埃,https://music.163.com/#/user/home?id=7883320608
KTV男生专场300首（已更新）,75万,https://music.163.com/#/playlist?id=325146854,寒枫青湘,https://music.163.com/#/user/home?id=256805023
华语宝藏库，总有首歌词会直达你的心底,74万,https://music.163.com/#/playlist?id=7430057221,哪首会让你触景生情,https://music.163.com/#/user/home?id=1468568012
经典慢摇DJ串烧歌曲，,73万,https://music.163.com/#/playlist?id=2941527399,遥遥身似客,https://music.163.com/#/user/home?id=1674524513
J-Hiphop｜日本嘻哈Mv大赏,71万,https://music.163.com/#/playlist?id=690111464,JediMindTricks,https://music.163.com/#/user/home?id=17647877
苏喂 苏喂 顶级DJ酒吧喊麦歌曲,69万,https://music.163.com/#/playlist?id=568458960,好网名都被别人用掉了,https://music.163.com/#/user/home?id=122058604
"王力宏歌曲全辑,",69万,https://music.163.com/#/playlist?id=923109695,睁开双眼每一天,https://music.163.com/#/user/home?id=18097421
劲爆DJ嗨曲大串烧，中英文大合集,64万,https://music.163.com/#/playlist?id=37475003,何苦计划未来,https://music.163.com/#/user/home?id=38244836
男'中低音'KTV必点,64万,https://music.163.com/#/playlist?id=72392550,樊丶人,https://music.163.com/#/user/home?id=40271133
如何在KTV出人头地,64万,https://music.163.com/#/playlist?id=1939341,小石榴不错哟,https://music.163.com/#/user/home?id=58005
谁唱了KTV前50首歌,62万,https://music.163.com/#/playlist?id=1915553,动物,https://music.163.com/#/user/home?id=59078
男人的KTV  ,62万,https://music.163.com/#/playlist?id=2063901,下午茶style,https://music.163.com/#/user/home?id=1367961
90年代的神仙打架&KTV歌单预备役,61万,https://music.163.com/#/playlist?id=2542687853,憨憨是只口水基,https://music.163.com/#/user/home?id=478830660
如果你也喜欢陈奕迅,60万,https://music.163.com/#/playlist?id=88196842,中性笔,https://music.163.com/#/user/home?id=64608027
日语精选：日本KTV中的高人气优质女声,60万,https://music.163.com/#/playlist?id=2150668313,姐川,https://music.163.com/#/user/home?id=268571001
KTV催泪篇｜直击你心底的脆弱,60万,https://music.163.com/#/playlist?id=6720105676,空气很颓废,https://music.163.com/#/user/home?id=402524626
200首歌让你玩转KTV（国语）,60万,https://music.163.com/#/playlist?id=13537435,Wellsy,https://music.163.com/#/user/home?id=15387063
"DJ「车载劲爆,兜风专用 ,顶级夜场嗨曲]✌️",59万,https://music.163.com/#/playlist?id=2205851993,Elzat埃黎閘,https://music.163.com/#/user/home?id=406421625
【神权Music】,59万,https://music.163.com/#/playlist?id=832452618,7神电音,https://music.163.com/#/user/home?id=439050989
大连奥斯卡酒吧1月新歌单,58万,https://music.163.com/#/playlist?id=2022365412,邹奇i,https://music.163.com/#/user/home?id=493120219
Rukiya Ahmat/流行歌曲集/茹克娅艾合买提♪ ,57万,https://music.163.com/#/playlist?id=5355864994,DJ__SARAYWAZ,https://music.163.com/#/user/home?id=1828817694
唱K秒杀全场！珍藏女生KTV必唱华语精选女声,57万,https://music.163.com/#/playlist?id=2013106081,泡子姐姐,https://music.163.com/#/user/home?id=90434820
让女生成为麦霸的100首歌,57万,https://music.163.com/#/playlist?id=72954362,Enterprising_ZHP,https://music.163.com/#/user/home?id=60117194
金牌扶手来一群,56万,https://music.163.com/#/playlist?id=3028142098,旺仔牛b糖o,https://music.163.com/#/user/home?id=381100857
KTV必点歌曲（女生版）,56万,https://music.163.com/#/playlist?id=515767476,是大桔啊,https://music.163.com/#/user/home?id=43168063
KTV ' 迪吧—— 酒吧,56万,https://music.163.com/#/playlist?id=721391132,kp3838731,https://music.163.com/#/user/home?id=337889178
爸爸那辈的歌丶,55万,https://music.163.com/#/playlist?id=61069982,吾名为机智丶,https://music.163.com/#/user/home?id=31764651
出门浪 | 你绝对需要的KTV金曲指南,54万,https://music.163.com/#/playlist?id=2438551749,云音乐VIP,https://music.163.com/#/user/home?id=1452176465
ktv女生 （KTV女生流行歌曲）,50万,https://music.163.com/#/playlist?id=888653335,水晶姑凉,https://music.163.com/#/user/home?id=295042341
循环到心痛的苦情歌,49万,https://music.163.com/#/playlist?id=731939122,别动我的小智障,https://music.163.com/#/user/home?id=115400250
失恋总需要拿一首歌，边哭边听！,49万,https://music.163.com/#/playlist?id=6724578144,海的小公主,https://music.163.com/#/user/home?id=1932193866
2020 4D环绕超重低音车载DJ精选,49万,https://music.163.com/#/playlist?id=2250079601,刘波必活,https://music.163.com/#/user/home?id=624053808
2023超级好听的私藏歌曲,48万,https://music.163.com/#/playlist?id=7544385478,微雨染尘埃,https://music.163.com/#/user/home?id=7883320608
一个天秤女孩子的歌单,46万,https://music.163.com/#/playlist?id=2354873345,脸红诶-,https://music.163.com/#/user/home?id=481303203
车载要必须的外歌频率,46万,https://music.163.com/#/playlist?id=753042163,新疆JaNaN,https://music.163.com/#/user/home?id=247158640
文艺复兴 精神 牛马 喊麦 DJ,45万,https://music.163.com/#/playlist?id=6737719321,网易颜儿酱-,https://music.163.com/#/user/home?id=2094752409
KTV必点金曲,45万,https://music.163.com/#/playlist?id=42549126,吴雪龙,https://music.163.com/#/user/home?id=39468344
适合女生唱的歌,45万,https://music.163.com/#/playlist?id=109350889,长尾巴de喵喵,https://music.163.com/#/user/home?id=64957754
一个天蝎座的听歌列表,44万,https://music.163.com/#/playlist?id=7429976931,你的宗达小朋友,https://music.163.com/#/user/home?id=1717074285
飙不上高音的女生去KTV都唱什么歌？,44万,https://music.163.com/#/playlist?id=891882796,加贝尼,https://music.163.com/#/user/home?id=571885675
唱这些歌让你成为KTV麦霸,44万,https://music.163.com/#/playlist?id=541294014,BOOZ音乐,https://music.163.com/#/user/home?id=347889556
KTV女生必备,44万,https://music.163.com/#/playlist?id=870676975,柠檬我不萌yi,https://music.163.com/#/user/home?id=134668397
简单易学的ktv中文说唱get√,42万,https://music.163.com/#/playlist?id=5006940422,股息率卡卡,https://music.163.com/#/user/home?id=1885564780
伴奏 _Banzu _Tagkax Muzika♚,42万,https://music.163.com/#/playlist?id=833292840,MamatleAhmat,https://music.163.com/#/user/home?id=412992202
『请使用，重音LIVE』感受车载.舞曲.,41万,https://music.163.com/#/playlist?id=530555830,沐童gege,https://music.163.com/#/user/home?id=326430415
百大电音合集(随时更）,40万,https://music.163.com/#/playlist?id=2447635432,by-星橙,https://music.163.com/#/user/home?id=1382221941
KTV成为麦霸的练习曲（粤语篇）,40万,https://music.163.com/#/playlist?id=64150598,吴雪龙,https://music.163.com/#/user/home?id=39468344
KTV麦霸精选曲。,40万,https://music.163.com/#/playlist?id=9136566,彭锋Finney,https://music.163.com/#/user/home?id=7444111
华语KTV伤感歌曲 这一刻心里是谁？,40万,https://music.163.com/#/playlist?id=309888457,_______暁100,https://music.163.com/#/user/home?id=42473432
老旧扬声器里的华语经典,39万,https://music.163.com/#/playlist?id=112300993,_SKY的自由,https://music.163.com/#/user/home?id=47705210
最新Moda Nahxilar ღ,39万,https://music.163.com/#/playlist?id=943725844,帐号已注销,https://music.163.com/#/user/home?id=325688034
KTV练习曲！,39万,https://music.163.com/#/playlist?id=17343248,WalkAlone丿,https://music.163.com/#/user/home?id=14061819
Bahtiyar Tayir拜合提亚尔,38万,https://music.163.com/#/playlist?id=4944125844,小杜-媒体,https://music.163.com/#/user/home?id=1416029823
gittar nahxisi,38万,https://music.163.com/#/playlist?id=2773411768,DjBiBaBo,https://music.163.com/#/user/home?id=1783945974
