歌单名称,播放量,歌单链接,用户名称,用户链接
一定听过的神级背景配乐。,3261万,https://music.163.com/#/playlist?id=7574799,悠米丸子酱,https://music.163.com/#/user/home?id=3598604
「史诗配乐」 这种音乐可以让你彻底沦陷,2318万,https://music.163.com/#/playlist?id=119955518,Llstener,https://music.163.com/#/user/home?id=84488124
「史诗配乐」用钢琴奏响华丽的悲壮史诗,1961万,https://music.163.com/#/playlist?id=107391599,Llstener,https://music.163.com/#/user/home?id=84488124
「造语歌」穿透灵魂 如唱诗般空灵唯美♪,1369万,https://music.163.com/#/playlist?id=382291922,我眼睛会发光i,https://music.163.com/#/user/home?id=2683821
V-hiphop唯舞,1360万,https://music.163.com/#/playlist?id=119285424,芋泥布丁啵啵茶_,https://music.163.com/#/user/home?id=71599702
【纯音·静读】清淡的旋律，适合读书♪,1264万,https://music.163.com/#/playlist?id=120909696,银月流明,https://music.163.com/#/user/home?id=73289548
【史诗作业御用】生命的温迹与脉搏【Beta】,957万,https://music.163.com/#/playlist?id=112466233,EndreSigma,https://music.163.com/#/user/home?id=66893542
天籁之音 | 此曲只应天上有☁️,919万,https://music.163.com/#/playlist?id=363654077,-解忧杂货店,https://music.163.com/#/user/home?id=93623014
一秒即燃的史诗音乐,899万,https://music.163.com/#/playlist?id=369472276,gray_sherry,https://music.163.com/#/user/home?id=49684962
「纯音」聆听深秋的寂静,824万,https://music.163.com/#/playlist?id=7058356187,Zeroizey,https://music.163.com/#/user/home?id=1909706318
史诗音乐中的天籁女声,796万,https://music.163.com/#/playlist?id=370233200,gray_sherry,https://music.163.com/#/user/home?id=49684962
【日系纯音】高能神曲的超神翻奏！,767万,https://music.163.com/#/playlist?id=107518039,Endless树海,https://music.163.com/#/user/home?id=44131353
大提琴唤醒灵魂❤️,747万,https://music.163.com/#/playlist?id=71328139,此在之欢愉,https://music.163.com/#/user/home?id=6190643
【纯音乐】甜甜的纯音乐♡,702万,https://music.163.com/#/playlist?id=2085001911,惯性晴朗,https://music.163.com/#/user/home?id=561574433
『呕心沥血』万首纯音乐大合集,680万,https://music.163.com/#/playlist?id=4861796976,峯哥牛逼,https://music.163.com/#/user/home?id=374024623
【清新节奏向】自用工作BGM 提神醒脑必备①,652万,https://music.163.com/#/playlist?id=11144836,白杉,https://music.163.com/#/user/home?id=2045336
只有你和時光知道我沉默的緣由,621万,https://music.163.com/#/playlist?id=996728953,与你赴海,https://music.163.com/#/user/home?id=269162413
『钢琴党福利』⚡慎入！会上瘾❤,619万,https://music.163.com/#/playlist?id=2639130658,云村百货,https://music.163.com/#/user/home?id=315527322
[史诗音乐]子魂魄兮为鬼雄。,611万,https://music.163.com/#/playlist?id=169658714,RobertDowney_Jr,https://music.163.com/#/user/home?id=56505532
『纯音』我知道你会来，所以我等。,557万,https://music.163.com/#/playlist?id=557581111,右心丶,https://music.163.com/#/user/home?id=267679591
Uyghurqa Moda Nahxilar流行歌曲⚡,536万,https://music.163.com/#/playlist?id=6797387055,帐号已注销,https://music.163.com/#/user/home?id=311061569
「史诗」聆听生命的呐喊，自由与和平的战歌,459万,https://music.163.com/#/playlist?id=325825843,Llstener,https://music.163.com/#/user/home?id=84488124
很喪的纯音乐 ❌❌❌,458万,https://music.163.com/#/playlist?id=2429070500,酷到炸丨,https://music.163.com/#/user/home?id=574578828
Dj 520 加快(Disco),450万,https://music.163.com/#/playlist?id=2506976594,小法Wv,https://music.163.com/#/user/home?id=114020461
「新古典」发呆时来一点纯音乐,443万,https://music.163.com/#/playlist?id=641446069,帐号已注销,https://music.163.com/#/user/home?id=279511069
For you 」,422万,https://music.163.com/#/playlist?id=2018083531,MikeyBunny,https://music.163.com/#/user/home?id=446515014
生而为人，我很抱歉,415万,https://music.163.com/#/playlist?id=586920960,行星客Planeter,https://music.163.com/#/user/home?id=383466015
♬放松‖舒压‖助眠♬ 和焦虑与伤心说BYEBYE,410万,https://music.163.com/#/playlist?id=7590131574,faziel,https://music.163.com/#/user/home?id=6479545293
|车载嗨曲 开车靠的是感觉，不是眼睛|,400万,https://music.163.com/#/playlist?id=6663802713,帐号已注销,https://music.163.com/#/user/home?id=4933835923
带着寒冷气息的新古典。,396万,https://music.163.com/#/playlist?id=2016568278,i9xx,https://music.163.com/#/user/home?id=120285748
「纯音乐」温馨美好，涤荡心扉的旋律,376万,https://music.163.com/#/playlist?id=5277313696,二岁的哆啦,https://music.163.com/#/user/home?id=136997015
极简主义钢琴作曲家-Ludovico Einaudi,373万,https://music.163.com/#/playlist?id=68918337,EPADEL,https://music.163.com/#/user/home?id=53227084
【 史诗级配乐 】气势磅礴 一听即燃 ♪,362万,https://music.163.com/#/playlist?id=384991749,Aeim_,https://music.163.com/#/user/home?id=114322645
LOUISVUITTON路易威登2021高定专柜,320万,https://music.163.com/#/playlist?id=613119331,CHENZLYFANCY,https://music.163.com/#/user/home?id=288648317
