歌单名称,播放量,歌单链接,用户名称,用户链接
动听灵魂乐 | 喜欢无需铺垫 几秒就能沉醉,2823万,https://music.163.com/#/playlist?id=2302684948,云音乐VIP,https://music.163.com/#/user/home?id=1452176465
华语节奏布鲁斯 | 情绪辗转反侧 雾气消散不开,1767万,https://music.163.com/#/playlist?id=6703233707,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语节奏布鲁斯 | 情绪辗转反侧 雾气消散不开,1767万,https://music.163.com/#/playlist?id=6703233707,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
R&B柔情男嗓丨萦绕心间的温暖细腻,1679万,https://music.163.com/#/playlist?id=912256078,折尓,https://music.163.com/#/user/home?id=545735040
微醺｜R&B 慵懒 浪漫氛围感,1375万,https://music.163.com/#/playlist?id=6948039584,-孤岛与海_,https://music.163.com/#/user/home?id=1289346856
『中文R&B』七分优雅 三分微醺 尽情享受,1346万,https://music.163.com/#/playlist?id=7718873660,AAA专业肯德基代吃小廖,https://music.163.com/#/user/home?id=2143240154
「中文R&B」极致的浪漫与温柔,1153万,https://music.163.com/#/playlist?id=7790464940,勇敢的机动战士RX-78-2,https://music.163.com/#/user/home?id=8119825473
今夜晚点睡 | 两个人的浪漫 单身不要听,1068万,https://music.163.com/#/playlist?id=5160019130,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
青春｜在最好的年纪，绽放自己,973万,https://music.163.com/#/playlist?id=2617430576,雾与晨的杂货店,https://music.163.com/#/user/home?id=103780233
R&B/Hip-Hop/旋律/氛围/节奏/律动,955万,https://music.163.com/#/playlist?id=6688006416,GoddysWizme伍子木,https://music.163.com/#/user/home?id=1936291068
宝藏R&B：那些挑动心弦的惊艳佳作,919万,https://music.163.com/#/playlist?id=3198941866,BAEK-J,https://music.163.com/#/user/home?id=288364640
中文R&B｜旋律与节奏交织 极致的浪漫,863万,https://music.163.com/#/playlist?id=7718933383,想要盒乐高,https://music.163.com/#/user/home?id=2121967476
五楼 酒吧老板的凌晨Funk（放克）,774万,https://music.163.com/#/playlist?id=947822437,KeyJame5,https://music.163.com/#/user/home?id=123155811
【中文/流行/R&B】微醺是我见你的门票,772万,https://music.163.com/#/playlist?id=8294817780,猴里贵好想吃豆腐花,https://music.163.com/#/user/home?id=339152569
R&B | 极致女声-或低沉性感或甜美柔情,590万,https://music.163.com/#/playlist?id=2584413932,口袋里的黑白键,https://music.163.com/#/user/home?id=129064025
R&B｜交织于慵懒声线中的撩人节奏,572万,https://music.163.com/#/playlist?id=2080022187,凯蒂肥狸,https://music.163.com/#/user/home?id=539282177
倾吐隐秘情绪｜百位R&B歌手精选,538万,https://music.163.com/#/playlist?id=2936255937,蜜糖男孩,https://music.163.com/#/user/home?id=1650191296
放克复古派对 | 在节奏中感受纯正的放克律动,485万,https://music.163.com/#/playlist?id=6654541946,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
放克复古派对 | 在节奏中感受纯正的放克律动,485万,https://music.163.com/#/playlist?id=6654541946,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
欧美R&B ·节奏布鲁斯的轻奢尾调,449万,https://music.163.com/#/playlist?id=4892178801,环球音乐国际部,https://music.163.com/#/user/home?id=422767
R&B/绝美迷醉旋律/Trapsoulr&b ,418万,https://music.163.com/#/playlist?id=4948060192,Vanessa-001,https://music.163.com/#/user/home?id=490520732
『R&B』温柔与慵懒交织的氤氲梦境,413万,https://music.163.com/#/playlist?id=5204401228,dontbsaditsalright,https://music.163.com/#/user/home?id=1342046526
微醺R&B/沁于身躯，浪漫共振,380万,https://music.163.com/#/playlist?id=2821240795,Yoyo_iii,https://music.163.com/#/user/home?id=1392022489
FUNK MUSIC ¡ 来自上个世纪的前卫节奏,342万,https://music.163.com/#/playlist?id=2528099093,帐号已注销,https://music.163.com/#/user/home?id=1418275670
"『New RnB』最新R&B味道,也许你都没有听过",339万,https://music.163.com/#/playlist?id=167966646,VEEZiE_TNSRNB,https://music.163.com/#/user/home?id=268087
华语R&B|和喜欢的人一起听歌就有双倍的快乐,332万,https://music.163.com/#/playlist?id=6697491422,暮色来迟,https://music.163.com/#/user/home?id=585547926
低饱和R&B：暧昧烂漫的气味☪,331万,https://music.163.com/#/playlist?id=7730888978,猫肉桑,https://music.163.com/#/user/home?id=1625629421
方大同 余佳运 R&B,322万,https://music.163.com/#/playlist?id=2305020473,Chen_jhao,https://music.163.com/#/user/home?id=572448452
R&B All Day｜中文 RNB,282万,https://music.163.com/#/playlist?id=3110480952,钰白_Soulgirl,https://music.163.com/#/user/home?id=32307543
复古FUNK节奏踩点,269万,https://music.163.com/#/playlist?id=1984008418,乔治先生的复古酒馆,https://music.163.com/#/user/home?id=249779989
R&B | 挽留于心的撩人节奏,265万,https://music.163.com/#/playlist?id=5209517392,生活委员,https://music.163.com/#/user/home?id=386162
旋律R&B｜梦幻、甜蜜、荡漾氛围的爱,264万,https://music.163.com/#/playlist?id=7422454990,Bzstrive,https://music.163.com/#/user/home?id=97515301
R&B | 撩动旋律，引入深邃眼眸,249万,https://music.163.com/#/playlist?id=5352120320,生活委员,https://music.163.com/#/user/home?id=386162
『R&B』迷幻的声线，灵魂在角落游离¶,241万,https://music.163.com/#/playlist?id=2760389790,生活委员,https://music.163.com/#/user/home?id=386162
R&B | 陶喆 颜人中 方大同 余佳运 郭顶,238万,https://music.163.com/#/playlist?id=5018071193,我不是栗子呐,https://music.163.com/#/user/home?id=1786444937
『R&B 精选』节奏音律中，总有适合的调调¶,228万,https://music.163.com/#/playlist?id=2033946678,生活委员,https://music.163.com/#/user/home?id=386162
Soul Funk R&B 1983,227万,https://music.163.com/#/playlist?id=3810431,DoggYRay,https://music.163.com/#/user/home?id=185124
［FUNK］爵士鼓与贝斯的节奏律动配合,216万,https://music.163.com/#/playlist?id=798022381,Melody_Groove,https://music.163.com/#/user/home?id=350556138
Chill°缱绻 R&B｜微醺加点浪漫的味道,212万,https://music.163.com/#/playlist?id=7526802340,-孤岛与海_,https://music.163.com/#/user/home?id=1289346856
欧美R&B 丨或甜或欲的女声,212万,https://music.163.com/#/playlist?id=7033356182,傲娇霉说你泰矮i,https://music.163.com/#/user/home?id=445499774
『懒节奏』氛围里你的清晰衬托了孤寂¶,210万,https://music.163.com/#/playlist?id=2142593775,生活委员,https://music.163.com/#/user/home?id=386162
冷门宝藏R&B｜100%极致氛围,199万,https://music.163.com/#/playlist?id=7849335657,Jaytrue666,https://music.163.com/#/user/home?id=644313446
「卧室氛围感」微醺音乐,196万,https://music.163.com/#/playlist?id=7210684924,心碎音乐电台,https://music.163.com/#/user/home?id=336542504
「R&B入耳即醉1.0」放松心情 缓解焦虑,191万,https://music.163.com/#/playlist?id=7274227578,RyanZ阿郑,https://music.163.com/#/user/home?id=253588685
『R&B and RnB』R&B巅峰时期作品大全,188万,https://music.163.com/#/playlist?id=168315852,VEEZiE_TNSRNB,https://music.163.com/#/user/home?id=268087
R&B SOUL深陷温柔 ,175万,https://music.163.com/#/playlist?id=5373116087,是贝拉阿,https://music.163.com/#/user/home?id=346930245
欧美 R&B ♫丨2 Moodz,167万,https://music.163.com/#/playlist?id=889570491,KFM981,https://music.163.com/#/user/home?id=37316751
迷幻R&B|空濛的幻化 沉迷这节奏,156万,https://music.163.com/#/playlist?id=501003107,Pop精灵,https://music.163.com/#/user/home?id=76757330
『旋律R&B』黄昏梦醒时分,151万,https://music.163.com/#/playlist?id=8435402651,山野Tom,https://music.163.com/#/user/home?id=2056360061
方大同 余佳运 卢广仲 陶喆 丁世光,150万,https://music.163.com/#/playlist?id=5254762765,洋哇煮,https://music.163.com/#/user/home?id=1375708851
R&B | 漫漫寒夜庇护所,150万,https://music.163.com/#/playlist?id=2536552183,CoolKidsShelter,https://music.163.com/#/user/home?id=59611179
R&B|温柔的转音，诉一剂良药,149万,https://music.163.com/#/playlist?id=5450289765,生活委员,https://music.163.com/#/user/home?id=386162
『R&B』氛围感/微醺/性感,149万,https://music.163.com/#/playlist?id=8435649848,山野Tom,https://music.163.com/#/user/home?id=2056360061
Chill R&B｜陷入耳机里的温柔旋律,148万,https://music.163.com/#/playlist?id=7629044664,_枫叶做的风铃,https://music.163.com/#/user/home?id=1546777331
微醺温柔/R&B旋律的浪漫,147万,https://music.163.com/#/playlist?id=7623827624,MAOYOUGG,https://music.163.com/#/user/home?id=392639702
欧美R&B ：耳畔划过爱情的轻语,147万,https://music.163.com/#/playlist?id=2769139351,蜜糖男孩,https://music.163.com/#/user/home?id=1650191296
『欧美』女性引领R&B之路,141万,https://music.163.com/#/playlist?id=2621766482,Siiegfried,https://music.163.com/#/user/home?id=135183384
『小众R&B』深陷温柔,141万,https://music.163.com/#/playlist?id=8435514501,山野Tom,https://music.163.com/#/user/home?id=2056360061
华语｜Soul/R&B/方大同/陶喆/余佳运/…,140万,https://music.163.com/#/playlist?id=7392583710,huiiaoo,https://music.163.com/#/user/home?id=1435950637
欧美R&B｜浸润梦幻氛氲上的浪漫底蕴,137万,https://music.163.com/#/playlist?id=7725010422,老威廉的米奇,https://music.163.com/#/user/home?id=1360325059
郭顶 陶喆 方大同 余佳运,134万,https://music.163.com/#/playlist?id=6711878397,来首音乐_,https://music.163.com/#/user/home?id=2122962482
RnB/SOUL「慵懒迷幻」,134万,https://music.163.com/#/playlist?id=2647728672,J3rVois,https://music.163.com/#/user/home?id=91860603
中文R&B/.喜欢慵懒的感觉,133万,https://music.163.com/#/playlist?id=6893864535,小雪dabest,https://music.163.com/#/user/home?id=1593522237
『Neo Soul』了解一下新感觉灵魂乐吧,133万,https://music.163.com/#/playlist?id=378139503,VEEZiE_TNSRNB,https://music.163.com/#/user/home?id=268087
沉浸式·沦陷『Chill R&B/Hip-Hop』,131万,https://music.163.com/#/playlist?id=6847741181,Jiu9Yo,https://music.163.com/#/user/home?id=602203026
• R&B对唱｜缱绻如风 柔情万种,128万,https://music.163.com/#/playlist?id=542465308,帐号已注销,https://music.163.com/#/user/home?id=304372573
专业修复您的耳朵-R&b,126万,https://music.163.com/#/playlist?id=2570474270,6k1Ms,https://music.163.com/#/user/home?id=348880395
灵 魂 之 声 | R&B S O U L,125万,https://music.163.com/#/playlist?id=47400879,雰川水也,https://music.163.com/#/user/home?id=739256
R&B/Soul/Trapsoul,125万,https://music.163.com/#/playlist?id=321722853,帐号已注销,https://music.163.com/#/user/home?id=72679568
