歌单名称,播放量,歌单链接,用户名称,用户链接
那些触动人心的女声民谣,4870万,https://music.163.com/#/playlist?id=388692880,LeooooooXX,https://music.163.com/#/user/home?id=111362698
【专属】你的歌单,3471万,https://music.163.com/#/playlist?id=2407258591,xiao字居中-,https://music.163.com/#/user/home?id=1530692759
来杯下午茶 | 限定暖心音乐饮品,2947万,https://music.163.com/#/playlist?id=2829827274,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
想开一家奶茶店这些歌列表循环就叫它&经历,2741万,https://music.163.com/#/playlist?id=518621467,酷酷的前男友,https://music.163.com/#/user/home?id=247939759
舒缓减压催眠曲（纯音乐）,2114万,https://music.163.com/#/playlist?id=2111010477,韩韩韩十一呀,https://music.163.com/#/user/home?id=511907206
『特异独行』 身处孤独却又无比浪漫,1985万,https://music.163.com/#/playlist?id=2006962924,小库v,https://music.163.com/#/user/home?id=88816279
超级无敌好听的英文歌.,1861万,https://music.163.com/#/playlist?id=2839184829,TXJS007,https://music.163.com/#/user/home?id=277458067
那些评论过万的华语金曲,1477万,https://music.163.com/#/playlist?id=2200725358,-火吻而生-,https://music.163.com/#/user/home?id=267426148
民谣 / 成长中的情绪共谋者,1422万,https://music.163.com/#/playlist?id=131368017,-云端有风,https://music.163.com/#/user/home?id=106819751
超级安利的午后必听英文歌曲,1414万,https://music.163.com/#/playlist?id=2727853808,TeMpT-y,https://music.163.com/#/user/home?id=89565205
Jessica Vu 美妆化妆背景音乐 BGM,1297万,https://music.163.com/#/playlist?id=988240556,mar90,https://music.163.com/#/user/home?id=350630309
超温柔的歌单,1059万,https://music.163.com/#/playlist?id=2374946636,想听过云雨,https://music.163.com/#/user/home?id=409480696
断眉Charlie Puth入坑必听系列，持续更新,1044万,https://music.163.com/#/playlist?id=479454345,yiyifleur,https://music.163.com/#/user/home?id=279630176
西西弗书店音乐精选,969万,https://music.163.com/#/playlist?id=1995538813,军师爱喝马黛茶,https://music.163.com/#/user/home?id=124217938
Jazz 爵士乐 百听不厌,893万,https://music.163.com/#/playlist?id=687449,全球音乐精选,https://music.163.com/#/user/home?id=479074
花房午后 · 37℃柔情小调,886万,https://music.163.com/#/playlist?id=2153446953,帐号已注销,https://music.163.com/#/user/home?id=103849807
高考提分哪家强，听完此单斗志昂,871万,https://music.163.com/#/playlist?id=747075590,emonday,https://music.163.com/#/user/home?id=41455956
精选宫崎骏久石让动漫里音乐睡觉专用,864万,https://music.163.com/#/playlist?id=414767276,木乐ui,https://music.163.com/#/user/home?id=115301345
（咖啡馆）精选吉他歌曲,863万,https://music.163.com/#/playlist?id=653369891,伶俐的棕色的猹,https://music.163.com/#/user/home?id=304642602
对温柔的人啊一点抵抗力没有:),847万,https://music.163.com/#/playlist?id=2395587661,章歆羽,https://music.163.com/#/user/home?id=1530182181
如果你也喜欢徐秉龙,828万,https://music.163.com/#/playlist?id=651708051,-传情,https://music.163.com/#/user/home?id=442775028
「纯音」觅得一隅清净，花自尘埃出,791万,https://music.163.com/#/playlist?id=3066614455,壬寅年清和,https://music.163.com/#/user/home?id=1529879886
西西弗书店&矢量咖啡,767万,https://music.163.com/#/playlist?id=2266316760,大陆软妹YUKI酱,https://music.163.com/#/user/home?id=1329387529
那些一见倾心的纯音乐,764万,https://music.163.com/#/playlist?id=720661469,曹小胖子_,https://music.163.com/#/user/home?id=476562436
哄睡 | 只可私藏 不准共享,756万,https://music.163.com/#/playlist?id=2208907642,活着太饿了啊,https://music.163.com/#/user/home?id=417245552
经过咖啡馆•小资情调,746万,https://music.163.com/#/playlist?id=734914,北漂老妖,https://music.163.com/#/user/home?id=98971
