歌单名称,播放量,歌单链接,用户名称,用户链接
世界上很好听的纯音乐（经典不朽）,13503万,https://music.163.com/#/playlist?id=360062344,橘子树风车,https://music.163.com/#/user/home?id=113047483
全世界最好听的钢琴曲：卡农、雨的...,3738万,https://music.163.com/#/playlist?id=411680085,CharleyWong_,https://music.163.com/#/user/home?id=18763056
『网易云热歌』热评10万+的歌,3678万,https://music.163.com/#/playlist?id=2921577629,杰宇情感君,https://music.163.com/#/user/home?id=134915478
【专属】你的歌单,3471万,https://music.163.com/#/playlist?id=2407258591,xiao字居中-,https://music.163.com/#/user/home?id=1530692759
好听到炸的英文歌单！！！好歌单，不解释。,2414万,https://music.163.com/#/playlist?id=2709554023,cloud_杰,https://music.163.com/#/user/home?id=327725906
振奋激昂的战歌,2345万,https://music.163.com/#/playlist?id=313174192,风衣长毛怪,https://music.163.com/#/user/home?id=118352022
『一听就上瘾的外语歌』,1963万,https://music.163.com/#/playlist?id=478466765,右心丶,https://music.163.com/#/user/home?id=267679591
史上最佳纯音30首,1752万,https://music.163.com/#/playlist?id=46119121,王之部落_部长,https://music.163.com/#/user/home?id=16941415
无比震撼！史诗级配乐（上）,1580万,https://music.163.com/#/playlist?id=100109028,樱井莜木,https://music.163.com/#/user/home?id=78905899
禅.静坐.打坐.冥想.瑜伽.空灵音乐,1492万,https://music.163.com/#/playlist?id=73343491,GossipNeverEnds,https://music.163.com/#/user/home?id=36078352
XX写下了这些歌。,1483万,https://music.163.com/#/playlist?id=115537901,-Kazigga-,https://music.163.com/#/user/home?id=55044394
世界级很好听的钢琴曲纯音乐（经典不朽）,1411万,https://music.163.com/#/playlist?id=2155516628,奶泡森想吃奶昔,https://music.163.com/#/user/home?id=1396179430
【绝对值得珍藏的钢琴曲】,1279万,https://music.163.com/#/playlist?id=394984251,萧风陨落叶,https://music.163.com/#/user/home?id=264995649
「古典」世界经典古典音乐鉴赏,1249万,https://music.163.com/#/playlist?id=111229530,肖大能耐,https://music.163.com/#/user/home?id=16786340
电音8D环绕 带上耳机世界都是你的,1146万,https://music.163.com/#/playlist?id=806065005,io沉梦昂志,https://music.163.com/#/user/home?id=413784932
此生无悔入联盟，来生再做召唤师！,1042万,https://music.163.com/#/playlist?id=2168359608,此生只剩游戏与酒,https://music.163.com/#/user/home?id=303975544
精选 |藏歌 百听不厌,1001万,https://music.163.com/#/playlist?id=716349723,东智仁青,https://music.163.com/#/user/home?id=103576654
失恋后才听懂这些歌,942万,https://music.163.com/#/playlist?id=3020068902,oreo灵,https://music.163.com/#/user/home?id=412695330
『10万以上评论数歌曲合集』,921万,https://music.163.com/#/playlist?id=589371244,右心丶,https://music.163.com/#/user/home?id=267679591
天籁之音 | 此曲只应天上有☁️,919万,https://music.163.com/#/playlist?id=363654077,-解忧杂货店,https://music.163.com/#/user/home?id=93623014
高速上开车听这些绝对不会让你有一丝睡意,909万,https://music.163.com/#/playlist?id=3186553128,杰宇情感君,https://music.163.com/#/user/home?id=134915478
极致交响背景乐（SQ无损音质系列1）,875万,https://music.163.com/#/playlist?id=94571095,书融,https://music.163.com/#/user/home?id=401133
武汉各大酒吧蹦迪必备「电音」,819万,https://music.163.com/#/playlist?id=2274811912,小陈本陈啊,https://music.163.com/#/user/home?id=323090969
战歌-燃起！一打鸡血已备好,786万,https://music.163.com/#/playlist?id=456430141,高处不胜基佬2,https://music.163.com/#/user/home?id=284740925
135首【咕咚版】歌单,780万,https://music.163.com/#/playlist?id=2524167510,呀呀也-,https://music.163.com/#/user/home?id=324446216
【精品古风】必备-伤感-古风-歌曲,734万,https://music.163.com/#/playlist?id=2512761478,慕色似温柔,https://music.163.com/#/user/home?id=377519446
无心专用 细节拉满,722万,https://music.163.com/#/playlist?id=2505456811,久诚诚诚诚诚,https://music.163.com/#/user/home?id=1469515168
30秒必有高潮点,722万,https://music.163.com/#/playlist?id=2993354249,极品鱼子酱,https://music.163.com/#/user/home?id=555930725
【孤独-寂寞-一人-必备】超极品伤感歌曲,677万,https://music.163.com/#/playlist?id=2063440364,慕色似温柔,https://music.163.com/#/user/home?id=377519446
夜店酒吧嗨歌慢摇精选，抖到腿抽筋,637万,https://music.163.com/#/playlist?id=118955772,酷似小猪,https://music.163.com/#/user/home?id=55659030
［俄语歌曲］车载必备❤,593万,https://music.163.com/#/playlist?id=772605436,带头___大哥,https://music.163.com/#/user/home?id=360728589
『无损』惠威试音大碟.高端音响煲机专用,588万,https://music.163.com/#/playlist?id=2716015561,海峡好歌单,https://music.163.com/#/user/home?id=287163860
