歌单名称,播放量,歌单链接,用户名称,用户链接
【民谣盛宴】100首必听欧美民谣,3167万,https://music.163.com/#/playlist?id=311692545,pure日月,https://music.163.com/#/user/home?id=897345
泰勒斯威夫特那些不要钱的歌,2392万,https://music.163.com/#/playlist?id=2053195842,Lenka_Kripac,https://music.163.com/#/user/home?id=266990041
『加州公路』皮卡夕阳与微风，生活不止苟且,2154万,https://music.163.com/#/playlist?id=560609382,帐号已注销,https://music.163.com/#/user/home?id=136287087
漫步乡村乐 | 在旅途中 你听得见的美好音乐风景,1268万,https://music.163.com/#/playlist?id=2936107172,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语｜放空思绪，去感受风,1114万,https://music.163.com/#/playlist?id=4994165188,无限自由_jX11,https://music.163.com/#/user/home?id=1426292524
阿爾法『音樂治療』潛意識入眠,983万,https://music.163.com/#/playlist?id=77532045,哥哥姓劉,https://music.163.com/#/user/home?id=59836871
在欧洲田园般的乡村小路骑单车/不定期更新,945万,https://music.163.com/#/playlist?id=89272476,DutchDanny,https://music.163.com/#/user/home?id=69242578
就怕老哥带DJ,857万,https://music.163.com/#/playlist?id=2968647758,Holiday_Han,https://music.163.com/#/user/home?id=646496455
李子柒视频背景音乐全收录,767万,https://music.163.com/#/playlist?id=2127570721,我不是李云龙伐,https://music.163.com/#/user/home?id=2888178
获得过21个冠军歌曲.乡村音乐”优雅巨人.Do,750万,https://music.163.com/#/playlist?id=21410334,你先去洗洗,https://music.163.com/#/user/home?id=30536522
唱片店内传来异国民谣,702万,https://music.163.com/#/playlist?id=140168575,balladog,https://music.163.com/#/user/home?id=36554272
『民谣.以声相许』,632万,https://music.163.com/#/playlist?id=645802809,粥铺民谣音,https://music.163.com/#/user/home?id=423387961
[乡村音乐]田纳西州的音乐之路,555万,https://music.163.com/#/playlist?id=2968950064,小铁Joe,https://music.163.com/#/user/home?id=43906015
开车听的美国乡村音乐（B）,554万,https://music.163.com/#/playlist?id=2393030002,马克安德森,https://music.163.com/#/user/home?id=466993096
本宝宝终于找到了适合自己的BGM,542万,https://music.163.com/#/playlist?id=2190407615,区欠美影报,https://music.163.com/#/user/home?id=303427239
♬Xoh Mp3‖2020年Uygurqa Yegi nahxa❁,541万,https://music.163.com/#/playlist?id=2515685420,春娇T2005,https://music.163.com/#/user/home?id=622546479
冬季限定｜听温柔的歌 再来点暖冬的阳光,498万,https://music.163.com/#/playlist?id=3112717537,-KooTo-,https://music.163.com/#/user/home?id=17711631
薄荷味的清凉小调°,468万,https://music.163.com/#/playlist?id=739767655,-TRTan-,https://music.163.com/#/user/home?id=59410768
如茶般芬芳的英文民谣。,458万,https://music.163.com/#/playlist?id=8295695,阿勃勃,https://music.163.com/#/user/home?id=125622
【欧美】让你心情舒畅的轻松小调,429万,https://music.163.com/#/playlist?id=154985547,烈雨,https://music.163.com/#/user/home?id=34272600
【yes i do 】适合结婚 求婚 表白 示爱,411万,https://music.163.com/#/playlist?id=8916240,易拉罐的悲哀,https://music.163.com/#/user/home?id=2402269
历届格莱美最佳乡村音乐（已更新至58届）,403万,https://music.163.com/#/playlist?id=23217655,夙夜风,https://music.163.com/#/user/home?id=19087542
【现代乡村音乐】你不能错过的好音乐,402万,https://music.163.com/#/playlist?id=383337783,Romantic丶Notes,https://music.163.com/#/user/home?id=90953939
【无损HIFI级 惠威试音碟】,361万,https://music.163.com/#/playlist?id=2418831160,萧风陨落叶,https://music.163.com/#/user/home?id=264995649
美国乡村音乐44首经典冠军曲(上),357万,https://music.163.com/#/playlist?id=21401617,般不丢,https://music.163.com/#/user/home?id=1412766
『李健』贝加尔湖畔.音乐诗人.我是歌手,353万,https://music.163.com/#/playlist?id=1982862039,海峡好歌单,https://music.163.com/#/user/home?id=287163860
|大叔嗓| 把灵魂里的深情唱给你听,350万,https://music.163.com/#/playlist?id=750259340,-TRTan-,https://music.163.com/#/user/home?id=59410768
『美国自驾』USA西部旅行66号1号公路...,341万,https://music.163.com/#/playlist?id=389611402,北南乐队,https://music.163.com/#/user/home?id=96030329
52-64届格莱美表演曲目及获奖歌曲,317万,https://music.163.com/#/playlist?id=51266514,埃姆碧奇,https://music.163.com/#/user/home?id=53316583
旅途 | 即刻出发 午后踩着阳光飞驰✨,308万,https://music.163.com/#/playlist?id=404958190,Memrises,https://music.163.com/#/user/home?id=45998808
【学霸专用】听歌学英语三步走,283万,https://music.163.com/#/playlist?id=30010872,别情先生,https://music.163.com/#/user/home?id=31080099
Taylor Swift（泰勒-斯威芙特） 天籁之灵,273万,https://music.163.com/#/playlist?id=5806476,随风入梦,https://music.163.com/#/user/home?id=1702713
蓝草选集 I 触碰三月暖阳，哼唱轻快小调,264万,https://music.163.com/#/playlist?id=310372396,Xenyc,https://music.163.com/#/user/home?id=85351650
California dreaming | 悠闲惬意的慵懒曲调,257万,https://music.163.com/#/playlist?id=813527004,最渣男友,https://music.163.com/#/user/home?id=333495786
乡村选集 I 赠你这溢于弦音的百缕秋思,244万,https://music.163.com/#/playlist?id=495326560,Xenyc,https://music.163.com/#/user/home?id=85351650
夜晚集°沉醉在深夜老酒馆,239万,https://music.163.com/#/playlist?id=2398089516,DIABLO19,https://music.163.com/#/user/home?id=126187007
永远的霉霉（vip专享）,231万,https://music.163.com/#/playlist?id=2087193208,SJ_小石子,https://music.163.com/#/user/home?id=130285340
Country | 自驾旅行，赏乡野风情,221万,https://music.163.com/#/playlist?id=2774009329,蜜糖男孩,https://music.163.com/#/user/home?id=1650191296
La station Arts et Métiers,218万,https://music.163.com/#/playlist?id=171693254,耀宗先生,https://music.163.com/#/user/home?id=126225072
超好听的旋律英文歌,216万,https://music.163.com/#/playlist?id=6697492590,你也听过雨吗,https://music.163.com/#/user/home?id=1494904029
霉霉Instagram推荐曲目,198万,https://music.163.com/#/playlist?id=113816861,DelIicate,https://music.163.com/#/user/home?id=79086596
冰河时代超劲爆野狼王dj凤舞九天的士高,181万,https://music.163.com/#/playlist?id=2467943446,陈旺旺不可以用,https://music.163.com/#/user/home?id=266406286
光影留声|听电影故事里的民谣,181万,https://music.163.com/#/playlist?id=2060506027,卧室坐家,https://music.163.com/#/user/home?id=122356259
如果你想听乡村，可以从这些歌曲开始。,180万,https://music.163.com/#/playlist?id=135646259,完美的灵魂,https://music.163.com/#/user/home?id=136616
「Country Rap」街角上有一颗燥热的心,177万,https://music.163.com/#/playlist?id=955862654,Pistazien,https://music.163.com/#/user/home?id=74265329
♫乡村音乐你是如此好听,176万,https://music.163.com/#/playlist?id=118289341,小仙女念安娜,https://music.163.com/#/user/home?id=1173057
你有一份来自乡村的圣诞礼物等待签收,172万,https://music.163.com/#/playlist?id=2018891191,SPRINTAL,https://music.163.com/#/user/home?id=34673363
Hanser,169万,https://music.163.com/#/playlist?id=44856356,utarys,https://music.163.com/#/user/home?id=41866256
Madilyn Bailey 美国著名翻唱歌手,169万,https://music.163.com/#/playlist?id=16905551,帐号已注销,https://music.163.com/#/user/home?id=9849107
美国乡村音乐44首经典冠军曲(下),165万,https://music.163.com/#/playlist?id=23604511,般不丢,https://music.163.com/#/user/home?id=1412766
小溪旁，绿树下，摇椅上，以及午后的夕阳…,153万,https://music.163.com/#/playlist?id=2904785898,奇莫希,https://music.163.com/#/user/home?id=1453761986
暖阳下吉他的呢喃°,152万,https://music.163.com/#/playlist?id=502560763,-TRTan-,https://music.163.com/#/user/home?id=59410768
醉乡音律丨令人着迷的现代乡村音乐,148万,https://music.163.com/#/playlist?id=632511979,桜流,https://music.163.com/#/user/home?id=34399479
『欧美』经典金曲，重温感动。,142万,https://music.163.com/#/playlist?id=37156873,凡凡绝不熬夜,https://music.163.com/#/user/home?id=33750208
Taylor swift 免费歌单 原唱,139万,https://music.163.com/#/playlist?id=2902514424,Ribbitttt,https://music.163.com/#/user/home?id=1348145563
企鹅男孩【大自然结合旋律】,138万,https://music.163.com/#/playlist?id=2881994082,ZZZ企鹅男孩ZZZ,https://music.163.com/#/user/home?id=1597392310
【欧美】民谣深处的时光小巷,137万,https://music.163.com/#/playlist?id=997830646,一条失去梦想的咸鱼i,https://music.163.com/#/user/home?id=617319419
【蓝乡谣】橘子树与月亮,136万,https://music.163.com/#/playlist?id=2230677867,林空庭,https://music.163.com/#/user/home?id=394407524
美国乡村经典冠军曲,135万,https://music.163.com/#/playlist?id=98384522,hjutfbv,https://music.163.com/#/user/home?id=66776352
