歌单名称,播放量,歌单链接,用户名称,用户链接
私人雷达,1585715万,https://music.163.com/#/playlist?id=3136952023,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
华语私人订制 | 最懂你的华语推荐 每日更新35首,169677万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语速爆新歌 | 薛之谦：崇拜在爱中卷土重来,108419万,https://music.163.com/#/playlist?id=924680166,网易云音乐,https://music.163.com/#/user/home?id=1
还在听《Havana》吗|时光雷达,72753万,https://music.163.com/#/playlist?id=5320167908,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周新歌推荐] 李荣浩新单满怀少年意气，生来桀骜依然勇越山川,48326万,https://music.163.com/#/playlist?id=2409342460,网易云音乐,https://music.163.com/#/user/home?id=1
欧美私人订制 | 最懂你的欧美推荐 每日更新35首,44376万,https://music.163.com/#/playlist?id=2829816518,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语百首 | 回忆伤人无声，唱不尽世间遗憾,21871万,https://music.163.com/#/playlist?id=698720887,不会开挖掘机好丢脸,https://music.163.com/#/user/home?id=285614884
宝藏雷达,21174万,https://music.163.com/#/playlist?id=5362359247,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
The Weeknd和更多好听的|乐迷雷达,14590万,https://music.163.com/#/playlist?id=5327906368,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
睡眠伴侣 | 选首最合适你的 然后单曲循环,13580万,https://music.163.com/#/playlist?id=2829733864,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
新歌雷达,12849万,https://music.163.com/#/playlist?id=5300458264,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
她没那么喜欢你，只是刚好遇见你,12673万,https://music.163.com/#/playlist?id=510529769,你笑的样子格外迷人,https://music.163.com/#/user/home?id=362150970
那个说爱你一辈子的人 现在还在你身边吗,12312万,https://music.163.com/#/playlist?id=3006398457,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
粤语传世经典，怀旧是人的本能,11127万,https://music.163.com/#/playlist?id=2237551001,橘子树风车,https://music.163.com/#/user/home?id=113047483
[一周日语上新] 椎名豪与中川奈美合作《鬼灭之刃》第3季插入曲,9699万,https://music.163.com/#/playlist?id=2819914042,云音乐樱花酱,https://music.163.com/#/user/home?id=1411440874
运动随身听 | 必听活力音乐燃料 今天运动了吗,8830万,https://music.163.com/#/playlist?id=2829779628,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
人这一辈子，最怕突然听懂了一首歌。,8689万,https://music.163.com/#/playlist?id=2020864493,mayuko然,https://music.163.com/#/user/home?id=129593031
全球百大DJ | 最新2022百大作品集 每日个性化更新100首,8656万,https://music.163.com/#/playlist?id=2888212971,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
KTV必点：有没有一首歌，唱着唱着就泪奔,8379万,https://music.163.com/#/playlist?id=2557918409,mayuko然,https://music.163.com/#/user/home?id=129593031
我们出发吧 | 早 这是今日出发路上的音乐早餐,7480万,https://music.163.com/#/playlist?id=2829807251,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
【纯音乐】伤心自己听着哭吧,7346万,https://music.163.com/#/playlist?id=61650863,帐号已注销,https://music.163.com/#/user/home?id=54173248
下班听我的 | 打工人又度过了一天 下班快乐,6974万,https://music.163.com/#/playlist?id=3072883579,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
歌词唱透了心声，回忆模糊了眼眸,6972万,https://music.163.com/#/playlist?id=2139324915,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
痛彻心扉地哭，然后刻骨铭心地记住,6827万,https://music.163.com/#/playlist?id=2059430694,马翊辰,https://music.163.com/#/user/home?id=113164676
电音雷达 | 专属于你的电音节奏推荐 每日更新50首,6814万,https://music.163.com/#/playlist?id=2829839197,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
流行点唱机 | 2010年代华语热播 每日30首,6699万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
日系私人订制 | 最懂你的日系推荐 每日更新35首,6272万,https://music.163.com/#/playlist?id=2829896389,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
聚精会神 | 看书学习工作必备背景音乐,6146万,https://music.163.com/#/playlist?id=2829821753,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
[一周原创发现] PO8/11带你在变化中汇聚力量,6012万,https://music.163.com/#/playlist?id=2821115454,原创君,https://music.163.com/#/user/home?id=201586
精选｜那些百听不腻的翻唱,5874万,https://music.163.com/#/playlist?id=2899768194,情感文字君,https://music.163.com/#/user/home?id=471776903
后来你哭了，想安慰却忘了早已换了身份,5766万,https://music.163.com/#/playlist?id=2218171336,GNC顾念晨,https://music.163.com/#/user/home?id=368175037
向云端-天若有情-我记得-指纹-起风了,5667万,https://music.163.com/#/playlist?id=3013129747,G寄予,https://music.163.com/#/user/home?id=1921458791
2023超好听的爆火歌曲推荐（持更）,5654万,https://music.163.com/#/playlist?id=7487805161,小小小的可爱呀,https://music.163.com/#/user/home?id=7883295797
你已经嫁给他一次啦 下次他娶别人不许哭,5442万,https://music.163.com/#/playlist?id=2482645921,什么芝士蛋糕亚,https://music.163.com/#/user/home?id=1322609078
看小说听的歌曲（古风）,5430万,https://music.163.com/#/playlist?id=743558697,兜有糖心不慌,https://music.163.com/#/user/home?id=453477568
深夜emo歌单「孤独」「伤感」「心碎」,5331万,https://music.163.com/#/playlist?id=5320325908,四川贫困人口,https://music.163.com/#/user/home?id=354868458
世间温柔皆遗憾,5000万,https://music.163.com/#/playlist?id=3061793121,窥尽人间遗憾,https://music.163.com/#/user/home?id=1607085631
熬夜和想你，我都该戒掉了,4964万,https://music.163.com/#/playlist?id=2163517726,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
100个悲伤的瞬间，有没有你的心酸？,4954万,https://music.163.com/#/playlist?id=2179646633,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
都会有遗憾的对吧（持续更新）,4932万,https://music.163.com/#/playlist?id=7060450623,crystal_wench,https://music.163.com/#/user/home?id=1686255227
时光点唱机 | 经典老歌带你重回90年代 每日30首,4868万,https://music.163.com/#/playlist?id=2945028696,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
终于听懂每首情歌，却再也没有可以联系的人,4678万,https://music.163.com/#/playlist?id=961246075,GNC顾念晨,https://music.163.com/#/user/home?id=368175037
