歌单名称,播放量,歌单链接,用户名称,用户链接
幼儿园早操及常放的歌曲,1661万,https://music.163.com/#/playlist?id=501381811,鸦轻,https://music.163.com/#/user/home?id=278641957
Raimond Lap最正经的大师级胎教音乐,1321万,https://music.163.com/#/playlist?id=4240750,凌晨就会睡,https://music.163.com/#/user/home?id=2272410
宝宝巴士儿歌大全 | 宝宝巴士陪伴成长,1036万,https://music.163.com/#/playlist?id=2496322078,云音乐儿歌专区,https://music.163.com/#/user/home?id=637811910
宝宝巴士睡前故事 | 进入甜蜜梦乡的故事合集,836万,https://music.163.com/#/playlist?id=6631675661,云音乐儿歌专区,https://music.163.com/#/user/home?id=637811910
宝宝巴士睡前故事 | 进入甜蜜梦乡的故事合集,836万,https://music.163.com/#/playlist?id=6631675661,云音乐儿歌专区,https://music.163.com/#/user/home?id=637811910
【0-1岁】宝宝哄睡，夜的摇篮曲,831万,https://music.163.com/#/playlist?id=2210342709,大福的妈Yuki,https://music.163.com/#/user/home?id=1295085394
「怪歌」视频剪辑音效素材,724万,https://music.163.com/#/playlist?id=108955540,Heyman_Cheung,https://music.163.com/#/user/home?id=79067804
「让宝宝一秒入睡的哄睡神曲」,645万,https://music.163.com/#/playlist?id=2216962972,丁香妈妈DingXiangMama,https://music.163.com/#/user/home?id=1441184624
幼儿园/奥尔夫音乐,604万,https://music.163.com/#/playlist?id=1993825909,你住在我心里的原因,https://music.163.com/#/user/home?id=537371311
0岁宝宝最佳轻音乐,559万,https://music.163.com/#/playlist?id=65392938,乌云盖饭,https://music.163.com/#/user/home?id=3745023
本宝宝终于找到了适合自己的BGM,542万,https://music.163.com/#/playlist?id=2190407615,区欠美影报,https://music.163.com/#/user/home?id=303427239
早教必备，宝宝越听越聪明,501万,https://music.163.com/#/playlist?id=2209991970,大福的妈Yuki,https://music.163.com/#/user/home?id=1295085394
幼儿园可爱的歌（关注q1244678893持续更新,423万,https://music.163.com/#/playlist?id=444507363,Kg左公斤,https://music.163.com/#/user/home?id=247919397
熊出没主题曲音乐,408万,https://music.163.com/#/playlist?id=2030152805,小凉zhen,https://music.163.com/#/user/home?id=1291930959
宝贝儿歌精选 | 亲子编辑团队精选优质中文儿歌,403万,https://music.163.com/#/playlist?id=5199439533,云音乐儿歌专区,https://music.163.com/#/user/home?id=637811910
动画片《小猪佩奇》插曲,393万,https://music.163.com/#/playlist?id=2203836746,奶泡森想吃奶昔,https://music.163.com/#/user/home?id=1396179430
宝宝睡前故事,355万,https://music.163.com/#/playlist?id=758253496,Monster铣,https://music.163.com/#/user/home?id=367330349
童年||零几年国产动画原声,346万,https://music.163.com/#/playlist?id=130853619,泰勒丝壁橱里的薄荷茶,https://music.163.com/#/user/home?id=57417373
英文摇篮曲 | 轻柔歌声陪宝宝安静入眠,309万,https://music.163.com/#/playlist?id=5089866698,云音乐儿歌专区,https://music.163.com/#/user/home?id=637811910
英文摇篮曲 | 轻柔歌声陪宝宝安静入眠,309万,https://music.163.com/#/playlist?id=5089866698,云音乐儿歌专区,https://music.163.com/#/user/home?id=637811910
欧美 | 纯净甜美的天籁童音,303万,https://music.163.com/#/playlist?id=869357156,滴嘀迪,https://music.163.com/#/user/home?id=95155098
幼儿舞蹈基本功练习音乐,280万,https://music.163.com/#/playlist?id=2047896988,一个胖胖的舞蹈老师,https://music.163.com/#/user/home?id=375957980
读给孩子们听的童话故事,261万,https://music.163.com/#/playlist?id=2551994027,教父迈克先生,https://music.163.com/#/user/home?id=354125078
幼儿园律动奥尔夫音乐,261万,https://music.163.com/#/playlist?id=2384104978,DOHW1807,https://music.163.com/#/user/home?id=1490236379
