歌单名称,播放量,歌单链接,用户名称,用户链接
轻柔英文歌 睡觉专用,4007万,https://music.163.com/#/playlist?id=2125896151,亦不语z,https://music.163.com/#/user/home?id=316554251
想和你躺在草坪上，慵懒地晒着太阳☀,3435万,https://music.163.com/#/playlist?id=2670054457,树莓小雪糕,https://music.163.com/#/user/home?id=46357447
来杯下午茶 | 限定暖心音乐饮品,2947万,https://music.163.com/#/playlist?id=2829827274,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
Sleepy pillow-嗜睡軟枕,2683万,https://music.163.com/#/playlist?id=85234039,MoerScofield,https://music.163.com/#/user/home?id=74706710
【睡觉御用】催眠纯雨声♥无音乐,1827万,https://music.163.com/#/playlist?id=544498589,音乐搜集者Moker,https://music.163.com/#/user/home?id=81709956
慵懒小调 | 当阳光暖洋洋的洒在草地上,1734万,https://music.163.com/#/playlist?id=3097789970,Alprazolam____,https://music.163.com/#/user/home?id=1688564156
做个白日梦 | 发呆 放空 在音乐世界漫游,1558万,https://music.163.com/#/playlist?id=5089867688,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
纯音乐|刷题 阅读 午睡,1534万,https://music.163.com/#/playlist?id=2903805702,顾里胖胖,https://music.163.com/#/user/home?id=1854958990
纯雨声.大自然.无配乐.失眠小助手[2],1453万,https://music.163.com/#/playlist?id=699494077,vond,https://music.163.com/#/user/home?id=83376522
助眠海浪声 | 海风轻拂 吹走疲惫zZ,1451万,https://music.163.com/#/playlist?id=2890393345,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
『日系催眠轻声向』世界晚安.,1437万,https://music.163.com/#/playlist?id=2050898967,夜行少女Yokki樱,https://music.163.com/#/user/home?id=322796856
专业深度睡眠轻音乐,1382万,https://music.163.com/#/playlist?id=141053568,龙九歌,https://music.163.com/#/user/home?id=110677755
Lofi/低保真/工作学习歌单,1351万,https://music.163.com/#/playlist?id=6606131644,四川贫困人口,https://music.163.com/#/user/home?id=354868458
【科学煲耳机】（白噪音 粉红噪音 无损）,1349万,https://music.163.com/#/playlist?id=519118660,树莓小雪糕,https://music.163.com/#/user/home?id=46357447
日系慵懒小调 | 暖暖的午后与嗜睡的人儿,1277万,https://music.163.com/#/playlist?id=2385594875,帐号已注销,https://music.163.com/#/user/home?id=472003918
超温柔的歌单,1059万,https://music.163.com/#/playlist?id=2374946636,想听过云雨,https://music.163.com/#/user/home?id=409480696
Gifty 很美味 叽叽 二嘉 可乐 西柚 一口甜,1052万,https://music.163.com/#/playlist?id=2489592180,以沫箫默,https://music.163.com/#/user/home?id=395739050
催眠轻音乐，失眠治疗一号方案,894万,https://music.163.com/#/playlist?id=106657673,用户69488043,https://music.163.com/#/user/home?id=69488043
水响蝉鸣｜夏日纯音，让孤独远去,893万,https://music.163.com/#/playlist?id=2745762495,沈奕秋,https://music.163.com/#/user/home?id=1690124115
[窝在沙发里] 累了就打开音箱 连上蓝牙,888万,https://music.163.com/#/playlist?id=972866018,原创君,https://music.163.com/#/user/home?id=201586
花房午后 · 37℃柔情小调,886万,https://music.163.com/#/playlist?id=2153446953,帐号已注销,https://music.163.com/#/user/home?id=103849807
温 柔 舒 缓 | 睡 觉 专 用,809万,https://music.163.com/#/playlist?id=372726128,艾琳艾德勒丶,https://music.163.com/#/user/home?id=82179192
西西弗书店&矢量咖啡,767万,https://music.163.com/#/playlist?id=2266316760,大陆软妹YUKI酱,https://music.163.com/#/user/home?id=1329387529
无前奏丨1、2、3，清唱起~,727万,https://music.163.com/#/playlist?id=396192043,螺丝起子,https://music.163.com/#/user/home?id=19299028
Askar Muhtar艾斯凯尔·穆合塔尔,685万,https://music.163.com/#/playlist?id=3112823129,Askar_Muhtar,https://music.163.com/#/user/home?id=1455494490
入梦令丨日式女声哼唱 耳语般的安眠小调,669万,https://music.163.com/#/playlist?id=637870799,团战专用小火把,https://music.163.com/#/user/home?id=97412802
新疆流行音乐合集♥,548万,https://music.163.com/#/playlist?id=2933916843,帕哥很温柔,https://music.163.com/#/user/home?id=322656836
大宝宝催眠曲轻音乐,532万,https://music.163.com/#/playlist?id=798507143,rocktattoo,https://music.163.com/#/user/home?id=130379035
逃避烦恼｜感受一点点甜味,531万,https://music.163.com/#/playlist?id=6845447492,邓狠狠,https://music.163.com/#/user/home?id=435953331
潜意识疗法 消除疲劳,522万,https://music.163.com/#/playlist?id=150594030,茗兰,https://music.163.com/#/user/home?id=35956258
自然之声（自然白噪声）睡眠学习专用,471万,https://music.163.com/#/playlist?id=323097642,我如佳期,https://music.163.com/#/user/home?id=122467364
静享时光|午后阳光下的慵懒欢快小调,460万,https://music.163.com/#/playlist?id=4973646434,后原,https://music.163.com/#/user/home?id=305003351
【睡眠必备】定好时间带上耳机②,431万,https://music.163.com/#/playlist?id=104079149,月白葵,https://music.163.com/#/user/home?id=67740956
轻松纯音乐（适合看书学习睡觉）,408万,https://music.163.com/#/playlist?id=592179800,不喝热水_W,https://music.163.com/#/user/home?id=370516987
温柔男生翻唱,385万,https://music.163.com/#/playlist?id=2803061156,和我看场海,https://music.163.com/#/user/home?id=353833306
助眠白噪声 | 你的疏压辅助工具,379万,https://music.163.com/#/playlist?id=2890501416,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
10Hz 白噪音助眠纯雨声,377万,https://music.163.com/#/playlist?id=2240244814,圆圆画师,https://music.163.com/#/user/home?id=381632410
[舒缓的轻音乐]-睡觉，刷题专用,368万,https://music.163.com/#/playlist?id=2736322385,韵笋,https://music.163.com/#/user/home?id=1579788255
周末宅家必备：慵懒午后降躁指南,361万,https://music.163.com/#/playlist?id=5429892797,轻漫故事社,https://music.163.com/#/user/home?id=1911577793
令人神经舒缓的轻音乐,358万,https://music.163.com/#/playlist?id=3184833087,柠柠芷,https://music.163.com/#/user/home?id=1430799098
『睡觉专用』极静轻音乐 睡眠钢琴曲,349万,https://music.163.com/#/playlist?id=6724182167,微胖女我最爱,https://music.163.com/#/user/home?id=1439983430
『日系女声』能与你相遇，真是此生无憾,348万,https://music.163.com/#/playlist?id=483665320,maaaaaaaaaad,https://music.163.com/#/user/home?id=135010123
「治愈/纯音」在日暮里浅眠，等春来,305万,https://music.163.com/#/playlist?id=5031388091,治愈兔,https://music.163.com/#/user/home?id=251000367
美妆/旅行/vlog/日常/穿搭/学习/作业 BGM,296万,https://music.163.com/#/playlist?id=2123329636,青城酱是颗小蔬菜,https://music.163.com/#/user/home?id=565757853
经典老歌 | 我想起了五岁那台破收音机,296万,https://music.163.com/#/playlist?id=906737953,傲娇少女-界大人,https://music.163.com/#/user/home?id=17448813
