歌单名称,播放量,歌单链接,用户名称,用户链接
华语私人订制 | 最懂你的华语推荐 每日更新35首,169634万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语私人订制 | 最懂你的华语推荐 每日更新35首,169634万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
经典老歌，久听不厌,24959万,https://music.163.com/#/playlist?id=988690134,流年忧光影,https://music.163.com/#/user/home?id=41751076
华语百首 | 回忆伤人无声，唱不尽世间遗憾,21870万,https://music.163.com/#/playlist?id=698720887,不会开挖掘机好丢脸,https://music.163.com/#/user/home?id=285614884
听说你也在找好听的华语歌,19984万,https://music.163.com/#/playlist?id=2438292020,鹿白川,https://music.163.com/#/user/home?id=493707309
老歌越听越经典，旧人越看越无情。,12339万,https://music.163.com/#/playlist?id=1996644701,我是个好人希望我能幸福,https://music.163.com/#/user/home?id=44377713
那个说爱你一辈子的人 现在还在你身边吗,12311万,https://music.163.com/#/playlist?id=3006398457,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
你会爱上这个流行华语歌单,11396万,https://music.163.com/#/playlist?id=2709514173,暧酱酱,https://music.163.com/#/user/home?id=1510110840
人这一辈子，最怕突然听懂了一首歌。,8689万,https://music.163.com/#/playlist?id=2020864493,mayuko然,https://music.163.com/#/user/home?id=129593031
一个天蝎座的听歌列表,7806万,https://music.163.com/#/playlist?id=635903110,欢欢酱-,https://music.163.com/#/user/home?id=441514182
那些年甜甜的歌，甜到爆表～～～,7665万,https://music.163.com/#/playlist?id=2339725169,文琦琦,https://music.163.com/#/user/home?id=117622357
别急，甜甜的恋爱马上就轮到你了,7388万,https://music.163.com/#/playlist?id=2430524968,名侦探-柯北,https://music.163.com/#/user/home?id=44530116
歌词唱透了心声，回忆模糊了眼眸,6972万,https://music.163.com/#/playlist?id=2139324915,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
流行点唱机 | 2010年代华语热播 每日30首,6698万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
予你情诗百首，余生你是我的所有,6486万,https://music.163.com/#/playlist?id=2230318386,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
后来你哭了，想安慰却忘了早已换了身份,5765万,https://music.163.com/#/playlist?id=2218171336,GNC顾念晨,https://music.163.com/#/user/home?id=368175037
深夜emo歌单「孤独」「伤感」「心碎」,5331万,https://music.163.com/#/playlist?id=5320325908,四川贫困人口,https://music.163.com/#/user/home?id=354868458
世间温柔皆遗憾,5000万,https://music.163.com/#/playlist?id=3061793121,窥尽人间遗憾,https://music.163.com/#/user/home?id=1607085631
熬夜和想你，我都该戒掉了,4964万,https://music.163.com/#/playlist?id=2163517726,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
100个悲伤的瞬间，有没有你的心酸？,4954万,https://music.163.com/#/playlist?id=2179646633,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
一个比较走心的民谣歌单,4927万,https://music.163.com/#/playlist?id=2067079376,小道先森,https://music.163.com/#/user/home?id=275162615
失恋日记 | 换不同的场景 但哪里都是你,4670万,https://music.163.com/#/playlist?id=6606027462,四川贫困人口,https://music.163.com/#/user/home?id=354868458
［戏腔］戏子多秋 可怜一处情深旧,4537万,https://music.163.com/#/playlist?id=2217610700,一许桃花醉如烟,https://music.163.com/#/user/home?id=317071772
温柔暴击 | 沉溺于男友音的甜蜜乡,4480万,https://music.163.com/#/playlist?id=2511560749,名侦探-柯北,https://music.163.com/#/user/home?id=44530116
你总要一个人，经历些难捱的日子。,4411万,https://music.163.com/#/playlist?id=919620061,mayuko然,https://music.163.com/#/user/home?id=129593031
用音乐保持你每天的嘴角上扬,4293万,https://music.163.com/#/playlist?id=2846054862,宁遇夏,https://music.163.com/#/user/home?id=389547363
痛到心碎的虐心歌曲和伤感歌曲,4291万,https://music.163.com/#/playlist?id=2404791206,李白白ing,https://music.163.com/#/user/home?id=1586849824
华语‖一听就忍不住想哭的歌①,4262万,https://music.163.com/#/playlist?id=131149308,--苏麻离青--,https://music.163.com/#/user/home?id=93983257
深夜歌单 | 凌晨三点的心碎时刻,4167万,https://music.163.com/#/playlist?id=6988887522,四川贫困人口,https://music.163.com/#/user/home?id=354868458
这个夏天 要一起喝橘子味的汽水吗,3845万,https://music.163.com/#/playlist?id=5070087275,煎妮BoBo,https://music.163.com/#/user/home?id=395063023
100首华语民谣，因为懂得才有共鸣,3703万,https://music.163.com/#/playlist?id=2312165875,情思天鹅,https://music.163.com/#/user/home?id=108952364
你放弃过一个爱了很久的人吗？,3693万,https://music.163.com/#/playlist?id=2470798714,mayuko然,https://music.163.com/#/user/home?id=129593031
＃音乐的力量·华语♡,3692万,https://music.163.com/#/playlist?id=2462024605,橙十六的网易云音乐,https://music.163.com/#/user/home?id=287400938
那些年你酩酊大醉后嘶吼出来的心事,3604万,https://music.163.com/#/playlist?id=811313713,123hohot,https://music.163.com/#/user/home?id=342748789
你曾经有多认真的喜欢一个人,3432万,https://music.163.com/#/playlist?id=2610231104,mayuko然,https://music.163.com/#/user/home?id=129593031
【戏腔专题】伶人入画，一生天涯,3384万,https://music.163.com/#/playlist?id=83942307,辞雀,https://music.163.com/#/user/home?id=67853143
