歌单名称,播放量,歌单链接,用户名称,用户链接
世界级古典钢琴曲音乐珍藏,3706万,https://music.163.com/#/playlist?id=167900089,夕阳下的盛宴,https://music.163.com/#/user/home?id=62230165
【古典音乐】治疗焦虑症的良药,1543万,https://music.163.com/#/playlist?id=78674080,badtomato,https://music.163.com/#/user/home?id=12383468
「古典」世界经典古典音乐鉴赏,1249万,https://music.163.com/#/playlist?id=111229530,肖大能耐,https://music.163.com/#/user/home?id=16786340
极致交响背景乐（SQ无损音质系列1）,875万,https://music.163.com/#/playlist?id=94571095,书融,https://music.163.com/#/user/home?id=401133
古典拯救你失落的灵魂,864万,https://music.163.com/#/playlist?id=109272879,pure日月,https://music.163.com/#/user/home?id=897345
肖邦 | 改变浮躁的你,825万,https://music.163.com/#/playlist?id=621753496,威风大侠,https://music.163.com/#/user/home?id=340412921
阅读好时光 | 伴你看书学习的优质古典音乐,803万,https://music.163.com/#/playlist?id=2768646174,云音乐古典星球,https://music.163.com/#/user/home?id=1778923105
大提琴唤醒灵魂❤️,747万,https://music.163.com/#/playlist?id=71328139,此在之欢愉,https://music.163.com/#/user/home?id=6190643
世界古典小提琴曲音乐珍藏,672万,https://music.163.com/#/playlist?id=373955762,夕阳下的盛宴,https://music.163.com/#/user/home?id=62230165
古典摇篮曲 | 用古典音乐为宝宝编织最美的梦乡,609万,https://music.163.com/#/playlist?id=2770070300,云音乐古典星球,https://music.163.com/#/user/home?id=1778923105
贝多芬•肖邦•巴赫•莫扎特,591万,https://music.163.com/#/playlist?id=41220530,该用户去年已安息,https://music.163.com/#/user/home?id=60364
"不如""乐""读——适合读书时听的古典音乐",507万,https://music.163.com/#/playlist?id=2192872919,团战专用小火把,https://music.163.com/#/user/home?id=97412802
世界100首最经典的殿堂音乐,484万,https://music.163.com/#/playlist?id=2084117173,莫小儒,https://music.163.com/#/user/home?id=359377494
巴赫G大调大提琴组曲,454万,https://music.163.com/#/playlist?id=809968530,Mirandolaluna,https://music.163.com/#/user/home?id=304718357
世界小提琴名曲300首,445万,https://music.163.com/#/playlist?id=977461211,虚怀若谷170330,https://music.163.com/#/user/home?id=447207312
【魅力小提琴】双手四弦 演绎万千风采,442万,https://music.163.com/#/playlist?id=452068273,静之丶,https://music.163.com/#/user/home?id=100591478
工作学习写文章的古典，略平静，少尖锐,440万,https://music.163.com/#/playlist?id=2048751299,松子落松山,https://music.163.com/#/user/home?id=625068342
最脍炙人口的古典音乐200首,435万,https://music.163.com/#/playlist?id=91780275,AleksandrScriabin,https://music.163.com/#/user/home?id=33244490
《留声机》评选最伟大的古典音乐唱片Top100,405万,https://music.163.com/#/playlist?id=11875818,D-Minor,https://music.163.com/#/user/home?id=12864569
世界经典古典音乐100首,382万,https://music.163.com/#/playlist?id=761345092,客居琉璃,https://music.163.com/#/user/home?id=402624714
那些耳熟能详的经典钢琴曲/古典乐,330万,https://music.163.com/#/playlist?id=691304838,帐号已注销,https://music.163.com/#/user/home?id=89521835
[帕格尼尼印象集].魔鬼提琴师的灵魂奏鸣,318万,https://music.163.com/#/playlist?id=1610342,Overture1812,https://music.163.com/#/user/home?id=1176807
猫和老鼠：我的两位古典乐启蒙老师,310万,https://music.163.com/#/playlist?id=2500521637,云音乐VIP,https://music.163.com/#/user/home?id=1452176465
