歌单名称,播放量,歌单链接,用户名称,用户链接
看小说听的歌曲（古风）,5430万,https://music.163.com/#/playlist?id=743558697,兜有糖心不慌,https://music.163.com/#/user/home?id=453477568
国语古风中国风神曲，细腻地抚摸你的耳膜,5341万,https://music.163.com/#/playlist?id=330634870,西葫芦子丶,https://music.163.com/#/user/home?id=134025551
［戏腔］戏子多秋 可怜一处情深旧,4537万,https://music.163.com/#/playlist?id=2217610700,一许桃花醉如烟,https://music.163.com/#/user/home?id=317071772
「古风」最值得单曲循环的古风歌合集,4187万,https://music.163.com/#/playlist?id=644883057,鱼板烧好机智,https://music.163.com/#/user/home?id=84529447
听了心情会变好的欢快古风小调,3768万,https://music.163.com/#/playlist?id=2163404529,柒染-Author,https://music.163.com/#/user/home?id=330868440
国风音乐大赏 | 每日更新的国风专属歌单,3739万,https://music.163.com/#/playlist?id=2829961453,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
破万评论国风古风 哪一首藏着你的故事,3449万,https://music.163.com/#/playlist?id=2357742963,辞雀,https://music.163.com/#/user/home?id=67853143
【戏腔专题】伶人入画，一生天涯,3384万,https://music.163.com/#/playlist?id=83942307,辞雀,https://music.163.com/#/user/home?id=67853143
适合写作业时随机播放的BGM,2978万,https://music.163.com/#/playlist?id=2507890500,桉匕,https://music.163.com/#/user/home?id=1547037558
『曲作精选』细数古风圈原创作曲人❶,2929万,https://music.163.com/#/playlist?id=2041615881,花色游戏,https://music.163.com/#/user/home?id=248755337
电子·中国风 I 感受角徵宫商的荡气回肠,2818万,https://music.163.com/#/playlist?id=316223640,Xenyc,https://music.163.com/#/user/home?id=85351650
一曲戏腔极尽风流，一抹笑靥极尽欢颜。,2794万,https://music.163.com/#/playlist?id=454158611,明月与山川,https://music.163.com/#/user/home?id=305907055
超绝美の古风相思歌,2466万,https://music.163.com/#/playlist?id=974387610,小仙女七七酱,https://music.163.com/#/user/home?id=283230319
古风伤恋｜待到红颜消 杳杳无归期,2358万,https://music.163.com/#/playlist?id=948471242,迩ran,https://music.163.com/#/user/home?id=305275091
古风精选：难忘你倾世容颜,2319万,https://music.163.com/#/playlist?id=2332465328,小攀哟,https://music.163.com/#/user/home?id=1407747620
女声控|那些一曲惊人的古风歌,2231万,https://music.163.com/#/playlist?id=609403996,-煜杰,https://music.163.com/#/user/home?id=419443802
［古风］喜欢高燃古风不可缺,2207万,https://music.163.com/#/playlist?id=392109198,用户62036874,https://music.163.com/#/user/home?id=62036874
沧桑●欧美大叔，入耳即醉的经典,2036万,https://music.163.com/#/playlist?id=85106466,-_Coldplay_-,https://music.163.com/#/user/home?id=51475401
【古风-国风】好听爆的大杂烩学习食用,1940万,https://music.163.com/#/playlist?id=3020052469,kath-ran,https://music.163.com/#/user/home?id=1830174217
「前奏控」被前奏秒杀的古风歌,1915万,https://music.163.com/#/playlist?id=782743277,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
男生唱女生的歌好暖好温柔,1847万,https://music.163.com/#/playlist?id=87534561,近未来尽未来,https://music.163.com/#/user/home?id=54594701
等什么君/王巨星/要不要买菜/en/七叔,1814万,https://music.163.com/#/playlist?id=2329426196,小攀哟,https://music.163.com/#/user/home?id=1407747620
精选经典好听古风歌曲合集,1811万,https://music.163.com/#/playlist?id=74685421,倾心汝之恋0719,https://music.163.com/#/user/home?id=69866982
国风民谣 |满堂花醉三千客，一剑霜寒十四州,1781万,https://music.163.com/#/playlist?id=2331136477,鹤禅眠,https://music.163.com/#/user/home?id=248426205
日本音乐中令人惊叹的壮美中国风,1766万,https://music.163.com/#/playlist?id=117712470,般蛋,https://music.163.com/#/user/home?id=95205291
银临、以冬、玄觞、封茗囧菌，余音袅袅！,1593万,https://music.163.com/#/playlist?id=606641571,鸾之喻,https://music.163.com/#/user/home?id=422912505
【古风】不会让你后悔的实力好听的古风歌单,1499万,https://music.163.com/#/playlist?id=379915507,君墨千刃丶,https://music.163.com/#/user/home?id=121903242
当中国风惊艳时光，岂能不心动,1410万,https://music.163.com/#/playlist?id=2553596714,冷暖沙漠,https://music.163.com/#/user/home?id=63525057
