歌单名称,播放量,歌单链接,用户名称,用户链接
烟酒嗓与民谣儿°,5102万,https://music.163.com/#/playlist?id=329641066,君向何兮丶,https://music.163.com/#/user/home?id=261785671
一个比较走心的民谣歌单,4927万,https://music.163.com/#/playlist?id=2067079376,小道先森,https://music.163.com/#/user/home?id=275162615
民谣歌单（陈鸿宇赵雷宋冬野房东的猫）,4544万,https://music.163.com/#/playlist?id=2214751386,亲这边建议您不要网恋,https://music.163.com/#/user/home?id=617541172
是干净甜嗓呐✨（钢琴／吉他弹唱）,2108万,https://music.163.com/#/playlist?id=2748441557,尢叽,https://music.163.com/#/user/home?id=1564246708
那些听不腻的民谣,1619万,https://music.163.com/#/playlist?id=805664586,中意陳伊森,https://music.163.com/#/user/home?id=448528907
【纯音&吉他】洋溢着青春气息的轻快旋律,1589万,https://music.163.com/#/playlist?id=422793270,樱井莜木,https://music.163.com/#/user/home?id=78905899
【一人一首民谣】--爱上民谣因为习惯了孤独,1541万,https://music.163.com/#/playlist?id=465651577,渐渐_____,https://music.163.com/#/user/home?id=128984380
花粥-民谣女流氓,1282万,https://music.163.com/#/playlist?id=2465422774,阿悠悠You_,https://music.163.com/#/user/home?id=249810913
声色撩人/幻想男友音/晚安好梦❤,1239万,https://music.163.com/#/playlist?id=2428562475,yyqx的女友粉,https://music.163.com/#/user/home?id=554365439
「民谣 流浪的诗人和吉他」,899万,https://music.163.com/#/playlist?id=688588727,Rapper说情话ii,https://music.163.com/#/user/home?id=121059501
不怕汉子有文化，只怕他们有吉他,879万,https://music.163.com/#/playlist?id=2180739925,Ian_Icebear,https://music.163.com/#/user/home?id=30053668
男烟嗓 男民谣,869万,https://music.163.com/#/playlist?id=889445927,枭九-,https://music.163.com/#/user/home?id=506131793
隔壁老樊 万能青年等,752万,https://music.163.com/#/playlist?id=2383437785,网易云有版权,https://music.163.com/#/user/home?id=538695980
独立民谣屌爆了`,666万,https://music.163.com/#/playlist?id=90679193,抱歉打扰啦,https://music.163.com/#/user/home?id=81080217
【吉他】-Uyghur,666万,https://music.163.com/#/playlist?id=166761454,Ahtuon,https://music.163.com/#/user/home?id=75687374
轻柔的吉他纯音乐,653万,https://music.163.com/#/playlist?id=149818364,仝兀谙亓,https://music.163.com/#/user/home?id=583471
[极致浪漫]弗拉门戈古典吉他,595万,https://music.163.com/#/playlist?id=64145689,朴露修夏,https://music.163.com/#/user/home?id=54614223
吉他和女声，故事和梦,589万,https://music.163.com/#/playlist?id=447397102,l仲太阳l,https://music.163.com/#/user/home?id=126108162
超好听【吉他翻唱】,571万,https://music.163.com/#/playlist?id=3114340603,狐十一狸,https://music.163.com/#/user/home?id=607366855
［年代感］欧美原声吉他弹唱精选100首,562万,https://music.163.com/#/playlist?id=801243854,Melody_Groove,https://music.163.com/#/user/home?id=350556138
_ 隔壁老樊的孤独 .,556万,https://music.163.com/#/playlist?id=2546895239,A丶清道夫,https://music.163.com/#/user/home?id=1519514071
日本吉他指弹集,533万,https://music.163.com/#/playlist?id=7128215,藤井夏树,https://music.163.com/#/user/home?id=1905131
纯音吉他 | 百部动画原声，百首弦上奏鸣,521万,https://music.163.com/#/playlist?id=412185097,mist雨澪,https://music.163.com/#/user/home?id=41485013
Jalal anwar 加拉力,507万,https://music.163.com/#/playlist?id=496767674,Nijat-ebrayim,https://music.163.com/#/user/home?id=351064337
冷门华语集，角落处的音乐。,477万,https://music.163.com/#/playlist?id=104565668,徊梦,https://music.163.com/#/user/home?id=1322216
潘帕斯的风吟鸟唱,453万,https://music.163.com/#/playlist?id=756027780,powerfulname,https://music.163.com/#/user/home?id=58777669
Muzo吉他曲全集,452万,https://music.163.com/#/playlist?id=736952762,Parhatjan-Obul,https://music.163.com/#/user/home?id=337195684
【纯音&吉他】谁的指尖，拨动了你的心弦,444万,https://music.163.com/#/playlist?id=546874680,樱井莜木,https://music.163.com/#/user/home?id=78905899
精选超好听吉他弹唱（Cover流行 ）,444万,https://music.163.com/#/playlist?id=2638384261,帐号已注销,https://music.163.com/#/user/home?id=538630845
Justin Bieber 不插电版,435万,https://music.163.com/#/playlist?id=169981669,Evane_scence,https://music.163.com/#/user/home?id=134759578
给我一把弹不累的吉他,399万,https://music.163.com/#/playlist?id=69571731,Three_C,https://music.163.com/#/user/home?id=66406603
民谣是唱给自己的歌,374万,https://music.163.com/#/playlist?id=101783092,Ventureko,https://music.163.com/#/user/home?id=12864642
民谣里，也曾是少年,357万,https://music.163.com/#/playlist?id=2206517620,子瞻大魔王,https://music.163.com/#/user/home?id=115260210
此账号7天后注销,344万,https://music.163.com/#/playlist?id=390676073,帐号已注销,https://music.163.com/#/user/home?id=269283146
吉他轻音乐经典100首,340万,https://music.163.com/#/playlist?id=8880115,云音乐小秘书,https://music.163.com/#/user/home?id=9003
[民谣酒馆]这么多年了 你住在海边了吗？,335万,https://music.163.com/#/playlist?id=872016431,郭安南,https://music.163.com/#/user/home?id=405648978
六弦翻奏♬ 吉他怎及她 指弹不说话,324万,https://music.163.com/#/playlist?id=493753604,江湖濯濯,https://music.163.com/#/user/home?id=100198046
一些适合男生的城市民谣,318万,https://music.163.com/#/playlist?id=811070521,刘清浊-,https://music.163.com/#/user/home?id=288567675
赵雷也是赵小雷❤️。,318万,https://music.163.com/#/playlist?id=6045819,ANNiE_CHAK,https://music.163.com/#/user/home?id=5732986
这是男友音『干净的吉他弹唱』,314万,https://music.163.com/#/playlist?id=973886282,卷不动的橘子,https://music.163.com/#/user/home?id=563586313
男生吉他翻唱版,312万,https://music.163.com/#/playlist?id=4959655225,白姝溢,https://music.163.com/#/user/home?id=1518555221
精选50首触动神经的吉他弹唱,312万,https://music.163.com/#/playlist?id=474170586,Hard-with-Core,https://music.163.com/#/user/home?id=41505701
吉他前奏‖听吉他与不同曲风的结合,309万,https://music.163.com/#/playlist?id=732688183,囚糖,https://music.163.com/#/user/home?id=320022534
指弹吉他的魅力【逐曲甄选中】,306万,https://music.163.com/#/playlist?id=6375231,汪囧囧在路上,https://music.163.com/#/user/home?id=3232556
弗拉门戈吉他大师们,298万,https://music.163.com/#/playlist?id=12761184,大象与蚂蚁,https://music.163.com/#/user/home?id=414584
【民谣】藏着故事与远方，唱着人间烟火,290万,https://music.163.com/#/playlist?id=8146959355,总有一束光等着你,https://music.163.com/#/user/home?id=7902236102
Mamatjan abay_买买提江艾白,287万,https://music.163.com/#/playlist?id=308769928,帐号已注销,https://music.163.com/#/user/home?id=247453081
一个人的宝藏小众歌,280万,https://music.163.com/#/playlist?id=5216174555,爱玩的糖子,https://music.163.com/#/user/home?id=620536924
G2er，老樊，枯木逢春，解忧邵帅,268万,https://music.163.com/#/playlist?id=2620917040,亲吻落单的骷髅髅,https://music.163.com/#/user/home?id=1470855512
燃起你学吉他的冲动,261万,https://music.163.com/#/playlist?id=113473313,剑胆guitar心,https://music.163.com/#/user/home?id=47561965
UyguRqa..Mug Nahxila... 维吾尔音乐♪,237万,https://music.163.com/#/playlist?id=3182919567,Abudu-Exclusive_,https://music.163.com/#/user/home?id=618156771
伤感｜要保持清醒尤其在爱里,236万,https://music.163.com/#/playlist?id=4925408881,许柚梓,https://music.163.com/#/user/home?id=1809515254
「民谣」明朝有意抱琴来,235万,https://music.163.com/#/playlist?id=550207935,天才张要要,https://music.163.com/#/user/home?id=302867817
写作业专用BGM（吉他向）,234万,https://music.163.com/#/playlist?id=79338306,天线狗蛋,https://music.163.com/#/user/home?id=6553614
♥我最喜欢的歌♥,231万,https://music.163.com/#/playlist?id=3105914801,Bilkiz-_,https://music.163.com/#/user/home?id=1740625782
【民谣】你可知道你的名字解释了我的一生,227万,https://music.163.com/#/playlist?id=2726688115,刘清浊-,https://music.163.com/#/user/home?id=288567675
↣『 吉他 』Gettar Nahxa Toplimi ♬,226万,https://music.163.com/#/playlist?id=2049703689,Ablat-Music,https://music.163.com/#/user/home?id=609804833
流行＆经典吉他曲 | 动听的背后是苦练,223万,https://music.163.com/#/playlist?id=627871530,轩炫軒,https://music.163.com/#/user/home?id=436702860
水一般的少年，风一般的歌,223万,https://music.163.com/#/playlist?id=629404383,阿杰进化论,https://music.163.com/#/user/home?id=36066613
