歌单名称,播放量,歌单链接,用户名称,用户链接
100首工作看书刷题纯音乐,7797万,https://music.163.com/#/playlist?id=102760137,arbor_eko,https://music.163.com/#/user/home?id=85365685
【国人纯音赏】聆听国人华章,2482万,https://music.163.com/#/playlist?id=379025025,帐号已注销,https://music.163.com/#/user/home?id=55243995
日本音乐中令人惊叹的壮美中国风,1766万,https://music.163.com/#/playlist?id=117712470,般蛋,https://music.163.com/#/user/home?id=95205291
卡农•精选版（已排序）,1363万,https://music.163.com/#/playlist?id=478576772,Only_简单,https://music.163.com/#/user/home?id=323633745
听琴如修禅-巫娜古琴100首,1112万,https://music.163.com/#/playlist?id=88835828,一只大食猪,https://music.163.com/#/user/home?id=65359616
情不自禁想跳舞【经典.原声】,946万,https://music.163.com/#/playlist?id=41766154,音乐分享达人,https://music.163.com/#/user/home?id=613323
学霸模式开启【提神版】,880万,https://music.163.com/#/playlist?id=31064352,兔免免酱,https://music.163.com/#/user/home?id=35947852
极致交响背景乐（SQ无损音质系列1）,875万,https://music.163.com/#/playlist?id=94571095,书融,https://music.163.com/#/user/home?id=401133
最酷最美小提琴纯音乐！,775万,https://music.163.com/#/playlist?id=72033648,达延沁宁,https://music.163.com/#/user/home?id=52634714
李子柒视频背景音乐全收录,767万,https://music.163.com/#/playlist?id=2127570721,我不是李云龙伐,https://music.163.com/#/user/home?id=2888178
世界古典小提琴曲音乐珍藏,672万,https://music.163.com/#/playlist?id=373955762,夕阳下的盛宴,https://music.163.com/#/user/home?id=62230165
干了这碗酒 | 今夜你我都是江湖人,665万,https://music.163.com/#/playlist?id=326432061,齊宣王啃牛角,https://music.163.com/#/user/home?id=2928531
沉思者学习背景音,635万,https://music.163.com/#/playlist?id=481314958,帐号已注销,https://music.163.com/#/user/home?id=81445270
古琴‖清泠由木性 恬澹随人心,598万,https://music.163.com/#/playlist?id=371174745,帐号已注销,https://music.163.com/#/user/home?id=260858359
『无损』惠威试音大碟.高端音响煲机专用,588万,https://music.163.com/#/playlist?id=2716015561,海峡好歌单,https://music.163.com/#/user/home?id=287163860
