歌单名称,播放量,歌单链接,用户名称,用户链接
纯音乐 轻音乐 解压 学习 刷题 睡觉 御用,12576万,https://music.163.com/#/playlist?id=2520739691,风会吹醒丘,https://music.163.com/#/user/home?id=506592007
【纯音乐】伤心自己听着哭吧,7346万,https://music.163.com/#/playlist?id=61650863,帐号已注销,https://music.163.com/#/user/home?id=54173248
深度睡眠 |重度失眠者专用歌单,7283万,https://music.163.com/#/playlist?id=331841455,音旧-,https://music.163.com/#/user/home?id=103159696
纯音乐（想难题/背单词/学习时用）,7281万,https://music.163.com/#/playlist?id=482655706,动土的太岁,https://music.163.com/#/user/home?id=268634957
薛之谦 陈奕迅 李荣浩 林宥嘉 林俊杰 郭顶,6647万,https://music.163.com/#/playlist?id=2306664471,难寻1022,https://music.163.com/#/user/home?id=275788185
那些开口就跪的流行翻唱,6622万,https://music.163.com/#/playlist?id=2790119365,江野北秋,https://music.163.com/#/user/home?id=309158198
【自然纪】睡眠专用背景音乐SLEEP,6154万,https://music.163.com/#/playlist?id=171664498,仝兀谙亓,https://music.163.com/#/user/home?id=583471
「嗨爆」在宿舍御用的蹦迪歌曲,6115万,https://music.163.com/#/playlist?id=2145434166,Quanjfic,https://music.163.com/#/user/home?id=275066773
如果你想听民谣，可以从这些歌曲开始。,5992万,https://music.163.com/#/playlist?id=129627424,完美的灵魂,https://music.163.com/#/user/home?id=136616
适合循环播放 百听不厌的英文歌,5623万,https://music.163.com/#/playlist?id=3848468,惹塵埃,https://music.163.com/#/user/home?id=1846634
【睡觉专用】适合晚上安静听的纯音乐,5306万,https://music.163.com/#/playlist?id=2080883300,_愛喝可乐阿,https://music.163.com/#/user/home?id=279979684
热情有限，爱要及时。,5250万,https://music.163.com/#/playlist?id=2273791508,有点小煩恼i,https://music.163.com/#/user/home?id=629252613
网易云有哪些备受好评的国人纯音乐？,4675万,https://music.163.com/#/playlist?id=651630118,A8级的AniFace,https://music.163.com/#/user/home?id=341496792
等不到的就不要等了 等到了又怎样,4566万,https://music.163.com/#/playlist?id=5461418036,西柚YiFi,https://music.163.com/#/user/home?id=2006752418
四十首精选钢琴曲①,4544万,https://music.163.com/#/playlist?id=4991190,shooting丶star,https://music.163.com/#/user/home?id=138167
【电子】入耳收藏的经典旋律,4346万,https://music.163.com/#/playlist?id=123216450,烈雨,https://music.163.com/#/user/home?id=34272600
深夜歌单 | 凌晨三点的心碎时刻,4167万,https://music.163.com/#/playlist?id=6988887522,四川贫困人口,https://music.163.com/#/user/home?id=354868458
轻柔英文歌 睡觉专用,4007万,https://music.163.com/#/playlist?id=2125896151,亦不语z,https://music.163.com/#/user/home?id=316554251
超好听 由歌曲改编成的钢琴曲 纯音乐,3907万,https://music.163.com/#/playlist?id=359997131,蓦飞,https://music.163.com/#/user/home?id=248891763
睡眠轻音乐(自然篇),3897万,https://music.163.com/#/playlist?id=2254350276,迷失可可西里,https://music.163.com/#/user/home?id=110211830
温柔英文歌-睡觉专用,3859万,https://music.163.com/#/playlist?id=2411629173,w柚w,https://music.163.com/#/user/home?id=368570325
还是会想你 | 一个人听的华语慢情歌,3804万,https://music.163.com/#/playlist?id=2920647537,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
重度失眠歌单【白噪音｜纯音,3764万,https://music.163.com/#/playlist?id=884528449,x_Petrichor,https://music.163.com/#/user/home?id=364917546
催眠曲5分钟入睡,3704万,https://music.163.com/#/playlist?id=3194597807,kiss姐姐_,https://music.163.com/#/user/home?id=630258488
