歌单名称,播放量,歌单链接,用户名称,用户链接
私人雷达,1585731万,https://music.163.com/#/playlist?id=3136952023,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
华语私人订制 | 最懂你的华语推荐 每日更新35首,169679万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语速爆新歌 | 薛之谦：崇拜在爱中卷土重来,108419万,https://music.163.com/#/playlist?id=924680166,网易云音乐,https://music.163.com/#/user/home?id=1
还在听《Havana》吗|时光雷达,72754万,https://music.163.com/#/playlist?id=5320167908,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周新歌推荐] 李荣浩新单满怀少年意气，生来桀骜依然勇越山川,48326万,https://music.163.com/#/playlist?id=2409342460,网易云音乐,https://music.163.com/#/user/home?id=1
欧美私人订制 | 最懂你的欧美推荐 每日更新35首,44376万,https://music.163.com/#/playlist?id=2829816518,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
宝藏雷达,21174万,https://music.163.com/#/playlist?id=5362359247,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
The Weeknd和更多好听的|乐迷雷达,14590万,https://music.163.com/#/playlist?id=5327906368,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
睡眠伴侣 | 选首最合适你的 然后单曲循环,13580万,https://music.163.com/#/playlist?id=2829733864,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
新歌雷达,12850万,https://music.163.com/#/playlist?id=5300458264,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周日语上新] 椎名豪与中川奈美合作《鬼灭之刃》第3季插入曲,9699万,https://music.163.com/#/playlist?id=2819914042,云音乐樱花酱,https://music.163.com/#/user/home?id=1411440874
学习用【安静的纯音乐】〈合订版〉,9345万,https://music.163.com/#/playlist?id=486899256,榕楠雅记,https://music.163.com/#/user/home?id=63263425
隔壁老樊/枯木逢春/解忧邵帅/尚士达/颜人中,9043万,https://music.163.com/#/playlist?id=2335673654,小攀哟,https://music.163.com/#/user/home?id=1407747620
运动随身听 | 必听活力音乐燃料 今天运动了吗,8830万,https://music.163.com/#/playlist?id=2829779628,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
全球百大DJ | 最新2022百大作品集 每日个性化更新100首,8656万,https://music.163.com/#/playlist?id=2888212971,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
高效率专注记忆音乐,7806万,https://music.163.com/#/playlist?id=6683129,小翰子,https://music.163.com/#/user/home?id=5190793
写作业必备(学霸刷题)中文安静,7576万,https://music.163.com/#/playlist?id=729273662,-林央-,https://music.163.com/#/user/home?id=357103835
我们出发吧 | 早 这是今日出发路上的音乐早餐,7480万,https://music.163.com/#/playlist?id=2829807251,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
适合读书时听的欧美小调,7375万,https://music.163.com/#/playlist?id=53950976,爱喝水blbl,https://music.163.com/#/user/home?id=49145791
深度睡眠 |重度失眠者专用歌单,7283万,https://music.163.com/#/playlist?id=331841455,音旧-,https://music.163.com/#/user/home?id=103159696
下班听我的 | 打工人又度过了一天 下班快乐,6974万,https://music.163.com/#/playlist?id=3072883579,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
电音雷达 | 专属于你的电音节奏推荐 每日更新50首,6814万,https://music.163.com/#/playlist?id=2829839197,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
流行点唱机 | 2010年代华语热播 每日30首,6699万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
日系私人订制 | 最懂你的日系推荐 每日更新35首,6272万,https://music.163.com/#/playlist?id=2829896389,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
