歌单名称,播放量,歌单链接,用户名称,用户链接
『震撼心灵的史诗音乐』,6371万,https://music.163.com/#/playlist?id=152261,125dB,https://music.163.com/#/user/home?id=122965
『回忆童年经典动画片主题曲』,5887万,https://music.163.com/#/playlist?id=325606188,立志拯救现在的华语乐坛丶,https://music.163.com/#/user/home?id=87189078
踩点 | 前方高能 让你欲罢不能的BGM,4722万,https://music.163.com/#/playlist?id=2712936322,Vxe-,https://music.163.com/#/user/home?id=1443914349
香港电影中的50首经典歌曲 [追忆录],4229万,https://music.163.com/#/playlist?id=171037362,下一颗巧克力,https://music.163.com/#/user/home?id=2445590
【高燃】游戏视频精彩集锦常用BGM,3759万,https://music.163.com/#/playlist?id=126947268,樱井莜木,https://music.163.com/#/user/home?id=78905899
【史诗纯音】画面感max 震撼灵魂的经典旋律,3317万,https://music.163.com/#/playlist?id=424207055,团战专用小火把,https://music.163.com/#/user/home?id=97412802
致回不去的校园，致那美好的曾经,3129万,https://music.163.com/#/playlist?id=2182683172,可尼晏,https://music.163.com/#/user/home?id=283413472
『1963-至今』日本经典动漫音乐大盘点,3026万,https://music.163.com/#/playlist?id=158010361,佐仓小小千代,https://music.163.com/#/user/home?id=81635197
台湾偶像剧黄金年代|记忆是阵阵花香,2697万,https://music.163.com/#/playlist?id=2134421380,可尼晏,https://music.163.com/#/user/home?id=283413472
一周影视热歌 | 希林娜依高献唱《你给我的喜欢》,2578万,https://music.163.com/#/playlist?id=2900343697,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
BGM-史诗级大气磅礴震撼心灵,2398万,https://music.163.com/#/playlist?id=48466874,先之文,https://music.163.com/#/user/home?id=31572982
振奋激昂的战歌,2345万,https://music.163.com/#/playlist?id=313174192,风衣长毛怪,https://music.163.com/#/user/home?id=118352022
「史诗配乐」 这种音乐可以让你彻底沦陷,2318万,https://music.163.com/#/playlist?id=119955518,Llstener,https://music.163.com/#/user/home?id=84488124
欧美高燃踩点丨荷尔蒙爆炸般的暴力美学,2227万,https://music.163.com/#/playlist?id=5381381410,Amber丶Queen,https://music.163.com/#/user/home?id=90928936
纯音乐的殿堂，震撼你的心灵！,2155万,https://music.163.com/#/playlist?id=112403828,且欠烈酒一壶,https://music.163.com/#/user/home?id=75132382
00后动画片主题曲回忆杀（持续更新）,2031万,https://music.163.com/#/playlist?id=2738888500,-胡图道理-,https://music.163.com/#/user/home?id=1551082163
「史诗配乐」用钢琴奏响华丽的悲壮史诗,1961万,https://music.163.com/#/playlist?id=107391599,Llstener,https://music.163.com/#/user/home?id=84488124
学霸专用，脑细胞工程背景乐,1950万,https://music.163.com/#/playlist?id=7311288,今菁,https://music.163.com/#/user/home?id=5719977
