歌单名称,播放量,歌单链接,用户名称,用户链接
私人雷达,1585729万,https://music.163.com/#/playlist?id=3136952023,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[华语私人订制] 最懂你的华语推荐 每日更新35首,169678万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语速爆新歌 | 薛之谦：崇拜在爱中卷土重来,108419万,https://music.163.com/#/playlist?id=924680166,网易云音乐,https://music.163.com/#/user/home?id=1
还在听《Havana》吗|时光雷达,72754万,https://music.163.com/#/playlist?id=5320167908,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周新歌推荐] 李荣浩新单满怀少年意气，生来桀骜依然勇越山川,48326万,https://music.163.com/#/playlist?id=2409342460,网易云音乐,https://music.163.com/#/user/home?id=1
欧美私人订制 | 最懂你的欧美推荐 每日更新35首,44376万,https://music.163.com/#/playlist?id=2829816518,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
宝藏雷达,21174万,https://music.163.com/#/playlist?id=5362359247,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
那些只听前奏就中毒的英文歌,19181万,https://music.163.com/#/playlist?id=37432514,Teeny,https://music.163.com/#/user/home?id=6438754
The Weeknd和更多好听的|乐迷雷达,14590万,https://music.163.com/#/playlist?id=5327906368,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
睡眠伴侣 | 选首最合适你的 然后单曲循环,13580万,https://music.163.com/#/playlist?id=2829733864,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
新歌雷达,12850万,https://music.163.com/#/playlist?id=5300458264,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周日语上新] 椎名豪与中川奈美合作《鬼灭之刃》第3季插入曲,9699万,https://music.163.com/#/playlist?id=2819914042,云音乐樱花酱,https://music.163.com/#/user/home?id=1411440874
运动随身听 | 必听活力音乐燃料 今天运动了吗,8830万,https://music.163.com/#/playlist?id=2829779628,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
全球百大DJ | 最新2022百大作品集 每日个性化更新100首,8656万,https://music.163.com/#/playlist?id=2888212971,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
会让你心情变好的英文歌单❤,8068万,https://music.163.com/#/playlist?id=2016107008,阿萌酱小可爱,https://music.163.com/#/user/home?id=1304583283
那些年甜甜的歌，甜到爆表～～～,7665万,https://music.163.com/#/playlist?id=2339725169,文琦琦,https://music.163.com/#/user/home?id=117622357
我们出发吧 | 早 这是今日出发路上的音乐早餐,7480万,https://music.163.com/#/playlist?id=2829807251,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
下班听我的 | 打工人又度过了一天 下班快乐,6974万,https://music.163.com/#/playlist?id=3072883579,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
电音雷达 | 专属于你的电音节奏推荐 每日更新50首,6814万,https://music.163.com/#/playlist?id=2829839197,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
流行点唱机 | 2010年代华语热播 每日30首,6699万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
[日系私人订制] 最懂你的日系推荐 每日更新35首,6272万,https://music.163.com/#/playlist?id=2829896389,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
聚精会神 | 看书学习工作必备背景音乐,6146万,https://music.163.com/#/playlist?id=2829821753,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
[一周原创发现] PO8/11带你在变化中汇聚力量,6012万,https://music.163.com/#/playlist?id=2821115454,原创君,https://music.163.com/#/user/home?id=201586
时光点唱机 | 经典老歌带你重回90年代 每日30首,4868万,https://music.163.com/#/playlist?id=2945028696,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
韩系私人订制 | 最懂你的韩系推荐 每日更新35首,4548万,https://music.163.com/#/playlist?id=2829920189,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
青春点唱机 | 你学生时代的MP3 每日更新30首,4369万,https://music.163.com/#/playlist?id=2968527373,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
假日放轻松 | 你的假日音乐随身听,4243万,https://music.163.com/#/playlist?id=3091142760,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
一周欧美上新 | Nicki Minaj联手Ice Spice献唱《芭比》原声,4000万,https://music.163.com/#/playlist?id=2859214503,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
助眠雷雨声 | 为你雨下一整晚,3951万,https://music.163.com/#/playlist?id=2890348606,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
还是会想你 | 一个人听的华语慢情歌,3804万,https://music.163.com/#/playlist?id=2920647537,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
粤语唱片行 | 粤语经典 粤听粤爱,3797万,https://music.163.com/#/playlist?id=3455816,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
听了心情会变好的欢快古风小调,3768万,https://music.163.com/#/playlist?id=2163404529,柒染-Author,https://music.163.com/#/user/home?id=330868440
国风音乐大赏 | 每日更新的国风专属歌单,3739万,https://music.163.com/#/playlist?id=2829961453,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
