歌单名称,播放量,歌单链接,用户名称,用户链接
私人雷达,1585708万,https://music.163.com/#/playlist?id=3136952023,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
华语私人订制 | 最懂你的华语推荐 每日更新35首,169676万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语速爆新歌 | 薛之谦：崇拜在爱中卷土重来,108419万,https://music.163.com/#/playlist?id=924680166,网易云音乐,https://music.163.com/#/user/home?id=1
还在听《Havana》吗|时光雷达,72752万,https://music.163.com/#/playlist?id=5320167908,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周新歌推荐] 李荣浩新单满怀少年意气，生来桀骜依然勇越山川,48326万,https://music.163.com/#/playlist?id=2409342460,网易云音乐,https://music.163.com/#/user/home?id=1
欧美私人订制 | 最懂你的欧美推荐 每日更新35首,44376万,https://music.163.com/#/playlist?id=2829816518,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
经典老歌，久听不厌,24963万,https://music.163.com/#/playlist?id=988690134,流年忧光影,https://music.163.com/#/user/home?id=41751076
『好听的翻唱Cover集』,23599万,https://music.163.com/#/playlist?id=2429488976,我叫椛七,https://music.163.com/#/user/home?id=1509914636
宝藏雷达,21173万,https://music.163.com/#/playlist?id=5362359247,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
700首流行经典老歌 | 80/90/00后怀旧珍藏,15098万,https://music.163.com/#/playlist?id=2451836751,PolooStudio,https://music.163.com/#/user/home?id=122895694
The Weeknd和更多好听的|乐迷雷达,14590万,https://music.163.com/#/playlist?id=5327906368,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
睡眠伴侣 | 选首最合适你的 然后单曲循环,13580万,https://music.163.com/#/playlist?id=2829733864,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
新歌雷达,12849万,https://music.163.com/#/playlist?id=5300458264,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
粤语传世经典，怀旧是人的本能,11127万,https://music.163.com/#/playlist?id=2237551001,橘子树风车,https://music.163.com/#/user/home?id=113047483
1000首华语乐坛神仙打架8090后经典老歌,10855万,https://music.163.com/#/playlist?id=2811031169,约翰德小炒肉,https://music.163.com/#/user/home?id=580821822
[一周日语上新] 椎名豪与中川奈美合作《鬼灭之刃》第3季插入曲,9699万,https://music.163.com/#/playlist?id=2819914042,云音乐樱花酱,https://music.163.com/#/user/home?id=1411440874
90后的回忆杀 - 『持续更新』,9262万,https://music.163.com/#/playlist?id=823754244,抱抱自己好吗,https://music.163.com/#/user/home?id=338082827
运动随身听 | 必听活力音乐燃料 今天运动了吗,8830万,https://music.163.com/#/playlist?id=2829779628,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
全球百大DJ | 最新2022百大作品集 每日个性化更新100首,8656万,https://music.163.com/#/playlist?id=2888212971,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
十年前的歌还在，陪你一起听歌的人呢,7520万,https://music.163.com/#/playlist?id=2850086850,mayuko然,https://music.163.com/#/user/home?id=129593031
我们出发吧 | 早 这是今日出发路上的音乐早餐,7480万,https://music.163.com/#/playlist?id=2829807251,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
下班听我的 | 打工人又度过了一天 下班快乐,6974万,https://music.163.com/#/playlist?id=3072883579,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
【♔私藏】一听就会中毒的英文歌,6817万,https://music.163.com/#/playlist?id=533896713,爱听音乐的猫大叔,https://music.163.com/#/user/home?id=371876620
电音雷达 | 专属于你的电音节奏推荐 每日更新50首,6814万,https://music.163.com/#/playlist?id=2829839197,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
流行点唱机 | 2010年代华语热播 每日30首,6699万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
日系私人订制 | 最懂你的日系推荐 每日更新35首,6272万,https://music.163.com/#/playlist?id=2829896389,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
聚精会神 | 看书学习工作必备背景音乐,6146万,https://music.163.com/#/playlist?id=2829821753,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
[一周原创发现] PO8/11带你在变化中汇聚力量,6012万,https://music.163.com/#/playlist?id=2821115454,原创君,https://music.163.com/#/user/home?id=201586
华语经典丨情歌还是老的好,6004万,https://music.163.com/#/playlist?id=113807957,陈北及,https://music.163.com/#/user/home?id=3432498
说不出名字的那些经典英文歌,5814万,https://music.163.com/#/playlist?id=487457627,机智的兔子刘,https://music.163.com/#/user/home?id=343171909
老歌金曲 | 永恒的经典,5607万,https://music.163.com/#/playlist?id=1988668862,陳音匡,https://music.163.com/#/user/home?id=564782284
时光点唱机 | 经典老歌带你重回90年代 每日30首,4868万,https://music.163.com/#/playlist?id=2945028696,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
韩系私人订制 | 最懂你的韩系推荐 每日更新35首,4548万,https://music.163.com/#/playlist?id=2829920189,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
百首老歌：再续当年情,4545万,https://music.163.com/#/playlist?id=1994370897,情思天鹅,https://music.163.com/#/user/home?id=108952364
『一百首』经典华语怀旧老歌,4441万,https://music.163.com/#/playlist?id=737535139,张思妄,https://music.163.com/#/user/home?id=40136303
青春点唱机 | 你学生时代的MP3 每日更新30首,4369万,https://music.163.com/#/playlist?id=2968527373,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
假日放轻松 | 你的假日音乐随身听,4243万,https://music.163.com/#/playlist?id=3091142760,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
一周欧美上新 | Nicki Minaj联手Ice Spice献唱《芭比》原声,4000万,https://music.163.com/#/playlist?id=2859214503,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
助眠雷雨声 | 为你雨下一整晚,3951万,https://music.163.com/#/playlist?id=2890348606,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
粤语女声：永远心仪,3872万,https://music.163.com/#/playlist?id=893126993,情思天鹅,https://music.163.com/#/user/home?id=108952364
还是会想你 | 一个人听的华语慢情歌,3804万,https://music.163.com/#/playlist?id=2920647537,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
粤语唱片行 | 粤语经典 粤听粤爱,3797万,https://music.163.com/#/playlist?id=3455816,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
音乐才子许嵩经典歌曲,3750万,https://music.163.com/#/playlist?id=162077153,倾心汝之恋0719,https://music.163.com/#/user/home?id=69866982
国风音乐大赏 | 每日更新的国风专属歌单,3739万,https://music.163.com/#/playlist?id=2829961453,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
洗澡时听的歌 | 在浴室里听歌吹泡泡o○o○,3512万,https://music.163.com/#/playlist?id=2829844572,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
时间有泪—香港十大作词人写尽世间酸甜苦辣,3216万,https://music.163.com/#/playlist?id=502843585,小Lsix,https://music.163.com/#/user/home?id=353262946
最是粤语最为情深 也唯独你最难忘怀,3143万,https://music.163.com/#/playlist?id=2388322013,鹿白川,https://music.163.com/#/user/home?id=493707309
徐良＋汪苏泷＋许嵩＝青春,3096万,https://music.163.com/#/playlist?id=1994451394,Xiao_Cheny,https://music.163.com/#/user/home?id=534603121
滚石香港黄金十年,3002万,https://music.163.com/#/playlist?id=2170976338,云逸航翔,https://music.163.com/#/user/home?id=88175736
微醺小酒馆 | 有酒有音乐 不打烊酒馆 今晚营业中,2987万,https://music.163.com/#/playlist?id=2987193702,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
来杯下午茶 | 限定暖心音乐饮品,2947万,https://music.163.com/#/playlist?id=2829827274,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
