歌单名称,播放量,歌单链接,用户名称,用户链接
『国摇』一百支乐队一百种精神信仰,2554万,https://music.163.com/#/playlist?id=2179431622,浮梦沉生,https://music.163.com/#/user/home?id=256834399
林肯公园主唱离世 | 我努力过 但终究徒劳,2152万,https://music.163.com/#/playlist?id=818563810,welphenEDM,https://music.163.com/#/user/home?id=55535424
公路之歌 | 在路上 你需要一首公路之歌,2056万,https://music.163.com/#/playlist?id=5089862808,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
复古青年洗澡时的欢乐,1608万,https://music.163.com/#/playlist?id=109684193,齊宣王啃牛角,https://music.163.com/#/user/home?id=2928531
落日飞车/DecaJoins/盘尼西林/橘子海,1428万,https://music.163.com/#/playlist?id=2134161438,Noise-x,https://music.163.com/#/user/home?id=374353420
许巍的歌是岁月酿的酒,1301万,https://music.163.com/#/playlist?id=2783240,Roger,https://music.163.com/#/user/home?id=48197
流行｜花花世界，去最追寻内心的脚步,1152万,https://music.163.com/#/playlist?id=5000785575,无限自由_jX11,https://music.163.com/#/user/home?id=1426292524
"•国人的噪声美学| 吾生梦幻间, 何事绁尘羁",1075万,https://music.163.com/#/playlist?id=2269884762,BeerBadBlood,https://music.163.com/#/user/home?id=79640896
「英伦摇滚」唱片中的昔日时光,918万,https://music.163.com/#/playlist?id=934792457,xept,https://music.163.com/#/user/home?id=74029445
后摇思潮情绪 | 沉入后摇海洋 与情绪共舞,914万,https://music.163.com/#/playlist?id=5160008524,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
后摇思潮情绪 | 沉入后摇海洋 与情绪共舞,914万,https://music.163.com/#/playlist?id=5160008524,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
打游戏听摇滚 | 电游时节奏与激情的绝佳搭配,897万,https://music.163.com/#/playlist?id=6595593007,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
打游戏听摇滚 | 电游时节奏与激情的绝佳搭配,897万,https://music.163.com/#/playlist?id=6595593007,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
摇滚冇用 你们都衰老了,879万,https://music.163.com/#/playlist?id=2082561128,何小飯儿,https://music.163.com/#/user/home?id=434456227
滚青必听摇滚乐歌单【国摇】,879万,https://music.163.com/#/playlist?id=2644074164,死就一定要死在你手里,https://music.163.com/#/user/home?id=97292607
光辉岁月－Beyond 永远的B安乐队,827万,https://music.163.com/#/playlist?id=2519429498,海峡好歌单,https://music.163.com/#/user/home?id=287163860
梦龙，林肯公园，魔力红，共和，酷玩，翻闹,802万,https://music.163.com/#/playlist?id=75950020,DTake-it,https://music.163.com/#/user/home?id=40707644
摇滚夏日颂°｜少年心气，无畏青春,795万,https://music.163.com/#/playlist?id=6773033546,十三逆旅Cobain,https://music.163.com/#/user/home?id=341030416
励志摇滚 · 人生本是永无止境的攀登,791万,https://music.163.com/#/playlist?id=2246462833,xept,https://music.163.com/#/user/home?id=74029445
摇滚歌单，滚青必听歌单,768万,https://music.163.com/#/playlist?id=7077086165,一束星光呀,https://music.163.com/#/user/home?id=3884670599
「独立摇滚」倾听环游世界的浪漫,752万,https://music.163.com/#/playlist?id=7583348713,Zeroizey,https://music.163.com/#/user/home?id=1909706318
摇滚唱片行 | 欢迎光临 摇滚万岁,696万,https://music.163.com/#/playlist?id=5217150082,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
摇滚唱片行 | 欢迎光临 摇滚万岁,696万,https://music.163.com/#/playlist?id=5217150082,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
