歌单名称,播放量,歌单链接,用户名称,用户链接
私人雷达,1585720万,https://music.163.com/#/playlist?id=3136952023,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
华语私人订制 | 最懂你的华语推荐 每日更新35首,169677万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语速爆新歌 | 盛宇D-SHINE x 詹雯婷：诀别一瞬，遗爱千年,108419万,https://music.163.com/#/playlist?id=924680166,网易云音乐,https://music.163.com/#/user/home?id=1
还在听《Havana》吗|时光雷达,72753万,https://music.163.com/#/playlist?id=5320167908,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周新歌推荐] 李荣浩新单满怀少年意气，生来桀骜依然勇越山川,48326万,https://music.163.com/#/playlist?id=2409342460,网易云音乐,https://music.163.com/#/user/home?id=1
欧美私人订制 | 最懂你的欧美推荐 每日更新35首,44376万,https://music.163.com/#/playlist?id=2829816518,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
耳朵喜欢你 好听到可以单曲循环,23788万,https://music.163.com/#/playlist?id=2232237850,鹿白川,https://music.163.com/#/user/home?id=493707309
『好听的翻唱Cover集』,23599万,https://music.163.com/#/playlist?id=2429488976,我叫椛七,https://music.163.com/#/user/home?id=1509914636
宝藏雷达,21174万,https://music.163.com/#/playlist?id=5362359247,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
听说你也在找好听的华语歌,19984万,https://music.163.com/#/playlist?id=2438292020,鹿白川,https://music.163.com/#/user/home?id=493707309
The Weeknd和更多好听的|乐迷雷达,14590万,https://music.163.com/#/playlist?id=5327906368,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
DJ中文歌曲、咚鼓版,14049万,https://music.163.com/#/playlist?id=2542416403,大千小小,https://music.163.com/#/user/home?id=509245230
睡眠伴侣 | 选首最合适你的 然后单曲循环,13580万,https://music.163.com/#/playlist?id=2829733864,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
新歌雷达,12850万,https://music.163.com/#/playlist?id=5300458264,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
