歌单名称,播放量,歌单链接,用户名称,用户链接
用音乐保持你每天的嘴角上扬,4294万,https://music.163.com/#/playlist?id=2846054862,宁遇夏,https://music.163.com/#/user/home?id=389547363
假日放轻松 | 你的假日音乐随身听,4243万,https://music.163.com/#/playlist?id=3091142760,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
想和你躺在草坪上，慵懒地晒着太阳☀,3435万,https://music.163.com/#/playlist?id=2670054457,树莓小雪糕,https://music.163.com/#/user/home?id=46357447
腐朽而又好闻的资本主义气息,2763万,https://music.163.com/#/playlist?id=519977571,威风大侠,https://music.163.com/#/user/home?id=340412921
个人私藏最好的英文歌,2609万,https://music.163.com/#/playlist?id=25417131,光芒与希望,https://music.163.com/#/user/home?id=18469911
原唱翻唱各有千秋系列,2530万,https://music.163.com/#/playlist?id=2250548490,Seven-EA7,https://music.163.com/#/user/home?id=303959365
做个白日梦 | 发呆 放空 在音乐世界漫游,1558万,https://music.163.com/#/playlist?id=5089867688,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
听陈奕迅的人 心里应该很温柔吧,1497万,https://music.163.com/#/playlist?id=2433117527,绿啵啵冰面包,https://music.163.com/#/user/home?id=395804147
房东的猫（春酒，热夏，秋酿，知寒）,1405万,https://music.163.com/#/playlist?id=827164320,冬风年来花草青,https://music.163.com/#/user/home?id=261264056
网易云评论过二十万的歌曲,1353万,https://music.163.com/#/playlist?id=3069249687,Leafscars,https://music.163.com/#/user/home?id=1304707390
一边散步一边听会感觉自己帅炸,1305万,https://music.163.com/#/playlist?id=977686183,九心然,https://music.163.com/#/user/home?id=263120122
中文| 别爱太满，别睡太晚❤,1108万,https://music.163.com/#/playlist?id=2442979316,阿谢啊,https://music.163.com/#/user/home?id=274516198
31.经典老歌500首（1人1首成名曲）致敬经典,1104万,https://music.163.com/#/playlist?id=7357845752,明阳天下国际拓展,https://music.163.com/#/user/home?id=435898472
欢快旋律清新女声萦绕快乐气氛,1095万,https://music.163.com/#/playlist?id=156720466,变忧郁,https://music.163.com/#/user/home?id=18166979
隔壁老樊•专属歌单,1022万,https://music.163.com/#/playlist?id=2758023678,忒大胆儿,https://music.163.com/#/user/home?id=383976847
不好意思，我又想骗你们谈恋爱了,985万,https://music.163.com/#/playlist?id=2188765627,靳瑶YY,https://music.163.com/#/user/home?id=265162394
【英語】减肥动力之歌,980万,https://music.163.com/#/playlist?id=362016648,Lenn03,https://music.163.com/#/user/home?id=20088110
〖优质男嗓〗听到就心动的声音,964万,https://music.163.com/#/playlist?id=473759386,浮丨光,https://music.163.com/#/user/home?id=48661876
前奏秒杀的小众音乐,903万,https://music.163.com/#/playlist?id=583026715,王谜_,https://music.163.com/#/user/home?id=283858806
医生推荐的催眠音乐,743万,https://music.163.com/#/playlist?id=10908664,外向孤独症患者-7,https://music.163.com/#/user/home?id=3538977
中文旋律说唱 | 旋律与节奏撞出轻松惬意的时光,702万,https://music.163.com/#/playlist?id=6862602894,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
戴上耳机•拥抱美好与今晚的秋风,691万,https://music.163.com/#/playlist?id=5240172096,樱桃味音乐,https://music.163.com/#/user/home?id=1323364095
『私藏佳曲』惊艳耳际，一听倾心,687万,https://music.163.com/#/playlist?id=549789053,雾与晨的杂货店,https://music.163.com/#/user/home?id=103780233
甜甜的歌单 送给甜甜的你,629万,https://music.163.com/#/playlist?id=2875755924,浪漫似你,https://music.163.com/#/user/home?id=1540571970
只想私藏的中文说唱,603万,https://music.163.com/#/playlist?id=1993902005,Still7roy,https://music.163.com/#/user/home?id=329947695
第一缕阳光 | 音乐美若黎明 又是全新一天,601万,https://music.163.com/#/playlist?id=5395050084,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
无意中就很好听的外语歌曲,598万,https://music.163.com/#/playlist?id=114586697,YnngF,https://music.163.com/#/user/home?id=80712548
90后00后流行歌曲.....满满的回忆,592万,https://music.163.com/#/playlist?id=768657518,Kb丶H,https://music.163.com/#/user/home?id=314981204
喜欢到循环播放.,578万,https://music.163.com/#/playlist?id=2490832239,总有一个人会为你而来,https://music.163.com/#/user/home?id=511223242
