歌单名称,播放量,歌单链接,用户名称,用户链接
好听到单曲循环鸭,16382万,https://music.163.com/#/playlist?id=2635359836,麋鹿诞,https://music.163.com/#/user/home?id=1532304755
你是年少的欢喜,15098万,https://music.163.com/#/playlist?id=2347480105,可我留不住你的,https://music.163.com/#/user/home?id=1488170356
高 级 感 vlog 纯音乐 BGM,6355万,https://music.163.com/#/playlist?id=2369772502,一勺海盐,https://music.163.com/#/user/home?id=578848892
『洗澡』收拾/打扫/化妆/面膜专用指南,4567万,https://music.163.com/#/playlist?id=2680828697,Ceaoee,https://music.163.com/#/user/home?id=1368489004
适合延时摄影BGM的音乐,3582万,https://music.163.com/#/playlist?id=102008316,阿勃勃,https://music.163.com/#/user/home?id=125622
【怀疑耳机坏了系列】耳机你对耳朵做了什么,3051万,https://music.163.com/#/playlist?id=130788961,LE_CHAT,https://music.163.com/#/user/home?id=41991812
一秒爱上前奏，开口彻底沦陷。「夏日篇」,2988万,https://music.163.com/#/playlist?id=82636101,格调时代,https://music.163.com/#/user/home?id=17931035
一路向北，百毒不侵。,2838万,https://music.163.com/#/playlist?id=2000607569,天神下凡V5,https://music.163.com/#/user/home?id=20046508
日系温柔 | vlog背景音乐,2734万,https://music.163.com/#/playlist?id=2493547662,比潘胖胖还能吃,https://music.163.com/#/user/home?id=130851092
【毒 • 魇 • 瘾】箱底私藏，无限循环。,2300万,https://music.163.com/#/playlist?id=124092915,LE_CHAT,https://music.163.com/#/user/home?id=41991812
旅拍VLOG背景音乐,2256万,https://music.163.com/#/playlist?id=2018185507,你球球我呀,https://music.163.com/#/user/home?id=247690776
旅行/高级感美妆/vlog BGM,2189万,https://music.163.com/#/playlist?id=2515180809,Ceaoee,https://music.163.com/#/user/home?id=1368489004
◤旅游Vlog◢航拍，学习bgm，旅行短视频,2077万,https://music.163.com/#/playlist?id=718439494,西西弗的猫Iris,https://music.163.com/#/user/home?id=76536833
公路之歌 | 在路上 你需要一首公路之歌,2056万,https://music.163.com/#/playlist?id=5089862808,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
