歌单名称,播放量,歌单链接,用户名称,用户链接
[一周日语上新] 椎名豪与中川奈美合作《鬼灭之刃》第3季插入曲,9699万,https://music.163.com/#/playlist?id=2819914042,云音乐樱花酱,https://music.163.com/#/user/home?id=1411440874
日系/无前奏：开口即跪 一秒沦陷,6663万,https://music.163.com/#/playlist?id=2105681544,chaz1,https://music.163.com/#/user/home?id=129377889
日语歌单。每一首都可循环。,5194万,https://music.163.com/#/playlist?id=164238075,iMemories,https://music.163.com/#/user/home?id=121136072
『那些评论破万的日文歌』更新中,3594万,https://music.163.com/#/playlist?id=2196947449,柒月的布偶猫,https://music.163.com/#/user/home?id=269677190
超好听の二次元日文歌,3280万,https://music.163.com/#/playlist?id=443797814,小仙女七七酱,https://music.163.com/#/user/home?id=283230319
如何用手机铃声惊艳四座？ 日语篇,3155万,https://music.163.com/#/playlist?id=2326098492,白川京,https://music.163.com/#/user/home?id=253413447
『1963-至今』日本经典动漫音乐大盘点,3026万,https://music.163.com/#/playlist?id=158010361,佐仓小小千代,https://music.163.com/#/user/home?id=81635197
日本人气唱见，每人一首良曲,2858万,https://music.163.com/#/playlist?id=94284266,日代千鹤,https://music.163.com/#/user/home?id=64004173
「日系」中毒|听说你也喜欢开口跪？,2158万,https://music.163.com/#/playlist?id=748209731,挽梦忆笙歌owo,https://music.163.com/#/user/home?id=426210513
日系温柔女声| 沐浴在歌声中的暖阳下,2155万,https://music.163.com/#/playlist?id=2088799380,chaz1,https://music.163.com/#/user/home?id=129377889
【双声道】用耳机才能感受的歌曲,2090万,https://music.163.com/#/playlist?id=460001609,卡布达和可达鸭,https://music.163.com/#/user/home?id=291283209
【日】前奏×开口＝入坑 (Part.1),2009万,https://music.163.com/#/playlist?id=798254441,DMao酱,https://music.163.com/#/user/home?id=9602004
日语｜无可救药的孤独症患者,1885万,https://music.163.com/#/playlist?id=984196486,PurionPurion,https://music.163.com/#/user/home?id=62696289
日语歌单曲循环中毒系列,1704万,https://music.163.com/#/playlist?id=724106934,uddkdm,https://music.163.com/#/user/home?id=483464191
「日系」那些细腻温柔的女声＋做作业专用,1562万,https://music.163.com/#/playlist?id=827912183,-Hxxxxy,https://music.163.com/#/user/home?id=354800256
日系丨高音炸裂！音量已无法降低,1534万,https://music.163.com/#/playlist?id=998121738,chaz1,https://music.163.com/#/user/home?id=129377889
【日系&治愈】任何时候都要保持微笑哦,1499万,https://music.163.com/#/playlist?id=130904871,樱井莜木,https://music.163.com/#/user/home?id=78905899
动漫/神曲音乐集,1361万,https://music.163.com/#/playlist?id=2571114602,账号以可以注销,https://music.163.com/#/user/home?id=1419001227
日系慵懒小调 | 暖暖的午后与嗜睡的人儿,1277万,https://music.163.com/#/playlist?id=2385594875,帐号已注销,https://music.163.com/#/user/home?id=472003918
【日积月累】的日系良曲,1276万,https://music.163.com/#/playlist?id=467824586,左丘绮山,https://music.163.com/#/user/home?id=294528750
米津玄師（八爷） 自选/精选,1262万,https://music.163.com/#/playlist?id=2226970083,Agent_XX,https://music.163.com/#/user/home?id=484585818
日系&ACG｜百遍循环遇知音,1237万,https://music.163.com/#/playlist?id=430657150,阿卡琳,https://music.163.com/#/user/home?id=45441555
百首日系抒情，总有一首触动你的心,1232万,https://music.163.com/#/playlist?id=2048970456,PurionPurion,https://music.163.com/#/user/home?id=62696289
『日系风』戴上耳机—渐入佳境,1222万,https://music.163.com/#/playlist?id=923150699,赤瞳混剪,https://music.163.com/#/user/home?id=310007605
评论过万日语歌合集,1186万,https://music.163.com/#/playlist?id=2137987910,寂静和光,https://music.163.com/#/user/home?id=81845106
[耳机福利]{日语}3d环绕＋双声道＋多人合唱,1142万,https://music.163.com/#/playlist?id=911853592,琳某想搞夜宵7,https://music.163.com/#/user/home?id=325984604
那些听前奏就沦陷的日语歌（女声篇）,1114万,https://music.163.com/#/playlist?id=2653845699,ALvetX,https://music.163.com/#/user/home?id=71291842
『ACG|高燃向』点燃这绝望的火光,1080万,https://music.163.com/#/playlist?id=646548465,不知道取啥名的风,https://music.163.com/#/user/home?id=252749938
网易云上评论过万的动漫音乐（已排序）,1036万,https://music.163.com/#/playlist?id=872489358,佐仓小小千代,https://music.163.com/#/user/home?id=81635197
初代到德凯所有奥特曼主题曲,989万,https://music.163.com/#/playlist?id=2936140764,abobo纳尼莫哝哒,https://music.163.com/#/user/home?id=613087056
『日系/ACG』打破次元壁的宅音⊙▽⊙,957万,https://music.163.com/#/playlist?id=634265582,奈奈奈奈奈亚子,https://music.163.com/#/user/home?id=110489416
那些好听的日漫主题曲,931万,https://music.163.com/#/playlist?id=440999611,-_-千葉,https://music.163.com/#/user/home?id=127172118
评论数最多的动漫音乐TOP100（长期更新）,919万,https://music.163.com/#/playlist?id=4962282363,佐仓小小千代,https://music.163.com/#/user/home?id=81635197
「日系」耳机福利，电音与女毒的结合,895万,https://music.163.com/#/playlist?id=437894705,Areal肥阳,https://music.163.com/#/user/home?id=88644734
日系|就迎着这捧月光，扫去一整天的疲惫,886万,https://music.163.com/#/playlist?id=5390607772,叫我Kuma先生,https://music.163.com/#/user/home?id=634343430
「日系」一开始就被前奏秒杀系列②,872万,https://music.163.com/#/playlist?id=161293404,帐号已注销,https://music.163.com/#/user/home?id=106939416
『日系翻唱』惊艳双耳的国人翻唱！,871万,https://music.163.com/#/playlist?id=692659541,右心丶,https://music.163.com/#/user/home?id=267679591
不需要过多的伴奏，清唱也是一种美,868万,https://music.163.com/#/playlist?id=959475356,PurionPurion,https://music.163.com/#/user/home?id=62696289
【日漫】评论过万的动漫歌曲,824万,https://music.163.com/#/playlist?id=461884936,高频犯困i,https://music.163.com/#/user/home?id=135980466
東方百首神曲集,769万,https://music.163.com/#/playlist?id=10602549,倾国倾城红美玲,https://music.163.com/#/user/home?id=2198975
【日系】抄作业摸鱼超有干劲（请看简介）,758万,https://music.163.com/#/playlist?id=2057178951,laundry_laundry,https://music.163.com/#/user/home?id=1340688227
【绘画/肝图食用】适合画画时听的BGM,746万,https://music.163.com/#/playlist?id=534733414,_Molin_P,https://music.163.com/#/user/home?id=304632243
可爱即正义！想和这样的女孩子交往！,741万,https://music.163.com/#/playlist?id=817197703,花嫁赫萝,https://music.163.com/#/user/home?id=83659385
「ACG」动漫燃曲嘉年华！你们准备好了吗？,727万,https://music.163.com/#/playlist?id=444349258,野良兔,https://music.163.com/#/user/home?id=33431226
百首必备ACG/日系良曲精选集(普及向),704万,https://music.163.com/#/playlist?id=65321097,凛口Lynko,https://music.163.com/#/user/home?id=56164382
百首日系深情，献给我曾挚爱过的你,683万,https://music.163.com/#/playlist?id=2166790155,PurionPurion,https://music.163.com/#/user/home?id=62696289
入梦令丨日式女声哼唱 耳语般的安眠小调,669万,https://music.163.com/#/playlist?id=637870799,团战专用小火把,https://music.163.com/#/user/home?id=97412802
[日系]节奏和热血，建议犯困时食用,665万,https://music.163.com/#/playlist?id=2184860868,haneian,https://music.163.com/#/user/home?id=321035404
日式少年音，温柔少年心,655万,https://music.163.com/#/playlist?id=1992664557,xept,https://music.163.com/#/user/home?id=74029445
『日系&前奏控』钢琴与人声的完美结合,654万,https://music.163.com/#/playlist?id=422850794,maaaaaaaaaad,https://music.163.com/#/user/home?id=135010123
【日语】杂食爱好者天堂,645万,https://music.163.com/#/playlist?id=808707305,五号桃小姐,https://music.163.com/#/user/home?id=77077281
【日语歌曲精选】好听的日文歌曲,631万,https://music.163.com/#/playlist?id=446586417,萌栀梦,https://music.163.com/#/user/home?id=316575272
『日语电子』清纯可爱 温柔中不失一抹躁动,622万,https://music.163.com/#/playlist?id=959795218,ALvetX,https://music.163.com/#/user/home?id=71291842
『日摇』烟火盛放的清新夏夜,621万,https://music.163.com/#/playlist?id=753054763,明石AKashi,https://music.163.com/#/user/home?id=327424933
『日系』值得循环的50首天籁女声③,613万,https://music.163.com/#/playlist?id=409387125,maaaaaaaaaad,https://music.163.com/#/user/home?id=135010123
【日系燃曲】吾，即是为战斗而存在,610万,https://music.163.com/#/playlist?id=2137215049,白川京,https://music.163.com/#/user/home?id=253413447
好听不腻的日语歌单,601万,https://music.163.com/#/playlist?id=872823430,海上森林灬一只貓,https://music.163.com/#/user/home?id=99158621
「日系J-pop」一秒天堂，沉沦女声,590万,https://music.163.com/#/playlist?id=121000390,BlindSnowflake,https://music.163.com/#/user/home?id=75179909
