歌单名称,播放量,歌单链接,用户名称,用户链接
JDM PHONK☁︎,1171万,https://music.163.com/#/playlist?id=2357517575,西西弗xx,https://music.163.com/#/user/home?id=480170549
枪花涅槃绿洲蝎子绿日电司山羊皮ACDC摇滚乐,462万,https://music.163.com/#/playlist?id=694592708,Gentle_M,https://music.163.com/#/user/home?id=282974719
自由与信仰 | 音乐是我们的解药,439万,https://music.163.com/#/playlist?id=637718317,如花一般绽放丶,https://music.163.com/#/user/home?id=50430012
后朋克精选 | 激昂青春 感受后朋克的叛逆躁动,438万,https://music.163.com/#/playlist?id=5317236517,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
《赛博朋克2077》原声大碟【往日之影在即】,365万,https://music.163.com/#/playlist?id=2273082248,究刺_吾以己孩,https://music.163.com/#/user/home?id=1642842
45度角仰望天空才是听朋克的正确姿势,342万,https://music.163.com/#/playlist?id=367179654,帅到掉渣,https://music.163.com/#/user/home?id=520621
顶级对抗路 “压迫感”,333万,https://music.163.com/#/playlist?id=5340574965,谁喜欢-,https://music.163.com/#/user/home?id=3278204253
动感单车 | 风驰电掣 车轮的速度由你掌控,303万,https://music.163.com/#/playlist?id=7481460537,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
运动必备Pop Punk丨戴上耳机世界属于你,245万,https://music.163.com/#/playlist?id=2142690198,爱听音乐的猫大叔,https://music.163.com/#/user/home?id=371876620
『复古风』蒸汽波/Funk/Disco/节奏感 ▋持更,244万,https://music.163.com/#/playlist?id=5042071767,BTS_Liya黎鸭,https://music.163.com/#/user/home?id=1435173368
自由朋克 I 孩子般的无畏和真诚,234万,https://music.163.com/#/playlist?id=2408549654,山河暮归,https://music.163.com/#/user/home?id=302227129
「乐队的夏天」值得一听的中国乐队,226万,https://music.163.com/#/playlist?id=2725009176,断鸢DarkEagle,https://music.163.com/#/user/home?id=15825940
关于日落关于你,220万,https://music.163.com/#/playlist?id=4902429741,秋约日报,https://music.163.com/#/user/home?id=3247072341
朋克青年的养生秘笈,188万,https://music.163.com/#/playlist?id=970236553,满头呆毛啊,https://music.163.com/#/user/home?id=546079061
〖 国内小众乐队出众歌曲〗,181万,https://music.163.com/#/playlist?id=127426375,SS略略略略,https://music.163.com/#/user/home?id=91052865
摇滚乐确实拯救了我们,164万,https://music.163.com/#/playlist?id=2453524011,郑老师唉,https://music.163.com/#/user/home?id=47711432
「⋆͛=͟͟͞͞hyperpop*」二次元*亚文化,162万,https://music.163.com/#/playlist?id=5172056051,嗷念念,https://music.163.com/#/user/home?id=1782410452
G港刚枪‖专属战歌 大吉大利 今晚吃鸡,154万,https://music.163.com/#/playlist?id=7389850111,AnKoVV,https://music.163.com/#/user/home?id=305172450
RAGE + Cloud rap,150万,https://music.163.com/#/playlist?id=91712078,街區男孩,https://music.163.com/#/user/home?id=50667667
XXXTentacion,141万,https://music.163.com/#/playlist?id=734663610,DoubleSunBoi,https://music.163.com/#/user/home?id=40305802
有节奏的激烈“碰撞”,140万,https://music.163.com/#/playlist?id=4886015521,晚睨,https://music.163.com/#/user/home?id=308077328
赛博朋克 | 失真未来的都市穿梭,140万,https://music.163.com/#/playlist?id=2839749041,海螺J,https://music.163.com/#/user/home?id=53687771
SCHOOL的午夜歌单Vol.2,137万,https://music.163.com/#/playlist?id=468455499,SCHOOL学校酒吧,https://music.163.com/#/user/home?id=279163426
中国朋朋朋朋朋克！！,133万,https://music.163.com/#/playlist?id=94115698,大厦崩塌,https://music.163.com/#/user/home?id=46095374
「hyperpop」亚文化 · 二次元¥-^_^ · 亚比,132万,https://music.163.com/#/playlist?id=3184923715,噫眞理,https://music.163.com/#/user/home?id=1383065166
南城第一美，花儿大张伟,132万,https://music.163.com/#/playlist?id=325723071,白色Smile,https://music.163.com/#/user/home?id=16317785
复古日式Funk 蒸汽波原曲采样集,132万,https://music.163.com/#/playlist?id=631395053,鱼丸攻,https://music.163.com/#/user/home?id=109521428
那些年老不正经的洗脑神曲,130万,https://music.163.com/#/playlist?id=16580959,小精精,https://music.163.com/#/user/home?id=16381431
主播油条的BGM 斗鱼TV,130万,https://music.163.com/#/playlist?id=42491842,词不悉心,https://music.163.com/#/user/home?id=2310022
新浪潮摇滚 | 无法定义的魅力音乐,122万,https://music.163.com/#/playlist?id=5461475286,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
后朋克° 明天我们一起死掉,122万,https://music.163.com/#/playlist?id=383627960,玛丽锁链不同意,https://music.163.com/#/user/home?id=68140853
