歌单名称,播放量,歌单链接,用户名称,用户链接
支撑美术画画Or肝作业的力量 耐听 杂食,8223万,https://music.163.com/#/playlist?id=981112680,樱剑乱舞,https://music.163.com/#/user/home?id=252072382
永远听不腻的英文歌,6408万,https://music.163.com/#/playlist?id=46437175,341138,https://music.163.com/#/user/home?id=36296730
[RAP]中文励志说唱-为梦想努力奋斗,2898万,https://music.163.com/#/playlist?id=2116945770,Evan呀,https://music.163.com/#/user/home?id=268589209
【华语】那些年，我们曾抄写過的歌词,2608万,https://music.163.com/#/playlist?id=758106745,Romantic丶Notes,https://music.163.com/#/user/home?id=90953939
〖α波记忆音乐〗专注强化学习考试记忆力,2399万,https://music.163.com/#/playlist?id=2390862226,华雨静,https://music.163.com/#/user/home?id=11479664
求求你们了，让我睡会儿好不好,1760万,https://music.163.com/#/playlist?id=2131958935,宇宙点歌台,https://music.163.com/#/user/home?id=320307906
风月无憾 | 你是我有关青春 最美的句读,1658万,https://music.163.com/#/playlist?id=2324361508,外太空来的Mercy,https://music.163.com/#/user/home?id=308097990
“青春就是马不停蹄地相遇和错过”,1622万,https://music.163.com/#/playlist?id=7656016959,是猪猪耶耶耶,https://music.163.com/#/user/home?id=5018311139
「杂食向」一写作业就犯困／救星来袭,1417万,https://music.163.com/#/playlist?id=310128330,Scarecrow__,https://music.163.com/#/user/home?id=51510861
『日系风』戴上耳机—渐入佳境,1223万,https://music.163.com/#/playlist?id=923150699,赤瞳混剪,https://music.163.com/#/user/home?id=310007605
傍晚一起去看晚霞好吗,1020万,https://music.163.com/#/playlist?id=2331539458,冬日与猫-,https://music.163.com/#/user/home?id=393698298
如何优雅地逼疯你的室友？,945万,https://music.163.com/#/playlist?id=894736116,扥你,https://music.163.com/#/user/home?id=95142402
高考提分哪家强，听完此单斗志昂,871万,https://music.163.com/#/playlist?id=747075590,emonday,https://music.163.com/#/user/home?id=41455956
「毕业将至」在校园谈场甜甜的恋爱吧。,752万,https://music.163.com/#/playlist?id=2767397735,宠着长岛冰茶吗,https://music.163.com/#/user/home?id=375540586
『致初恋』在最懵懂的时光爱上你,750万,https://music.163.com/#/playlist?id=564310352,扥你,https://music.163.com/#/user/home?id=95142402
【毕业季】青春不说再见，昨日不留遗憾,748万,https://music.163.com/#/playlist?id=722733642,谁是张力夫,https://music.163.com/#/user/home?id=69852547
