歌单名称,播放量,歌单链接,用户名称,用户链接
2018年度最热新歌TOP100,17585万,https://music.163.com/#/playlist?id=2578068117,网易云音乐,https://music.163.com/#/user/home?id=1
DJ中文歌曲、咚鼓版,14050万,https://music.163.com/#/playlist?id=2542416403,大千小小,https://music.163.com/#/user/home?id=509245230
评论过万的英文歌与潜力股,13969万,https://music.163.com/#/playlist?id=75182300,吴雪龙,https://music.163.com/#/user/home?id=39468344
全球最高下载量单曲Top 100,9200万,https://music.163.com/#/playlist?id=117586346,welphenEDM,https://music.163.com/#/user/home?id=55535424
那些百听不厌的华语热歌,9146万,https://music.163.com/#/playlist?id=2512931513,喝奶茶要加珍珠奥,https://music.163.com/#/user/home?id=599035249
网易云热榜歌曲2023【持续更新ing】,7345万,https://music.163.com/#/playlist?id=2326800663,陈温柔哇,https://music.163.com/#/user/home?id=1528495944
「欧美流行」那些你想找又找不到的歌曲,6499万,https://music.163.com/#/playlist?id=889960888,G00d9T,https://music.163.com/#/user/home?id=368072354
YouTube上最受欢迎的音乐MV Top100,6337万,https://music.163.com/#/playlist?id=500471426,贝壳重庆租售,https://music.163.com/#/user/home?id=51803877
2023网易云流行歌曲推荐,5356万,https://music.163.com/#/playlist?id=6782971019,何木期,https://music.163.com/#/user/home?id=1518891014
网易云最好听宝藏歌曲推荐（更新快）,3993万,https://music.163.com/#/playlist?id=6766661664,勒溪,https://music.163.com/#/user/home?id=366640984
国产HipHop从地下到地上,3974万,https://music.163.com/#/playlist?id=638864394,设计院OG,https://music.163.com/#/user/home?id=362526327
2019年度最热新歌TOP50,3891万,https://music.163.com/#/playlist?id=3172849329,网易云音乐,https://music.163.com/#/user/home?id=1
2018上半年最热新歌TOP50,3636万,https://music.163.com/#/playlist?id=2303649893,网易云音乐,https://music.163.com/#/user/home?id=1
网易云评论最多粤语歌TOP50,3611万,https://music.163.com/#/playlist?id=3107640832,蚕豆音乐娘,https://music.163.com/#/user/home?id=275326625
