歌单名称,播放量,歌单链接,用户名称,用户链接
欧美私人订制 | 最懂你的欧美推荐 每日更新35首,44370万,https://music.163.com/#/playlist?id=2829816518,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
【节奏控】那些超带感的音乐,29671万,https://music.163.com/#/playlist?id=306397077,原点FM,https://music.163.com/#/user/home?id=247176530
那些只听前奏就中毒的英文歌,19181万,https://music.163.com/#/playlist?id=37432514,Teeny,https://music.163.com/#/user/home?id=6438754
【节奏控】超带感的英文歌（经典篇）,16589万,https://music.163.com/#/playlist?id=312734124,原点FM,https://music.163.com/#/user/home?id=247176530
百首良曲|刷（抄）作业必备燃曲,14533万,https://music.163.com/#/playlist?id=1982383224,贰拾壹阿-,https://music.163.com/#/user/home?id=552139943
评论过万的英文歌与潜力股,13968万,https://music.163.com/#/playlist?id=75182300,吴雪龙,https://music.163.com/#/user/home?id=39468344
欧美 | 前奏跪 × 开口脆,12614万,https://music.163.com/#/playlist?id=814812699,迟到情书,https://music.163.com/#/user/home?id=330932370
运动随身听 | 必听活力音乐燃料 今天运动了吗,8829万,https://music.163.com/#/playlist?id=2829779628,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
会让你心情变好的英文歌单❤,8068万,https://music.163.com/#/playlist?id=2016107008,阿萌酱小可爱,https://music.163.com/#/user/home?id=1304583283
欧美精选：动感节奏，治瘾旋律,7842万,https://music.163.com/#/playlist?id=2786175968,小攀哟,https://music.163.com/#/user/home?id=1407747620
适合读书时听的欧美小调,7375万,https://music.163.com/#/playlist?id=53950976,爱喝水blbl,https://music.163.com/#/user/home?id=49145791
「欧美流行」那些你想找又找不到的歌曲,6499万,https://music.163.com/#/playlist?id=889960888,G00d9T,https://music.163.com/#/user/home?id=368072354
精选 | 百听不厌的英文歌,5466万,https://music.163.com/#/playlist?id=467058152,艾琳艾德勒丶,https://music.163.com/#/user/home?id=82179192
「电子•女声」惊艳耳际，一秒倾心,5253万,https://music.163.com/#/playlist?id=798130521,佛山李嘉欣,https://music.163.com/#/user/home?id=258653372
【欧美】那些让耳朵怀孕的英文歌曲～,5223万,https://music.163.com/#/playlist?id=2390539027,Mysterious-Box,https://music.163.com/#/user/home?id=1558934331
提神醒脑 疯狂抖腿魔性摇头.GIF,4998万,https://music.163.com/#/playlist?id=2364146680,鹿白川,https://music.163.com/#/user/home?id=493707309
热血燃向｜提神醒脑防瞌睡型BGM,4918万,https://music.163.com/#/playlist?id=891370354,是走一步,https://music.163.com/#/user/home?id=74879438
