歌单名称,播放量,歌单链接,用户名称,用户链接
电子·中国风 I 感受角徵宫商的荡气回肠,2818万,https://music.163.com/#/playlist?id=316223640,Xenyc,https://music.163.com/#/user/home?id=85351650
"草原歌曲100首,珍藏纪念合辑,朋友们一起聆",1319万,https://music.163.com/#/playlist?id=731376132,华雨静,https://music.163.com/#/user/home?id=11479664
『古风女声』扶柔倾国色，风华绝世人,1309万,https://music.163.com/#/playlist?id=390874017,漓辞,https://music.163.com/#/user/home?id=110706964
国风电音‖朕在大清皇宫打碟,1124万,https://music.163.com/#/playlist?id=704540288,沧暮归云云,https://music.163.com/#/user/home?id=316275989
精选 |藏歌 百听不厌,1001万,https://music.163.com/#/playlist?id=716349723,东智仁青,https://music.163.com/#/user/home?id=103576654
Abdulla Abdurehim 阿不都拉,952万,https://music.163.com/#/playlist?id=557065683,ALM灬阿帥,https://music.163.com/#/user/home?id=99063213
halik nahxiliri 民歌,905万,https://music.163.com/#/playlist?id=2435698723,月光下的爱-D,https://music.163.com/#/user/home?id=495067677
UyGuR ♬ 维吾尔,894万,https://music.163.com/#/playlist?id=4912335515,帐号已注销,https://music.163.com/#/user/home?id=1754670651
❥Muhabbat KuyLiri 爱情歌单✰,846万,https://music.163.com/#/playlist?id=709661104,Abdu-FM罒,https://music.163.com/#/user/home?id=474773477
muhabbat kuyliri 爱情歌单,801万,https://music.163.com/#/playlist?id=2976510453,Tivex-mrzhmt,https://music.163.com/#/user/home?id=367262889
mug nahxila / isil kuyla /好听的歌曲,776万,https://music.163.com/#/playlist?id=2173886541,紫燕__TNT,https://music.163.com/#/user/home?id=395839309
TIBET SONG | 藏歌精选,773万,https://music.163.com/#/playlist?id=906407497,Dream_d7,https://music.163.com/#/user/home?id=473161513
「慎入」京剧入门洗脑有毒,747万,https://music.163.com/#/playlist?id=691837867,黑石礁大客,https://music.163.com/#/user/home?id=395271954
国风电音丨迷醉在朦胧诗华的江南中,738万,https://music.163.com/#/playlist?id=2321969053,音凛酱,https://music.163.com/#/user/home?id=1520598158
天籁之音、草原绝响,733万,https://music.163.com/#/playlist?id=61685177,魚儿Ysy,https://music.163.com/#/user/home?id=58499089
「合唱团歌集」独乐乐不如众乐乐,717万,https://music.163.com/#/playlist?id=866289966,鮭魚先森,https://music.163.com/#/user/home?id=9890112
德云女孩作业清单·相思赋予谁 小辫儿张云雷,672万,https://music.163.com/#/playlist?id=2502457181,鹤禅眠,https://music.163.com/#/user/home?id=248426205
新疆/维吾尔歌王｜Abdulla Abdurehim ,666万,https://music.163.com/#/playlist?id=924928640,AdeeL丨,https://music.163.com/#/user/home?id=589125151
