歌单名称,播放量,歌单链接,用户名称,用户链接
如果你想听民谣，可以从这些歌曲开始。,5992万,https://music.163.com/#/playlist?id=129627424,完美的灵魂,https://music.163.com/#/user/home?id=136616
烟酒嗓与民谣儿°,5102万,https://music.163.com/#/playlist?id=329641066,君向何兮丶,https://music.163.com/#/user/home?id=261785671
一个比较走心的民谣歌单,4927万,https://music.163.com/#/playlist?id=2067079376,小道先森,https://music.163.com/#/user/home?id=275162615
那些触动人心的女声民谣,4870万,https://music.163.com/#/playlist?id=388692880,LeooooooXX,https://music.163.com/#/user/home?id=111362698
民谣歌单（陈鸿宇赵雷宋冬野房东的猫）,4544万,https://music.163.com/#/playlist?id=2214751386,亲这边建议您不要网恋,https://music.163.com/#/user/home?id=617541172
民谣是最安静的角落,4458万,https://music.163.com/#/playlist?id=110759778,Joiephos,https://music.163.com/#/user/home?id=44696176
你总要一个人，经历些难捱的日子。,4411万,https://music.163.com/#/playlist?id=919620061,mayuko然,https://music.163.com/#/user/home?id=129593031
陈粒/程璧/谢春花/房东的猫,4004万,https://music.163.com/#/playlist?id=615146628,迟到情书,https://music.163.com/#/user/home?id=330932370
100首华语民谣，因为懂得才有共鸣,3703万,https://music.163.com/#/playlist?id=2312165875,情思天鹅,https://music.163.com/#/user/home?id=108952364
孤独的时候别听民谣,3050万,https://music.163.com/#/playlist?id=446011003,赵哈哈小先生,https://music.163.com/#/user/home?id=100837764
民谣女流氓__花粥,2926万,https://music.163.com/#/playlist?id=59015966,型男改造计划,https://music.163.com/#/user/home?id=3228330
我知道风里有诗，那正是民谣的歌,2593万,https://music.163.com/#/playlist?id=879463910,情思天鹅,https://music.163.com/#/user/home?id=108952364
小清新民谣|一听就会爱上的歌,2432万,https://music.163.com/#/playlist?id=518470994,被强煎的双黄蛋,https://music.163.com/#/user/home?id=272942008
民谣吉他有烟有酒 深夜歌单.（个别非民谣）,2298万,https://music.163.com/#/playlist?id=2547569563,生活v5,https://music.163.com/#/user/home?id=1689199363
「民谣」姑娘你怂了，提起往事你眼红了,2059万,https://music.163.com/#/playlist?id=426181886,寺司_,https://music.163.com/#/user/home?id=113468546
与 民 谣 共 老 吧,1996万,https://music.163.com/#/playlist?id=605762169,迟到情书,https://music.163.com/#/user/home?id=330932370
「民谣」边走边唱如诗如歌如理想,1917万,https://music.163.com/#/playlist?id=2765579776,情思天鹅,https://music.163.com/#/user/home?id=108952364
【民谣】民谣是毒也是药,1842万,https://music.163.com/#/playlist?id=113628993,零下Young,https://music.163.com/#/user/home?id=54278024
国风民谣 |满堂花醉三千客，一剑霜寒十四州,1781万,https://music.163.com/#/playlist?id=2331136477,鹤禅眠,https://music.163.com/#/user/home?id=248426205
民谣精选 你的名字美如诗,1745万,https://music.163.com/#/playlist?id=974763910,鹿白川,https://music.163.com/#/user/home?id=493707309
[民谣]携一把吉他，温三两故事，四海为家,1711万,https://music.163.com/#/playlist?id=2221422692,GT_Li,https://music.163.com/#/user/home?id=1328538099
独立民谣 | 城市喧嚣之外 让心找到平静的处所,1683万,https://music.163.com/#/playlist?id=5320294514,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
独立民谣 | 城市喧嚣之外 让心找到平静的处所,1683万,https://music.163.com/#/playlist?id=5320294514,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
那些听不腻的民谣,1619万,https://music.163.com/#/playlist?id=805664586,中意陳伊森,https://music.163.com/#/user/home?id=448528907
从南山南到安河桥北,1609万,https://music.163.com/#/playlist?id=2481829028,千珏-狼灵,https://music.163.com/#/user/home?id=1646495103
【民谣里】姑娘，你的酒铺还缺人么,1580万,https://music.163.com/#/playlist?id=820084317,猫头罐与六便士,https://music.163.com/#/user/home?id=446020942
单曲循环☞听不腻☜的民谣歌单,1549万,https://music.163.com/#/playlist?id=2099724538,小道先森,https://music.163.com/#/user/home?id=275162615
【一人一首民谣】--爱上民谣因为习惯了孤独,1541万,https://music.163.com/#/playlist?id=465651577,渐渐_____,https://music.163.com/#/user/home?id=128984380
隔壁老樊 解忧邵帅 枯木逢春,1515万,https://music.163.com/#/playlist?id=2748205282,1sayeee,https://music.163.com/#/user/home?id=596499189
华语民谣 | 让你感受百态人生 （持续更新）,1475万,https://music.163.com/#/playlist?id=2852446396,飞行棋的猫mor,https://music.163.com/#/user/home?id=1478756408
想开家茶馆，放首民谣给从前,1461万,https://music.163.com/#/playlist?id=919939187,螚安Vivienne,https://music.163.com/#/user/home?id=320509339
民谣 / 成长中的情绪共谋者,1422万,https://music.163.com/#/playlist?id=131368017,-云端有风,https://music.163.com/#/user/home?id=106819751
隔壁老樊，万能青年，杜航，解忧邵帅..,1402万,https://music.163.com/#/playlist?id=2554293285,我想睡觉啦k,https://music.163.com/#/user/home?id=484529978
「民谣」民谣是唱给自己的歌。,1369万,https://music.163.com/#/playlist?id=416559809,李俊达Alon,https://music.163.com/#/user/home?id=128206529
一个双子座的民谣歌单,1366万,https://music.163.com/#/playlist?id=544533855,贾亚南Deer,https://music.163.com/#/user/home?id=366696947
民谣像酒，有故事的人不能听,1328万,https://music.163.com/#/playlist?id=2292234790,陈拾二-,https://music.163.com/#/user/home?id=498462935
流行岁月，带你走进歌和远方。,1322万,https://music.163.com/#/playlist?id=5066717274,无限自由_jX11,https://music.163.com/#/user/home?id=1426292524
10年代华语民谣 | 情浓曲却淡 简洁却不简单,1308万,https://music.163.com/#/playlist?id=6686195784,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
10年代华语民谣 | 情浓曲却淡 简洁却不简单,1308万,https://music.163.com/#/playlist?id=6686195784,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
花粥-民谣女流氓,1282万,https://music.163.com/#/playlist?id=2465422774,阿悠悠You_,https://music.163.com/#/user/home?id=249810913
民谣是枪，孤独上膛,1275万,https://music.163.com/#/playlist?id=2979314208,曲投投音乐,https://music.163.com/#/user/home?id=1597884573
陈旧的车厢摇摇晃晃，慢慢驶向夏天,1253万,https://music.163.com/#/playlist?id=2758060130,真爱喝柠檬茶,https://music.163.com/#/user/home?id=441728677
隔壁老樊与解忧邵帅,1233万,https://music.163.com/#/playlist?id=2771839415,小道先森,https://music.163.com/#/user/home?id=275162615
民谣里的故事再无她！,1204万,https://music.163.com/#/playlist?id=2206285273,小贰哥吖,https://music.163.com/#/user/home?id=417129139
100种民谣女声 带你去感受星辰万物,1197万,https://music.163.com/#/playlist?id=3039496128,宁遇夏,https://music.163.com/#/user/home?id=389547363
你是北来的狂风 瞬间席卷我整个领空,1183万,https://music.163.com/#/playlist?id=2150055953,鹿白川,https://music.163.com/#/user/home?id=493707309
民谣像酒有故事的人不能听,1122万,https://music.163.com/#/playlist?id=2387182880,吵可爱的苗苗呀,https://music.163.com/#/user/home?id=606659207
【精选民谣】就老去吧，孤独别醒来,1108万,https://music.163.com/#/playlist?id=553129694,爱听音乐的猫大叔,https://music.163.com/#/user/home?id=371876620
陈粒，花粥，阿敬，春花,1107万,https://music.163.com/#/playlist?id=749335461,江苏护理职业学院,https://music.163.com/#/user/home?id=417023506
民谣与诗 I 晴空与海潮交织的韵和乐章,1080万,https://music.163.com/#/playlist?id=739071258,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
在你的民谣里，听一段故事,1039万,https://music.163.com/#/playlist?id=435679464,活在水里的猫,https://music.163.com/#/user/home?id=41899624
民谣里有哪些動聽的情话？,1033万,https://music.163.com/#/playlist?id=2091758391,Romantic丶Notes,https://music.163.com/#/user/home?id=90953939
房东的猫/谢春花/陈粒/花粥/Jam,945万,https://music.163.com/#/playlist?id=2265717830,来杯秋酿吧,https://music.163.com/#/user/home?id=624585386
樊|多想在平庸的生活拥抱你,935万,https://music.163.com/#/playlist?id=2706976043,思考于晚安-,https://music.163.com/#/user/home?id=496606653
民谣｜我在俗世享受生活，体验最美的烟火。,931万,https://music.163.com/#/playlist?id=5069162487,无限自由_jX11,https://music.163.com/#/user/home?id=1426292524
它奔袭时凝结的海浪,915万,https://music.163.com/#/playlist?id=112136328,尧舵嗔,https://music.163.com/#/user/home?id=28463449
「民谣 流浪的诗人和吉他」,899万,https://music.163.com/#/playlist?id=688588727,Rapper说情话ii,https://music.163.com/#/user/home?id=121059501
五十首走心民谣，致我们终将逝去的青春,884万,https://music.163.com/#/playlist?id=2242881912,薛定谔的缝纫机,https://music.163.com/#/user/home?id=68014748
不怕汉子有文化，只怕他们有吉他,879万,https://music.163.com/#/playlist?id=2180739925,Ian_Icebear,https://music.163.com/#/user/home?id=30053668
[民谣]民谣故事，理想、姑娘、诗和远方,875万,https://music.163.com/#/playlist?id=2967278822,送酒十五,https://music.163.com/#/user/home?id=1313516553
【民谣】唱的都是故事，你管他火不火,873万,https://music.163.com/#/playlist?id=490929381,____女朋友____,https://music.163.com/#/user/home?id=282278725
男烟嗓 男民谣,869万,https://music.163.com/#/playlist?id=889445927,枭九-,https://music.163.com/#/user/home?id=506131793
「民谣」永远有多远,855万,https://music.163.com/#/playlist?id=564082645,八月夏末_,https://music.163.com/#/user/home?id=56002621
曾舍不得删的民谣神作,855万,https://music.163.com/#/playlist?id=4984994696,林廷升,https://music.163.com/#/user/home?id=1629781496
【民谣】你也时常被情绪控制吗,846万,https://music.163.com/#/playlist?id=2332153273,一颗小芸豆i,https://music.163.com/#/user/home?id=1431088673
行走在路上的民谣,841万,https://music.163.com/#/playlist?id=2817562565,真爱喝柠檬茶,https://music.163.com/#/user/home?id=441728677
民谣| 故事还长 就别再失望,840万,https://music.163.com/#/playlist?id=3059323169,你是此间理想啊,https://music.163.com/#/user/home?id=569034881
「民谣」我来过你的城市，却忘记了你的名字,839万,https://music.163.com/#/playlist?id=419023745,寺司_,https://music.163.com/#/user/home?id=113468546
小酒馆里的民谣,831万,https://music.163.com/#/playlist?id=750393793,开心疗养院,https://music.163.com/#/user/home?id=359904556
民谣 |岁月缱绻时光，愿你依旧从前模样,830万,https://music.163.com/#/playlist?id=2611049812,夕日向暖,https://music.163.com/#/user/home?id=124272747
当这些歌被民谣歌手翻唱,829万,https://music.163.com/#/playlist?id=74452528,非正义终结者,https://music.163.com/#/user/home?id=31254211
民谣吉他 适合一个人在晚睡前听的故事,823万,https://music.163.com/#/playlist?id=2340999719,大剩i,https://music.163.com/#/user/home?id=598946548
睡觉必备 心灵鸡汤,821万,https://music.163.com/#/playlist?id=2428074928,长不开的张,https://music.163.com/#/user/home?id=624515076
哼一曲歌谣，送别年少的你,810万,https://music.163.com/#/playlist?id=2066593601,张思妄,https://music.163.com/#/user/home?id=40136303
大冰的小屋 | 大冰七部作品歌手歌曲合辑,784万,https://music.163.com/#/playlist?id=93476766,五月未了,https://music.163.com/#/user/home?id=20434114
如果你也喜欢陈鸿宇,764万,https://music.163.com/#/playlist?id=881084465,快睡觉了宝,https://music.163.com/#/user/home?id=284913499
活的很怂 听了很是心疼,747万,https://music.163.com/#/playlist?id=508149859,杠上三七分丿,https://music.163.com/#/user/home?id=360634555
民谣不止成都 南山南,732万,https://music.163.com/#/playlist?id=62071817,游历20,https://music.163.com/#/user/home?id=40408152
Ser：民谣故事『珍藏版CD』,724万,https://music.163.com/#/playlist?id=80317792,那有一只长颈鹿,https://music.163.com/#/user/home?id=42781188
给文艺的你一次悦耳的旅行,706万,https://music.163.com/#/playlist?id=2204529782,螚安Vivienne,https://music.163.com/#/user/home?id=320509339
华语民谣大合辑：一人一首代表作,702万,https://music.163.com/#/playlist?id=2711754983,一生向海,https://music.163.com/#/user/home?id=607590588
唱片店内传来异国民谣,702万,https://music.163.com/#/playlist?id=140168575,balladog,https://music.163.com/#/user/home?id=36554272
民谣，唱尽人生百态,686万,https://music.163.com/#/playlist?id=467170498,YouTube热门日推,https://music.163.com/#/user/home?id=19389416
民谣故事/孤独患者,671万,https://music.163.com/#/playlist?id=2572951509,民谣故事吧,https://music.163.com/#/user/home?id=1715067484
民谣情愫 I 旧时风物 恋恋此光阴,669万,https://music.163.com/#/playlist?id=628607407,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
民谣｜生活是这样子啊，不如诗啊,667万,https://music.163.com/#/playlist?id=6761105859,一个聆听者o_o,https://music.163.com/#/user/home?id=5010718182
生命来来往往，来日并不方长,667万,https://music.163.com/#/playlist?id=2230558393,mayuko然,https://music.163.com/#/user/home?id=129593031
独立民谣屌爆了`,666万,https://music.163.com/#/playlist?id=90679193,抱歉打扰啦,https://music.163.com/#/user/home?id=81080217
温暖的民谣，愿你归来仍是少年,660万,https://music.163.com/#/playlist?id=517842365,Dum-娅馨,https://music.163.com/#/user/home?id=99215911
陈粒.花粥.Jam.谢春花,660万,https://music.163.com/#/playlist?id=523354768,大鹿姑娘,https://music.163.com/#/user/home?id=54968921
民谣的人你究竟遇过几个丫头 ❀,651万,https://music.163.com/#/playlist?id=594637723,花妖阿,https://music.163.com/#/user/home?id=68778828
民谣丨孤独成瘾,645万,https://music.163.com/#/playlist?id=2964136330,乍见之欢_SU,https://music.163.com/#/user/home?id=87420167
「民谣女声」在遇到你之前，我的耳都在沉睡,638万,https://music.163.com/#/playlist?id=465410332,帷中暮色,https://music.163.com/#/user/home?id=77076358
『民谣.以声相许』,632万,https://music.163.com/#/playlist?id=645802809,粥铺民谣音,https://music.163.com/#/user/home?id=423387961
忽晴忽雨的江湖 【私藏民谣】,629万,https://music.163.com/#/playlist?id=70150771,BeFour-M,https://music.163.com/#/user/home?id=50317489
「安静入睡的民谣」,623万,https://music.163.com/#/playlist?id=583419542,青峰拂面Soda,https://music.163.com/#/user/home?id=104209716
民谣丨有一种不安分长在骨子里 流在血液里,611万,https://music.163.com/#/playlist?id=2647184445,原创君,https://music.163.com/#/user/home?id=201586
小众民谣，不火但依然好听,609万,https://music.163.com/#/playlist?id=382870310,Ventureko,https://music.163.com/#/user/home?id=12864642
「民谣」远方不及你身旁,602万,https://music.163.com/#/playlist?id=564502204,寺司_,https://music.163.com/#/user/home?id=113468546
被爱好似有 靠山,594万,https://music.163.com/#/playlist?id=395305337,以哲学爱过你,https://music.163.com/#/user/home?id=286560805
民谣 | 不说永远 在每个瞬间,593万,https://music.163.com/#/playlist?id=688319402,当时光留下,https://music.163.com/#/user/home?id=296728775
华语民谣丨故事和酒，未来与她,591万,https://music.163.com/#/playlist?id=6880490821,张大佛爷张大佛爷,https://music.163.com/#/user/home?id=2034261933
【民谣】歌与诗的欢潮,577万,https://music.163.com/#/playlist?id=523688297,许昌强哥,https://music.163.com/#/user/home?id=262428732
随遇而安 | 云村民谣旅行指南,562万,https://music.163.com/#/playlist?id=815944010,子瞻大魔王,https://music.163.com/#/user/home?id=115260210
