歌单名称,播放量,歌单链接,用户名称,用户链接
华语百首 | 回忆伤人无声，唱不尽世间遗憾,21870万,https://music.163.com/#/playlist?id=698720887,不会开挖掘机好丢脸,https://music.163.com/#/user/home?id=285614884
听说你也在找好听的华语歌,19984万,https://music.163.com/#/playlist?id=2438292020,鹿白川,https://music.163.com/#/user/home?id=493707309
那些只听前奏就中毒的英文歌,19181万,https://music.163.com/#/playlist?id=37432514,Teeny,https://music.163.com/#/user/home?id=6438754
评论过万的英文歌与潜力股,13968万,https://music.163.com/#/playlist?id=75182300,吴雪龙,https://music.163.com/#/user/home?id=39468344
老歌越听越经典，旧人越看越无情。,12339万,https://music.163.com/#/playlist?id=1996644701,我是个好人希望我能幸福,https://music.163.com/#/user/home?id=44377713
你会爱上这个流行华语歌单,11396万,https://music.163.com/#/playlist?id=2709514173,暧酱酱,https://music.163.com/#/user/home?id=1510110840
人这一辈子，最怕突然听懂了一首歌。,8689万,https://music.163.com/#/playlist?id=2020864493,mayuko然,https://music.163.com/#/user/home?id=129593031
KTV必点：有没有一首歌，唱着唱着就泪奔,8379万,https://music.163.com/#/playlist?id=2557918409,mayuko然,https://music.163.com/#/user/home?id=129593031
那些年甜甜的歌，甜到爆表～～～,7665万,https://music.163.com/#/playlist?id=2339725169,文琦琦,https://music.163.com/#/user/home?id=117622357
十年前的歌还在，陪你一起听歌的人呢,7520万,https://music.163.com/#/playlist?id=2850086850,mayuko然,https://music.163.com/#/user/home?id=129593031
好听到爆的伤感歌曲合集（评论过万）,7298万,https://music.163.com/#/playlist?id=402924168,艾琳艾德勒丶,https://music.163.com/#/user/home?id=82179192
流行点唱机 | 2010年代华语热播 每日30首,6698万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
流行点唱机 | 2010年代华语热播 每日30首,6698万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
流行点唱机 | 2010年代华语热播 每日30首,6698万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
那些开口就跪的流行翻唱,6622万,https://music.163.com/#/playlist?id=2790119365,江野北秋,https://music.163.com/#/user/home?id=309158198
予你情诗百首，余生你是我的所有,6486万,https://music.163.com/#/playlist?id=2230318386,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
[一周原创发现] PO8/11带你在变化中汇聚力量,6012万,https://music.163.com/#/playlist?id=2821115454,原创君,https://music.163.com/#/user/home?id=201586
[一周原创发现] PO8/11带你在变化中汇聚力量,6012万,https://music.163.com/#/playlist?id=2821115454,原创君,https://music.163.com/#/user/home?id=201586
KTV麦霸必点歌曲,5927万,https://music.163.com/#/playlist?id=98317854,Angel_Youngyue,https://music.163.com/#/user/home?id=83402276
精选｜那些百听不腻的翻唱,5874万,https://music.163.com/#/playlist?id=2899768194,情感文字君,https://music.163.com/#/user/home?id=471776903
后来你哭了，想安慰却忘了早已换了身份,5765万,https://music.163.com/#/playlist?id=2218171336,GNC顾念晨,https://music.163.com/#/user/home?id=368175037
深夜孤单:藏在耳机的孤独谁会懂,5735万,https://music.163.com/#/playlist?id=2476882724,偷窥人间,https://music.163.com/#/user/home?id=414221496
向云端-天若有情-我记得-指纹-起风了,5667万,https://music.163.com/#/playlist?id=3013129747,G寄予,https://music.163.com/#/user/home?id=1921458791
你已经嫁给他一次啦 下次他娶别人不许哭,5441万,https://music.163.com/#/playlist?id=2482645921,什么芝士蛋糕亚,https://music.163.com/#/user/home?id=1322609078
深夜emo歌单「孤独」「伤感」「心碎」,5331万,https://music.163.com/#/playlist?id=5320325908,四川贫困人口,https://music.163.com/#/user/home?id=354868458
热情有限，爱要及时。,5250万,https://music.163.com/#/playlist?id=2273791508,有点小煩恼i,https://music.163.com/#/user/home?id=629252613
【欧美】那些让耳朵怀孕的英文歌曲～,5223万,https://music.163.com/#/playlist?id=2390539027,Mysterious-Box,https://music.163.com/#/user/home?id=1558934331
