歌单名称,播放量,歌单链接,用户名称,用户链接
私人雷达,1585711万,https://music.163.com/#/playlist?id=3136952023,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
华语私人订制 | 最懂你的华语推荐 每日更新35首,169676万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语速爆新歌 | 薛之谦：崇拜在爱中卷土重来,108419万,https://music.163.com/#/playlist?id=924680166,网易云音乐,https://music.163.com/#/user/home?id=1
还在听《Havana》吗|时光雷达,72753万,https://music.163.com/#/playlist?id=5320167908,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周新歌推荐] 李荣浩新单满怀少年意气，生来桀骜依然勇越山川,48326万,https://music.163.com/#/playlist?id=2409342460,网易云音乐,https://music.163.com/#/user/home?id=1
欧美私人订制 | 最懂你的欧美推荐 每日更新35首,44376万,https://music.163.com/#/playlist?id=2829816518,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
宝藏雷达,21173万,https://music.163.com/#/playlist?id=5362359247,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
The Weeknd和更多好听的|乐迷雷达,14590万,https://music.163.com/#/playlist?id=5327906368,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
「手机铃声」公共场所铃声响起你最靓,13947万,https://music.163.com/#/playlist?id=420789820,不懂吃鱼,https://music.163.com/#/user/home?id=284386514
睡眠伴侣 | 选首最合适你的 然后单曲循环,13580万,https://music.163.com/#/playlist?id=2829733864,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
新歌雷达,12849万,https://music.163.com/#/playlist?id=5300458264,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周日语上新] 椎名豪与中川奈美合作《鬼灭之刃》第3季插入曲,9699万,https://music.163.com/#/playlist?id=2819914042,云音乐樱花酱,https://music.163.com/#/user/home?id=1411440874
运动随身听 | 必听活力音乐燃料 今天运动了吗,8830万,https://music.163.com/#/playlist?id=2829779628,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
全球百大DJ | 最新2022百大作品集 每日个性化更新100首,8656万,https://music.163.com/#/playlist?id=2888212971,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
