歌单名称,播放量,歌单链接,用户名称,用户链接
『好听的翻唱Cover集』,23599万,https://music.163.com/#/playlist?id=2429488976,我叫椛七,https://music.163.com/#/user/home?id=1509914636
我们出发吧 | 早 这是今日出发路上的音乐早餐,7480万,https://music.163.com/#/playlist?id=2829807251,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
全世界最好听的钢琴曲：卡农、雨的...,3738万,https://music.163.com/#/playlist?id=411680085,CharleyWong_,https://music.163.com/#/user/home?id=18763056
背景音乐 | 视频剪辑的伴奏,2061万,https://music.163.com/#/playlist?id=104007761,Rorrimni,https://music.163.com/#/user/home?id=32949661
「前奏控」被前奏秒杀的古风歌,1915万,https://music.163.com/#/playlist?id=782743277,-穷尽诗家笔-,https://music.163.com/#/user/home?id=411402173
听温柔的歌睡觉吧,1796万,https://music.163.com/#/playlist?id=2017947543,小怪xxy-,https://music.163.com/#/user/home?id=117151171
求求你们了，让我睡会儿好不好,1760万,https://music.163.com/#/playlist?id=2131958935,宇宙点歌台,https://music.163.com/#/user/home?id=320307906
安眠曲，深度睡眠,1556万,https://music.163.com/#/playlist?id=2395900837,万里长征人不还,https://music.163.com/#/user/home?id=559457847
『起床』拉窗帘/刷牙/洗脸/喝水/换衣服,1479万,https://music.163.com/#/playlist?id=3196264232,Ceaoee,https://music.163.com/#/user/home?id=1368489004
生命里的每一分馈赠，都值得感激,1309万,https://music.163.com/#/playlist?id=4910237102,鱼骨与飞鸟集,https://music.163.com/#/user/home?id=111782500
那些令人想哭的纯音乐,1256万,https://music.163.com/#/playlist?id=84581571,Mr雨熙,https://music.163.com/#/user/home?id=76200264
中文翻唱【女声】,1190万,https://music.163.com/#/playlist?id=766384376,就知道睡-_,https://music.163.com/#/user/home?id=329470586
记忆力强化！潜意识疗法！,1113万,https://music.163.com/#/playlist?id=95738872,御茶居官方音乐,https://music.163.com/#/user/home?id=60275870
开一家温暖的小店，听一些温暖的歌,1020万,https://music.163.com/#/playlist?id=779871756,巴士十一号,https://music.163.com/#/user/home?id=92341330
闹铃换成这些歌，我就没有迟到过,982万,https://music.163.com/#/playlist?id=2308679957,GNC顾念晨,https://music.163.com/#/user/home?id=368175037
〖优质男嗓〗听到就心动的声音,964万,https://music.163.com/#/playlist?id=473759386,浮丨光,https://music.163.com/#/user/home?id=48661876
(清新)甜甜的韩语歌,935万,https://music.163.com/#/playlist?id=433958569,syxyyqx,https://music.163.com/#/user/home?id=247626791
纯音乐安静学习与睡觉,915万,https://music.163.com/#/playlist?id=487968151,九鬼纱雾,https://music.163.com/#/user/home?id=343664433
清晨起来打开窗，心情美美哒,910万,https://music.163.com/#/playlist?id=2335993921,孤独中清醒,https://music.163.com/#/user/home?id=533480860
「Pinky」泛着梦幻色泽的夏日汽水♡,882万,https://music.163.com/#/playlist?id=4969424598,夏夜小岛来信,https://music.163.com/#/user/home?id=1298307372
对温柔的人啊一点抵抗力没有:),847万,https://music.163.com/#/playlist?id=2395587661,章歆羽,https://music.163.com/#/user/home?id=1530182181
【粤语】好听到爆的粤语歌单,829万,https://music.163.com/#/playlist?id=2649530024,棉花糖Edm,https://music.163.com/#/user/home?id=357701301
求你戴耳机自嗨好吗,804万,https://music.163.com/#/playlist?id=430002417,不要豆芽韭菜和芒果,https://music.163.com/#/user/home?id=119065745
惬意舒适★温馨的阳光照着柔软的枕头,760万,https://music.163.com/#/playlist?id=5153592120,樱桃味音乐,https://music.163.com/#/user/home?id=1323364095
「化妆/洗澡」女孩子当然是草莓味的!,736万,https://music.163.com/#/playlist?id=5465168735,iambeiqing,https://music.163.com/#/user/home?id=1452890391
必须收藏的燃系BGM（游戏，战歌推荐）,726万,https://music.163.com/#/playlist?id=110398662,执肆丶,https://music.163.com/#/user/home?id=67118224
2023网易云热歌精选（持续更新）,688万,https://music.163.com/#/playlist?id=7487760322,美伢酱子,https://music.163.com/#/user/home?id=7883242184
精致女孩的起床洗漱洗澡化妆bgm,649万,https://music.163.com/#/playlist?id=2745777287,liuliu每天都好饿,https://music.163.com/#/user/home?id=588836678
那些让人心情好的歌❤️,635万,https://music.163.com/#/playlist?id=2918959680,星际巴士云_N37I,https://music.163.com/#/user/home?id=1660784938
起床歌曲‖这些歌让起床变得很享受，早安~,635万,https://music.163.com/#/playlist?id=1992326894,阿悟_kk,https://music.163.com/#/user/home?id=67842332
早安!让心情好起来,620万,https://music.163.com/#/playlist?id=5021716447,yquuuiy,https://music.163.com/#/user/home?id=1801008801
第一缕阳光 | 音乐美若黎明 又是全新一天,601万,https://music.163.com/#/playlist?id=5395050084,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
王杰经典精选222首,595万,https://music.163.com/#/playlist?id=943932291,两耳隔墙花风清扬,https://music.163.com/#/user/home?id=572488948
喜欢到循环播放.,578万,https://music.163.com/#/playlist?id=2490832239,总有一个人会为你而来,https://music.163.com/#/user/home?id=511223242
精致Girl的化妆歌单,566万,https://music.163.com/#/playlist?id=2190467280,锅包肉杀手M,https://music.163.com/#/user/home?id=376734099
好听到爆炸的粤语歌单,534万,https://music.163.com/#/playlist?id=367468866,她像晚霞渐晚渐浓,https://music.163.com/#/user/home?id=268697260
轻快音乐 一键开启今日份满满活力,532万,https://music.163.com/#/playlist?id=2906456704,樱桃味音乐,https://music.163.com/#/user/home?id=1323364095
那些超级好听系列个人向,531万,https://music.163.com/#/playlist?id=3022863179,Comrade-XiaoBin,https://music.163.com/#/user/home?id=605897572
【治愈】 清晨与落日，缓缓而幸福,525万,https://music.163.com/#/playlist?id=2174828773,鼠一属二,https://music.163.com/#/user/home?id=58531020
开口就是沦陷～,524万,https://music.163.com/#/playlist?id=2678572883,兔兔那么可爱当然要多放孜然,https://music.163.com/#/user/home?id=405518908
「醒来，读书，写长长的信」,492万,https://music.163.com/#/playlist?id=954194510,____少女熊酱,https://music.163.com/#/user/home?id=105035331
· 迎接夏日必备宝藏小曲 ·,489万,https://music.163.com/#/playlist?id=2749330357,献给莉莉的玫瑰,https://music.163.com/#/user/home?id=1430992951
早安，世界☀️洗漱必备清晨小调✨,478万,https://music.163.com/#/playlist?id=3183148310,Avada阿瓦达啃大瓜,https://music.163.com/#/user/home?id=1289522897
早 安 序 曲 致 美 少 女,477万,https://music.163.com/#/playlist?id=2224429334,AkashiAshes,https://music.163.com/#/user/home?id=346856025
J.Fla（翻唱无原唱收录）,450万,https://music.163.com/#/playlist?id=832604349,Lexrin,https://music.163.com/#/user/home?id=134713631
祖师爷专用战曲,448万,https://music.163.com/#/playlist?id=7039924748,江苏第一深情798798,https://music.163.com/#/user/home?id=531614697
抄级好听的各种神仙歌曲呀。,431万,https://music.163.com/#/playlist?id=4911694321,小徐是阳人,https://music.163.com/#/user/home?id=1719968670
【欢快纯音】这些歌能带给你每一天的好运气,421万,https://music.163.com/#/playlist?id=758176730,巾寻,https://music.163.com/#/user/home?id=503185260
[猫宁早上好] 清新小调开启今日份好心情,421万,https://music.163.com/#/playlist?id=2858905227,原创君,https://music.163.com/#/user/home?id=201586
早上起来听的歌,417万,https://music.163.com/#/playlist?id=3192476253,Raewio,https://music.163.com/#/user/home?id=1998508869
【流行音乐正确打开方式】持续更新～,402万,https://music.163.com/#/playlist?id=5375961303,爱吃甜点吗,https://music.163.com/#/user/home?id=360905768
哈佛大学图书馆音乐,402万,https://music.163.com/#/playlist?id=374513891,TYCOOON,https://music.163.com/#/user/home?id=71203200
喜欢的歌要循环听（男声）,401万,https://music.163.com/#/playlist?id=998417689,想要天天吃榴莲,https://music.163.com/#/user/home?id=355785139
2023网易云热歌精选（持续更新）,398万,https://music.163.com/#/playlist?id=7487782627,圆嘟嘟小甜饼,https://music.163.com/#/user/home?id=3937312537
Acoustic | 在恬静温柔中浅淡清欢,391万,https://music.163.com/#/playlist?id=2973542133,-KooTo-,https://music.163.com/#/user/home?id=17711631
很好听的纯音乐，聆听另一个世界的声音,389万,https://music.163.com/#/playlist?id=2329253863,悟空kilk,https://music.163.com/#/user/home?id=1395001014
安静刷题 看书 纯音乐/钢琴曲,378万,https://music.163.com/#/playlist?id=5036845777,AchenhuiniOo,https://music.163.com/#/user/home?id=446810794
早晨公交车上提神醒脑的曲儿,376万,https://music.163.com/#/playlist?id=2162365304,AKA江直树,https://music.163.com/#/user/home?id=286599440
|晨练站桩|打坐冥想|平心静气修禅定,369万,https://music.163.com/#/playlist?id=143218209,了不起的某某某_,https://music.163.com/#/user/home?id=88560046
静心&读书｜让你静下心来の音乐。,360万,https://music.163.com/#/playlist?id=2277861412,巴扎嘿呀呀,https://music.163.com/#/user/home?id=370517680
【女Alpha】姬圈总攻，slay全场,360万,https://music.163.com/#/playlist?id=4912770830,小u郁恋宝,https://music.163.com/#/user/home?id=601537530
好听到可以单曲循环...,359万,https://music.163.com/#/playlist?id=832286851,马靖桓,https://music.163.com/#/user/home?id=532838210
