歌单名称,播放量,歌单链接,用户名称,用户链接
『纯电音游戏向』戴上耳机，任由电音轰炸★,7880万,https://music.163.com/#/playlist?id=391125700,一只爱听歌的狐狸,https://music.163.com/#/user/home?id=53676934
2023神仙宝藏歌曲（歌单持续更新）,7330万,https://music.163.com/#/playlist?id=409434667,余生未尔,https://music.163.com/#/user/home?id=258110601
『震撼心灵的史诗音乐』,6371万,https://music.163.com/#/playlist?id=152261,125dB,https://music.163.com/#/user/home?id=122965
游戏必备【战歌、节奏电音、重金属】,4799万,https://music.163.com/#/playlist?id=2816437068,RJH国荣,https://music.163.com/#/user/home?id=441609116
「纯电音」爱上电音只需一单,4548万,https://music.163.com/#/playlist?id=2219988682,HUMAN00,https://music.163.com/#/user/home?id=50255421
适合玩游戏时听的BGM,4249万,https://music.163.com/#/playlist?id=116746576,影黑,https://music.163.com/#/user/home?id=97334974
【B.G.M.】游戏必备战歌,3796万,https://music.163.com/#/playlist?id=367649303,这条平凡的狗_QwQ,https://music.163.com/#/user/home?id=109390499
【第一精品】最惊艳男女声电音，一秒倾心,3397万,https://music.163.com/#/playlist?id=140322435,宿州关仁杰,https://music.163.com/#/user/home?id=113956434
〖电萌〗打游戏专用,3338万,https://music.163.com/#/playlist?id=2027010439,大仙的抠脚迷妹,https://music.163.com/#/user/home?id=345712146
【史诗纯音】画面感max 震撼灵魂的经典旋律,3317万,https://music.163.com/#/playlist?id=424207055,团战专用小火把,https://music.163.com/#/user/home?id=97412802
【纯电音】竞技游戏必备,3228万,https://music.163.com/#/playlist?id=99426250,Monkey-DLuffy,https://music.163.com/#/user/home?id=63556648
【边路伤感】好听到单曲循环 | 有缘分再见,2924万,https://music.163.com/#/playlist?id=5169431118,AXEKR,https://music.163.com/#/user/home?id=1763508263
打LOL时听什么歌？在这里,2637万,https://music.163.com/#/playlist?id=61817878,帐号已注销,https://music.163.com/#/user/home?id=48874147
忍者的时代即将结束,2472万,https://music.163.com/#/playlist?id=2638921957,帅哥歌单,https://music.163.com/#/user/home?id=295924359
英雄联盟歌单LOL 战歌 （神级BGM）,1879万,https://music.163.com/#/playlist?id=9614323,宅男怪咖,https://music.163.com/#/user/home?id=9039806
【史诗】私藏100首神级BGM！！『精心整理』,1875万,https://music.163.com/#/playlist?id=613745958,明月戏竹影,https://music.163.com/#/user/home?id=365617997
游戏必备，起伏不断（推荐随机播放）,1853万,https://music.163.com/#/playlist?id=2581636066,想陪他看海_,https://music.163.com/#/user/home?id=547530446
0.8x伤感边路bgm,1752万,https://music.163.com/#/playlist?id=5075823621,銄鬼,https://music.163.com/#/user/home?id=2113316709
打游戏必备歌曲 | 超燃,1657万,https://music.163.com/#/playlist?id=3102431204,狂拽瘸子那条好腿H,https://music.163.com/#/user/home?id=2052280489
打游戏听电音 | 动感节奏为你加满能量,1568万,https://music.163.com/#/playlist?id=6597292336,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
嗨感十足的对抗路神曲,1509万,https://music.163.com/#/playlist?id=5176699290,Afraid事,https://music.163.com/#/user/home?id=1770069204
超嗨，抖腿神曲,1487万,https://music.163.com/#/playlist?id=2532358761,鐘嬑_,https://music.163.com/#/user/home?id=355183238
别人做游戏集锦用的动次打次,1466万,https://music.163.com/#/playlist?id=69270121,6527d,https://music.163.com/#/user/home?id=7336411
接着奏乐，接着舞,1454万,https://music.163.com/#/playlist?id=2434331083,_别熬夜-,https://music.163.com/#/user/home?id=472583414
『纯电音』强力动感节奏丨释放身心畅快,1443万,https://music.163.com/#/playlist?id=530205904,-电音迷弟,https://music.163.com/#/user/home?id=320240366
打游戏bgm 丨 什么运营节奏，我只想gank,1430万,https://music.163.com/#/playlist?id=709889148,元量空处,https://music.163.com/#/user/home?id=345393439
你可曾想到拳头公司是音乐大厂？,1430万,https://music.163.com/#/playlist?id=388792208,今天晚上陪我吃夜宵8,https://music.163.com/#/user/home?id=122359824
⚡竞技比赛集锦，游戏必备BGM.NO.1,1403万,https://music.163.com/#/playlist?id=111531943,海妖kraken,https://music.163.com/#/user/home?id=89464320
『小酒馆』剑与魔法 · 旅途中的休憩时光,1391万,https://music.163.com/#/playlist?id=800496969,花嫁赫萝,https://music.163.com/#/user/home?id=83659385
超燃BGM｜游戏专用英文曲,1383万,https://music.163.com/#/playlist?id=3121213672,浮世清欢小浩ov,https://music.163.com/#/user/home?id=1748690350
高燃向 | 打游戏专用曲,1373万,https://music.163.com/#/playlist?id=4894576653,你曜施呢,https://music.163.com/#/user/home?id=1798637047
屠魔的少年终究成魔,1371万,https://music.163.com/#/playlist?id=2650756730,北辰_aj4N,https://music.163.com/#/user/home?id=1605293816
