歌单名称,播放量,歌单链接,用户名称,用户链接
【烟嗓/爵士/灵魂/蓝调/华丽】韵味/酷炫,2785万,https://music.163.com/#/playlist?id=102656381,嗯倪默,https://music.163.com/#/user/home?id=32228525
小酒馆的微醺需要腔调和情怀,2539万,https://music.163.com/#/playlist?id=49242031,齊宣王啃牛角,https://music.163.com/#/user/home?id=2928531
深情布鲁斯，浓情老酒馆。,2133万,https://music.163.com/#/playlist?id=939320758,帐号已注销,https://music.163.com/#/user/home?id=423252549
「蓝调布鲁斯」老酒馆的暧昧情调 ₁,1257万,https://music.163.com/#/playlist?id=361338397,如花一般绽放丶,https://music.163.com/#/user/home?id=50430012
复古烟嗓 爵士 蓝调布鲁斯,1223万,https://music.163.com/#/playlist?id=402328846,Szilvassy,https://music.163.com/#/user/home?id=95351424
「论如何优雅地扭动身体」,1119万,https://music.163.com/#/playlist?id=51425247,张不困,https://music.163.com/#/user/home?id=5793019
绝对经典浪漫的爵士音乐合集,1030万,https://music.163.com/#/playlist?id=110362235,BOB_G,https://music.163.com/#/user/home?id=62974484
大师们牛逼轰轰的Swing Jazz,998万,https://music.163.com/#/playlist?id=25201357,雰川水也,https://music.163.com/#/user/home?id=739256
「Jazz Hiphop纯音」被窝里的小咖啡馆,955万,https://music.163.com/#/playlist?id=1984018874,BlindSnowflake,https://music.163.com/#/user/home?id=75179909
Jazz 爵士乐 百听不厌,892万,https://music.163.com/#/playlist?id=687449,全球音乐精选,https://music.163.com/#/user/home?id=479074
黑胶酒馆|耳畔的浪漫眼中的你,885万,https://music.163.com/#/playlist?id=2125737991,卧室坐家,https://music.163.com/#/user/home?id=122356259
听华语中的爵士味道，别样慵懒,808万,https://music.163.com/#/playlist?id=474564716,墨_子陳,https://music.163.com/#/user/home?id=7629556
咖啡馆里一本书，邂逅一首爵士,766万,https://music.163.com/#/playlist?id=109308645,desnuages,https://music.163.com/#/user/home?id=45207053
爵士与散步可兼得,730万,https://music.163.com/#/playlist?id=605499971,螚安Vivienne,https://music.163.com/#/user/home?id=320509339
「病娇色気」极诱心扉，撩红耳根的性感旋律,638万,https://music.163.com/#/playlist?id=2175493416,PEachhhh0624,https://music.163.com/#/user/home?id=485080299
“落日飛車/橘子海/deca/康姆士/事后烟”,636万,https://music.163.com/#/playlist?id=3032528387,安妮的red发带-,https://music.163.com/#/user/home?id=325168837
全球高档西餐厅专用背景音乐选曲,626万,https://music.163.com/#/playlist?id=745214108,双葉幼稚园孩子王,https://music.163.com/#/user/home?id=44046087
欧美微醺 · 韵味十足的高级爵士女嗓,610万,https://music.163.com/#/playlist?id=2514269356,shakemyhead,https://music.163.com/#/user/home?id=39149659
『爵士音乐』情醉意迷，微醺慵懒的酒馆,600万,https://music.163.com/#/playlist?id=2738759532,一生向海,https://music.163.com/#/user/home?id=607590588
私藏级「泰勒斯威夫特免费歌曲」,554万,https://music.163.com/#/playlist?id=2508496324,不吐葡萄的葡萄皮,https://music.163.com/#/user/home?id=110382655
