歌单名称,播放量,歌单链接,用户名称,用户链接
全球百大DJ | 最新2022百大作品集 每日个性化更新100首,8656万,https://music.163.com/#/playlist?id=2888212971,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
【健身运动】必备单曲,8377万,https://music.163.com/#/playlist?id=115900031,零下Young,https://music.163.com/#/user/home?id=54278024
『夜店炸音、耳膜噩梦』,8272万,https://music.163.com/#/playlist?id=544570007,炫迈输出,https://music.163.com/#/user/home?id=284324968
『纯电音游戏向』戴上耳机，任由电音轰炸★,7879万,https://music.163.com/#/playlist?id=391125700,一只爱听歌的狐狸,https://music.163.com/#/user/home?id=53676934
当女声邂逅电音：百首精选,6515万,https://music.163.com/#/playlist?id=440561933,xept,https://music.163.com/#/user/home?id=74029445
「电音」你一定听过的万评电音,6417万,https://music.163.com/#/playlist?id=2341496595,HUMAN00,https://music.163.com/#/user/home?id=50255421
【玩游戏】必备电音Buff,6348万,https://music.163.com/#/playlist?id=115952019,云村老司机,https://music.163.com/#/user/home?id=81810832
「嗨爆」在宿舍御用的蹦迪歌曲,6115万,https://music.163.com/#/playlist?id=2145434166,Quanjfic,https://music.163.com/#/user/home?id=275066773
【节奏控】超带感特别推荐BGM 持更,5499万,https://music.163.com/#/playlist?id=2616416061,南方安某人,https://music.163.com/#/user/home?id=387203918
『玩游戏』节奏满满 瞬间爆炸,5341万,https://music.163.com/#/playlist?id=2954650550,the-trap,https://music.163.com/#/user/home?id=514658392
「电子•女声」惊艳耳际，一秒倾心,5253万,https://music.163.com/#/playlist?id=798130521,佛山李嘉欣,https://music.163.com/#/user/home?id=258653372
『开口脆』迷幻嗓音极致瞬间❤️,5075万,https://music.163.com/#/playlist?id=824754853,--CJN,https://music.163.com/#/user/home?id=474143492
前奏就让你沦陷的电音和神级Remix【慎点】,4837万,https://music.163.com/#/playlist?id=517438933,ModernTony,https://music.163.com/#/user/home?id=88968229
比酒驾，醉驾更危险的是电驾！,4652万,https://music.163.com/#/playlist?id=93444370,秋名山电驾老司机,https://music.163.com/#/user/home?id=63241633
车载奢靡享受Deep House深度灵魂慢摇,4610万,https://music.163.com/#/playlist?id=134839472,Universal-EDM环球电子,https://music.163.com/#/user/home?id=93601798
「纯电音」爱上电音只需一单,4548万,https://music.163.com/#/playlist?id=2219988682,HUMAN00,https://music.163.com/#/user/home?id=50255421
【电子】入耳收藏的经典旋律,4345万,https://music.163.com/#/playlist?id=123216450,烈雨,https://music.163.com/#/user/home?id=34272600
奥斯卡酒吧蹦迪专用曲,4230万,https://music.163.com/#/playlist?id=549325629,诸哥v,https://music.163.com/#/user/home?id=340526497
车载嗨曲 开车靠的是感觉 不是眼睛,4194万,https://music.163.com/#/playlist?id=2128560894,Radio-Music,https://music.163.com/#/user/home?id=578726959
不让你通宵循环的电音不是好电音,3860万,https://music.163.com/#/playlist?id=128871831,MRUO,https://music.163.com/#/user/home?id=65791629
【社会人专用歌单】,3451万,https://music.163.com/#/playlist?id=92698272,EM227,https://music.163.com/#/user/home?id=82286955
【第一精品】最惊艳男女声电音，一秒倾心,3397万,https://music.163.com/#/playlist?id=140322435,宿州关仁杰,https://music.163.com/#/user/home?id=113956434
〖电萌〗打游戏专用,3338万,https://music.163.com/#/playlist?id=2027010439,大仙的抠脚迷妹,https://music.163.com/#/user/home?id=345712146
【纯电音】竞技游戏必备,3228万,https://music.163.com/#/playlist?id=99426250,Monkey-DLuffy,https://music.163.com/#/user/home?id=63556648
99°C耳朵怀孕系列,3078万,https://music.163.com/#/playlist?id=2140976267,三月咖喱,https://music.163.com/#/user/home?id=454388098
网易最全999+的车载电音,3039万,https://music.163.com/#/playlist?id=447177059,Universal-EDM环球电子,https://music.163.com/#/user/home?id=93601798
「响指系」令人着迷的响指节奏♬,3022万,https://music.163.com/#/playlist?id=626186882,OyangJiaqi,https://music.163.com/#/user/home?id=122969642
『空灵 缥缈 意境』星空下的孤独守望者,2931万,https://music.163.com/#/playlist?id=526887854,樱井莜木,https://music.163.com/#/user/home?id=78905899
「中毒系」开口爱上的电子女声,2843万,https://music.163.com/#/playlist?id=450973012,loveu_o9k,https://music.163.com/#/user/home?id=304572366
电子·中国风 I 感受角徵宫商的荡气回肠,2818万,https://music.163.com/#/playlist?id=316223640,Xenyc,https://music.163.com/#/user/home?id=85351650
低沉鼓点，极致低音享受 「车载」,2789万,https://music.163.com/#/playlist?id=465389876,别让年轻的感觉消失,https://music.163.com/#/user/home?id=34656863
炸车必备，易上头！（不定时更新）,2734万,https://music.163.com/#/playlist?id=458945175,周不懒_,https://music.163.com/#/user/home?id=329027386
打游戏必备| 感受这场听觉盛宴!,2721万,https://music.163.com/#/playlist?id=813333839,chaz1,https://music.163.com/#/user/home?id=129377889
[国电新势力] 网易电子音乐人精选,2467万,https://music.163.com/#/playlist?id=2340621859,电音赫兹,https://music.163.com/#/user/home?id=48102
[国电新势力] 网易电子音乐人精选,2467万,https://music.163.com/#/playlist?id=2340621859,电音赫兹,https://music.163.com/#/user/home?id=48102
全球史诗级万评电音【百种风格】!,2431万,https://music.163.com/#/playlist?id=2303371412,BH回归Trance界,https://music.163.com/#/user/home?id=1497164611
没Bose不配炸耳机的Subwoofer,2424万,https://music.163.com/#/playlist?id=5210003505,小豪不吃肉,https://music.163.com/#/user/home?id=1851639982
Trap Remix丨当欧美热单遇上毒性低音,2416万,https://music.163.com/#/playlist?id=717848220,避难所Shelter,https://music.163.com/#/user/home?id=67630871
【万评电音】抬头，已是一片星海,2397万,https://music.163.com/#/playlist?id=2237048282,谐星七十六号,https://music.163.com/#/user/home?id=413580720
【节奏控】一听就上瘾的惊艳女声,2393万,https://music.163.com/#/playlist?id=768047050,还你一个夏天,https://music.163.com/#/user/home?id=259040755
Beautiful Now【音乐的力量·电音】,2324万,https://music.163.com/#/playlist?id=2050976156,Damons_Xsw,https://music.163.com/#/user/home?id=249821273
『电驾』比酒驾更危险的是电驾,2292万,https://music.163.com/#/playlist?id=2032139172,SoonTi,https://music.163.com/#/user/home?id=100528112
精选蹦迪车载硬核神曲【Phonk/Remix合集】,2247万,https://music.163.com/#/playlist?id=2233842197,我去你69哇,https://music.163.com/#/user/home?id=1444186882
〖车载重低音〗歌有了，就差车了,2201万,https://music.163.com/#/playlist?id=411919237,一个出场自带BGM的男孩,https://music.163.com/#/user/home?id=122795476
电音热舞派对 | 全天候热舞现场 跟随电音节奏狂欢,2165万,https://music.163.com/#/playlist?id=5099585261,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
电音热舞派对 | 全天候热舞现场 跟随电音节奏狂欢,2165万,https://music.163.com/#/playlist?id=5099585261,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
BBA专供-电驾(持续更新),2112万,https://music.163.com/#/playlist?id=619169084,品味無期,https://music.163.com/#/user/home?id=343081606
驾车电音专属 | 低频节奏 迸发速度激情,1879万,https://music.163.com/#/playlist?id=6732127153,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
很上头很嗨 节奏感 车载蹦迪,1831万,https://music.163.com/#/playlist?id=924880007,狂野又迷人g,https://music.163.com/#/user/home?id=308009371
【绝美人声+完美电音】，触电节奏一秒倾心~,1765万,https://music.163.com/#/playlist?id=146852233,_墨小凡_,https://music.163.com/#/user/home?id=118484559
一起蹦迪吗？扭断脖子那种！,1714万,https://music.163.com/#/playlist?id=2650889272,隔壁老杨OvO,https://music.163.com/#/user/home?id=1420942868
电音｜旋律中致郁的心电击,1708万,https://music.163.com/#/playlist?id=643650927,治愈兔,https://music.163.com/#/user/home?id=251000367
世界顶级沙发酒吧音乐。,1684万,https://music.163.com/#/playlist?id=11067348,雰川水也,https://music.163.com/#/user/home?id=739256
车载系【二】炸街必备,1669万,https://music.163.com/#/playlist?id=719257027,温柔且器,https://music.163.com/#/user/home?id=318009626
『蹦迪 车载 抖腿』车窗摇下，声音调到最大,1607万,https://music.163.com/#/playlist?id=2920482915,把晗写进诗里,https://music.163.com/#/user/home?id=1421660828
撞击心脏的顶级重磅电音（心脏病者勿听）,1594万,https://music.163.com/#/playlist?id=4780891,色域无界,https://music.163.com/#/user/home?id=735748
打游戏听电音 | 动感节奏为你加满能量,1567万,https://music.163.com/#/playlist?id=6597292336,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
【节奏控】那些一听就中毒的电音 纯音乐,1541万,https://music.163.com/#/playlist?id=2120271089,原点FM,https://music.163.com/#/user/home?id=247176530
『车载』拒绝7妹虞姬精神氮泵,1484万,https://music.163.com/#/playlist?id=306859189,SoonTi,https://music.163.com/#/user/home?id=100528112
别人做游戏集锦用的动次打次,1466万,https://music.163.com/#/playlist?id=69270121,6527d,https://music.163.com/#/user/home?id=7336411
「女毒」跌进充满梦幻般的意境,1450万,https://music.163.com/#/playlist?id=173781294,变忧郁,https://music.163.com/#/user/home?id=18166979
『纯电音』强力动感节奏丨释放身心畅快,1443万,https://music.163.com/#/playlist?id=530205904,-电音迷弟,https://music.163.com/#/user/home?id=320240366
【节奏】跑步、抖腿、拯救世界必备！,1428万,https://music.163.com/#/playlist?id=145200095,灭灭果冻,https://music.163.com/#/user/home?id=111080330
【开口就醉倒】电子极致人声,1404万,https://music.163.com/#/playlist?id=500262668,ModernTony,https://music.163.com/#/user/home?id=88968229
⚡竞技比赛集锦，游戏必备BGM.NO.1,1403万,https://music.163.com/#/playlist?id=111531943,海妖kraken,https://music.163.com/#/user/home?id=89464320
Future Bass • 怦然心动的沁心旋律,1388万,https://music.163.com/#/playlist?id=610638719,烈雨,https://music.163.com/#/user/home?id=34272600
车载咚鼓DJ夜店蹦迪电音慢摇,1374万,https://music.163.com/#/playlist?id=2635689048,J1-ANG,https://music.163.com/#/user/home?id=389449604
车载|抖腿必备,1360万,https://music.163.com/#/playlist?id=3226914092,AJKLF,https://music.163.com/#/user/home?id=383062662
『EDM』&炸翻全场,1333万,https://music.163.com/#/playlist?id=116090875,S2U_Music,https://music.163.com/#/user/home?id=97525034
