歌单名称,播放量,歌单链接,用户名称,用户链接
华语私人订制 | 最懂你的华语推荐 每日更新35首,169634万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
那些好听到发疯的粤语歌,19852万,https://music.163.com/#/playlist?id=111221399,天寒地凍路遠馬亡又何妨,https://music.163.com/#/user/home?id=66706671
『粤语』好听到爆的粤语歌单.,19700万,https://music.163.com/#/playlist?id=632021463,薛之谦的柒,https://music.163.com/#/user/home?id=331606070
粤语传世经典，怀旧是人的本能,11126万,https://music.163.com/#/playlist?id=2237551001,橘子树风车,https://music.163.com/#/user/home?id=113047483
听一首把自己感动的歌,4758万,https://music.163.com/#/playlist?id=981484303,爱听歌的狗大叔,https://music.163.com/#/user/home?id=326263822
香港电影中的50首经典歌曲 [追忆录],4229万,https://music.163.com/#/playlist?id=171037362,下一颗巧克力,https://music.163.com/#/user/home?id=2445590
叱咤樂壇 的流行-粵耳旋律,4183万,https://music.163.com/#/playlist?id=133619338,哥哥姓劉,https://music.163.com/#/user/home?id=59836871
粤语女声：永远心仪,3872万,https://music.163.com/#/playlist?id=893126993,情思天鹅,https://music.163.com/#/user/home?id=108952364
粤语唱片行 | 粤语经典 粤听粤爱,3796万,https://music.163.com/#/playlist?id=3455816,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
网易云评论最多粤语歌TOP50,3611万,https://music.163.com/#/playlist?id=3107640832,蚕豆音乐娘,https://music.163.com/#/user/home?id=275326625
时间有泪—香港十大作词人写尽世间酸甜苦辣,3216万,https://music.163.com/#/playlist?id=502843585,小Lsix,https://music.163.com/#/user/home?id=353262946
最是粤语最为情深 也唯独你最难忘怀,3143万,https://music.163.com/#/playlist?id=2388322013,鹿白川,https://music.163.com/#/user/home?id=493707309
粤语经典老歌【好听到发疯，一次爱够】,3106万,https://music.163.com/#/playlist?id=2459826936,继续趴着数蚂蚁,https://music.163.com/#/user/home?id=573114106
粤语男声：我爱你依旧如初不曾改变,2826万,https://music.163.com/#/playlist?id=893153237,情思天鹅,https://music.163.com/#/user/home?id=108952364
[粤语]听说你在找好听的粤语歌,2741万,https://music.163.com/#/playlist?id=2269257427,-老腊肉呵,https://music.163.com/#/user/home?id=330775152
夜晚温柔粤语女声 唱出谁的不眠心事,2507万,https://music.163.com/#/playlist?id=2047424322,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
那些评论过万的粤语歌曲【持续更新】,2404万,https://music.163.com/#/playlist?id=477316405,丶Jeremy-Lin,https://music.163.com/#/user/home?id=263958527
好听到无赖的粤语歌单.,2189万,https://music.163.com/#/playlist?id=2571885518,可贝团,https://music.163.com/#/user/home?id=97684790
「粤语」粤语深情，甜瘾温喉,1984万,https://music.163.com/#/playlist?id=437270067,寺司_,https://music.163.com/#/user/home?id=113468546
好听的粤语歌 | 每一首都是经典,1962万,https://music.163.com/#/playlist?id=2799143003,沈星辰co,https://music.163.com/#/user/home?id=346620044
【粤语歌单】精选200首经典粤语老歌,1886万,https://music.163.com/#/playlist?id=892851120,帐号已注销,https://music.163.com/#/user/home?id=538630845
香港经典老歌/粤语｜经典永流传,1826万,https://music.163.com/#/playlist?id=2145762470,AdeeL丨,https://music.163.com/#/user/home?id=589125151
粤语 | 那些令人彻骨生寒的绝笔情歌,1766万,https://music.163.com/#/playlist?id=2003872598,夜崎kawahirako,https://music.163.com/#/user/home?id=78476866
粤语和电影167首经典歌曲【回忆录】,1736万,https://music.163.com/#/playlist?id=2649949584,凉薄青年_7,https://music.163.com/#/user/home?id=20392087
入耳就想单曲循环的粤语歌单,1686万,https://music.163.com/#/playlist?id=755965175,南音三弦盈耳,https://music.163.com/#/user/home?id=119143990
粤语丨 岁月流情，回味旧日的浪漫故事,1615万,https://music.163.com/#/playlist?id=803927975,网抑晕音约丷,https://music.163.com/#/user/home?id=95943913
必听粤语歌单！,1585万,https://music.163.com/#/playlist?id=633517021,不要叫sao帆-,https://music.163.com/#/user/home?id=248861735
粤语无前奏 | 开口即深情 入耳便钟意,1568万,https://music.163.com/#/playlist?id=2512725665,柠檬木有枝,https://music.163.com/#/user/home?id=321488475
粤语高甜歌：一辈子很短 要爱对的人,1535万,https://music.163.com/#/playlist?id=2690737342,mayuko然,https://music.163.com/#/user/home?id=129593031
评论过万的粤语歌,1520万,https://music.163.com/#/playlist?id=428950382,无尽意轩,https://music.163.com/#/user/home?id=274422410
陈奕迅粤语精选48首,1461万,https://music.163.com/#/playlist?id=2346373889,Asumi-Nyaruko,https://music.163.com/#/user/home?id=415220359
年少不懂粤语歌，而立再听句句情,1454万,https://music.163.com/#/playlist?id=700734626,华纳音乐,https://music.163.com/#/user/home?id=3425937
一听就想单曲循环的粤语歌,1355万,https://music.163.com/#/playlist?id=2432467453,迟到得到,https://music.163.com/#/user/home?id=302853495
超好听的粤语歌合集,1328万,https://music.163.com/#/playlist?id=996603976,陈何威家的小朋友啊,https://music.163.com/#/user/home?id=472356269
〖深情粤语〗粤语歌韵，情浓至深。,1327万,https://music.163.com/#/playlist?id=166397998,浮丨光,https://music.163.com/#/user/home?id=48661876
粤语情歌：男不听七友，女不听钟无艳,1305万,https://music.163.com/#/playlist?id=884574545,总会有个地方睡觉吃饭,https://music.163.com/#/user/home?id=391836105
粤语♪容易抱住谁十年最难是放,1287万,https://music.163.com/#/playlist?id=421163316,望住你眼睛,https://music.163.com/#/user/home?id=303511280
经典回顾：怀旧粤语经典老歌 ,1263万,https://music.163.com/#/playlist?id=368254901,栗子and粟米,https://music.163.com/#/user/home?id=79979651
〔粤语〕好听到爆的粤语歌单,1220万,https://music.163.com/#/playlist?id=5383687560,Ccool_7,https://music.163.com/#/user/home?id=516648152
经典粤语 | 人生如梦 岁粤如歌,1217万,https://music.163.com/#/playlist?id=963386322,Dream_d7,https://music.163.com/#/user/home?id=473161513
【粤语】不得不听的一百首粤语歌。,1171万,https://music.163.com/#/playlist?id=633015043,于帅楠,https://music.163.com/#/user/home?id=250764305
粤语歌单 」稍微親近就口無遮攔的毛病要改,1160万,https://music.163.com/#/playlist?id=873027957,好的关系一定是相互的,https://music.163.com/#/user/home?id=366304520
比听CD更有Feel的粤语Live。,1159万,https://music.163.com/#/playlist?id=771042656,呆呆开着跑车还摸秃了妖刀的头,https://music.163.com/#/user/home?id=125245333
粤语 | 那些好听到爆了的粤语歌,1083万,https://music.163.com/#/playlist?id=7452495240,月亮藏不住的小情绪,https://music.163.com/#/user/home?id=2118682115
重温粤语经典好歌50首,978万,https://music.163.com/#/playlist?id=6661957163,自当会心,https://music.163.com/#/user/home?id=528745573
粤语精选 | 入耳就想单曲循环的粤语歌,972万,https://music.163.com/#/playlist?id=3066622651,一份悸動_,https://music.163.com/#/user/home?id=502414344
"粤语经典老歌+[好听到发疯,一次爱够]",948万,https://music.163.com/#/playlist?id=3132817368,继续趴着数蚂蚁,https://music.163.com/#/user/home?id=573114106
那些好听的粤语歌,933万,https://music.163.com/#/playlist?id=410426516,单音系,https://music.163.com/#/user/home?id=122430727
【劲歌金曲第一弹】请选择严肃脸抖腿,923万,https://music.163.com/#/playlist?id=817351430,螺丝起子,https://music.163.com/#/user/home?id=19299028
【去红馆听一场会泪流满面的粤语盛宴】,915万,https://music.163.com/#/playlist?id=150500952,港樂小分隊,https://music.163.com/#/user/home?id=47134209
『车载粤语经典』繁闹市，百万人擦身过,903万,https://music.163.com/#/playlist?id=2024049499,海蓝星辰丶,https://music.163.com/#/user/home?id=107005194
一千首精选粤语歌,888万,https://music.163.com/#/playlist?id=4202689,shooting丶star,https://music.163.com/#/user/home?id=138167
粤语经典老歌【精选珍藏】,886万,https://music.163.com/#/playlist?id=4960788793,阜阳大先生,https://music.163.com/#/user/home?id=540445911
你要的陈奕迅神级或高分经典粤语精选,868万,https://music.163.com/#/playlist?id=564801446,叶是一个人的夜,https://music.163.com/#/user/home?id=42159661
「粤语」简单情歌，深情粤语,851万,https://music.163.com/#/playlist?id=429995284,寺司_,https://music.163.com/#/user/home?id=113468546
【粤语】好听到爆的粤语歌单,828万,https://music.163.com/#/playlist?id=2649530024,棉花糖Edm,https://music.163.com/#/user/home?id=357701301
光辉岁月－Beyond 永远的B安乐队,827万,https://music.163.com/#/playlist?id=2519429498,海峡好歌单,https://music.163.com/#/user/home?id=287163860
一个广东人的粤语歌单,823万,https://music.163.com/#/playlist?id=2507037283,蔡紫淑,https://music.163.com/#/user/home?id=439229095
я〖粤语〗那些超催泪的现场。,787万,https://music.163.com/#/playlist?id=148583413,背了个影kiki,https://music.163.com/#/user/home?id=26852587
「粤语」人人路过都像你 但你是你,775万,https://music.163.com/#/playlist?id=884305905,团长的刀库,https://music.163.com/#/user/home?id=255467083
张国荣逝世20周年(精选)｜你不曾真的离去,768万,https://music.163.com/#/playlist?id=645765966,音乐微心情,https://music.163.com/#/user/home?id=19881477
KTV必点粤语50首,760万,https://music.163.com/#/playlist?id=2930775481,枫jackie,https://music.163.com/#/user/home?id=72699610
经典老歌（粤语版）,753万,https://music.163.com/#/playlist?id=6629218620,错过的常态,https://music.163.com/#/user/home?id=2059257320
粤语：分手后不打扰即是最好的祝福,752万,https://music.163.com/#/playlist?id=961412329,玫瑰王Urban,https://music.163.com/#/user/home?id=564037011
[ 粤语 ] 脱下长日的假面 拥抱这份清醒,742万,https://music.163.com/#/playlist?id=900256312,a一方_,https://music.163.com/#/user/home?id=528382420
粤语｜最熟悉的歌，最美好的回忆,727万,https://music.163.com/#/playlist?id=1979088644,爱听歌的狗大叔,https://music.163.com/#/user/home?id=326263822
那些温柔了岁月的粤语情怀,726万,https://music.163.com/#/playlist?id=307496834,断弦di耳朵,https://music.163.com/#/user/home?id=71118050
一听就上瘾的粤语歌单,721万,https://music.163.com/#/playlist?id=2375428054,李平阿,https://music.163.com/#/user/home?id=105485432
【粤语】温柔了岁月 细腻到心尖,688万,https://music.163.com/#/playlist?id=2945502611,纪叙xxx,https://music.163.com/#/user/home?id=1313242054
粤语｜那些不动声色的喜欢也曾暗自赴汤蹈火,685万,https://music.163.com/#/playlist?id=702998357,Eddie-Fannie,https://music.163.com/#/user/home?id=325726984
相信我，至少听100次不会厌粤语歌单,683万,https://music.163.com/#/playlist?id=557896594,安磊哥哥,https://music.163.com/#/user/home?id=393166175
『粤语』好听到爆的粤语歌单.,682万,https://music.163.com/#/playlist?id=2173169909,怪咖_Chang,https://music.163.com/#/user/home?id=1316851095
粤语｜我唱得不够动人你别皱眉,623万,https://music.163.com/#/playlist?id=2755538562,橘子海的浪漫日落,https://music.163.com/#/user/home?id=107996097
粤语：这些年，你过得怎么样,623万,https://music.163.com/#/playlist?id=1990048628,爱听歌的狗大叔,https://music.163.com/#/user/home?id=326263822
怀旧粤语老歌 - 百听不厌 品鉴经典,621万,https://music.163.com/#/playlist?id=5388463241,海峡好歌单,https://music.163.com/#/user/home?id=287163860
『粤语』后来回头总是虔诚相望,615万,https://music.163.com/#/playlist?id=591406622,夕日向暖,https://music.163.com/#/user/home?id=124272747
粤语念白 | 你连讲话都这么迷人,610万,https://music.163.com/#/playlist?id=537560779,银河系花,https://music.163.com/#/user/home?id=40857731
千禧港乐 | 青春里的粤语歌,603万,https://music.163.com/#/playlist?id=6698809494,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
港真，失恋的人不要听粤语歌！,603万,https://music.163.com/#/playlist?id=987867941,华纳音乐,https://music.163.com/#/user/home?id=3425937
『永远Beyond 永远黄家驹』,602万,https://music.163.com/#/playlist?id=10702884,总有一天你会成为你想成为的人,https://music.163.com/#/user/home?id=1075400
粤语| 惊艳到骨子里的音乐现场（live）,597万,https://music.163.com/#/playlist?id=811321317,夕日向暖,https://music.163.com/#/user/home?id=124272747
『学友金曲』最好演唱会版本,594万,https://music.163.com/#/playlist?id=552661240,张习友,https://music.163.com/#/user/home?id=283662769
粤语经典歌曲大全,593万,https://music.163.com/#/playlist?id=102740400,最憝悉的陌生人ycl,https://music.163.com/#/user/home?id=55716541
【旧时光】粤语老歌的前世今生,587万,https://music.163.com/#/playlist?id=619080394,Billy12333,https://music.163.com/#/user/home?id=105403073
粤语：风继续吹，不忍远离,580万,https://music.163.com/#/playlist?id=941968387,情思天鹅,https://music.163.com/#/user/home?id=108952364
好听到爆的粤语流行歌曲,565万,https://music.163.com/#/playlist?id=2668247351,悲伤的猪大肠啊啊,https://music.163.com/#/user/home?id=347087686
【粤语歌单】精选180首经典粤语老歌,564万,https://music.163.com/#/playlist?id=5242010786,李克勤的演奏厅,https://music.163.com/#/user/home?id=1345271647
【粤语】婚礼/结婚歌单 适合求婚❤表白,560万,https://music.163.com/#/playlist?id=959678630,梁咩咩_,https://music.163.com/#/user/home?id=310364902
经典粤语老歌500首怀旧歌曲,555万,https://music.163.com/#/playlist?id=2504803979,侠侣亲子-许天准,https://music.163.com/#/user/home?id=82706946
粤语 | 爸爸扛着录音机抖腿,539万,https://music.163.com/#/playlist?id=994624518,帐号已注销,https://music.163.com/#/user/home?id=437728739
好听到爆炸的粤语歌单,534万,https://music.163.com/#/playlist?id=367468866,她像晚霞渐晚渐浓,https://music.163.com/#/user/home?id=268697260
『粤语』明知爱这种男孩子 也许只能如此 ˆ,533万,https://music.163.com/#/playlist?id=2478574423,如宏愿太过渺茫不去预算,https://music.163.com/#/user/home?id=125730229
经典粤语歌曲，每一首都值得单曲循环,519万,https://music.163.com/#/playlist?id=5163128481,喔呦阿梦,https://music.163.com/#/user/home?id=1399891835
阿细，超好听女声粤语翻唱,507万,https://music.163.com/#/playlist?id=903419731,00SZH,https://music.163.com/#/user/home?id=46366073
粤语歌中的撕心裂肺。,500万,https://music.163.com/#/playlist?id=116184487,紫川秀还是卢云,https://music.163.com/#/user/home?id=14168794
粤语 | 90后回忆杀 好听却不知道歌名,496万,https://music.163.com/#/playlist?id=7688738700,月亮藏不住的小情绪,https://music.163.com/#/user/home?id=2118682115
单曲循环安静粤语女声,484万,https://music.163.com/#/playlist?id=2262432379,1lIang-,https://music.163.com/#/user/home?id=486415305
好听到爆的粤语歌单,482万,https://music.163.com/#/playlist?id=2655827213,葡萄吃源源,https://music.163.com/#/user/home?id=369916800
粤语丨你早不是那有情饮水饱的姑娘,481万,https://music.163.com/#/playlist?id=997492845,Noise-x,https://music.163.com/#/user/home?id=374353420
粤语经典老歌经典粤语歌单粤语歌精选怀旧呀,479万,https://music.163.com/#/playlist?id=5103759169,阿泽小易,https://music.163.com/#/user/home?id=349808402
（宝藏粤语）500首金典不老粤语歌,473万,https://music.163.com/#/playlist?id=2521689835,請人嗎,https://music.163.com/#/user/home?id=1395196867
那些过耳不忘的粤语歌曲,471万,https://music.163.com/#/playlist?id=108751160,FM风向标,https://music.163.com/#/user/home?id=87475023
『粤语』 蓦然回首，几度柔情,465万,https://music.163.com/#/playlist?id=978885161,爱听歌的狗大叔,https://music.163.com/#/user/home?id=326263822
紅磡體育館-(Live) 粵耳現場,460万,https://music.163.com/#/playlist?id=394652785,哥哥姓劉,https://music.163.com/#/user/home?id=59836871
“我爱你”用黄伟文的话怎么说？,459万,https://music.163.com/#/playlist?id=533975863,浮梦沉生,https://music.163.com/#/user/home?id=256834399
陈奕迅 听过最好听的歌.,459万,https://music.163.com/#/playlist?id=625950500,woyetaishuaileba,https://music.163.com/#/user/home?id=431416399
粤语 | 衣服会过时 但经典不会,457万,https://music.163.com/#/playlist?id=4913376773,奈斯祺i,https://music.163.com/#/user/home?id=1295920774
粤语歌教你做人系列,455万,https://music.163.com/#/playlist?id=450937012,北半球选美离奇火警事故,https://music.163.com/#/user/home?id=9279759
张学友精挑细选情歌集,449万,https://music.163.com/#/playlist?id=2173683,犹欢,https://music.163.com/#/user/home?id=641720
粤语经典老歌女声【好听到发疯，一次爱够】,434万,https://music.163.com/#/playlist?id=2886609864,继续趴着数蚂蚁,https://music.163.com/#/user/home?id=573114106
青春已逝，重温那年你听过的粤语经典,431万,https://music.163.com/#/playlist?id=140133379,Llstener,https://music.163.com/#/user/home?id=84488124
那些好听到爆的经典粤语经典,429万,https://music.163.com/#/playlist?id=2353591747,TY-Hunter,https://music.163.com/#/user/home?id=501938841
百听不厌（粤语经典翻唱）,428万,https://music.163.com/#/playlist?id=5180761806,是阿辉耶_,https://music.163.com/#/user/home?id=1998144181
张国荣逝世20周年 | 你从未真的离去,426万,https://music.163.com/#/playlist?id=7355842102,云音乐歌单之友,https://music.163.com/#/user/home?id=39577093
【粤语】富士山下钟无艳，人来人往喜帖街,421万,https://music.163.com/#/playlist?id=890663183,万柿可爱,https://music.163.com/#/user/home?id=443415622
歌神张学友【粤语】百首精选,421万,https://music.163.com/#/playlist?id=455531058,帐号已注销,https://music.163.com/#/user/home?id=66283462
港风复古｜这些港乐真的不要太正！！！,419万,https://music.163.com/#/playlist?id=958425862,-此间_,https://music.163.com/#/user/home?id=367243083
〔小众粤语〕爱过痛过避免不了难过,418万,https://music.163.com/#/playlist?id=2020989981,爱听歌的狗大叔,https://music.163.com/#/user/home?id=326263822
百首金曲【粤语】,415万,https://music.163.com/#/playlist?id=874652746,陌界歌丶,https://music.163.com/#/user/home?id=120825578
粤语歌‖粤听越有味，妙音粤耳，无法逾粤,415万,https://music.163.com/#/playlist?id=5217070969,JustinChen陈梓骏,https://music.163.com/#/user/home?id=583630596
不困于旧情 | 粤语歌中的洒脱之境,413万,https://music.163.com/#/playlist?id=819433145,PakhoMr,https://music.163.com/#/user/home?id=381231445
经典粤语|听不腻的优美,406万,https://music.163.com/#/playlist?id=458620321,美国的红酒,https://music.163.com/#/user/home?id=328695405
【粤语女声】你说你说我们要不要在一起,402万,https://music.163.com/#/playlist?id=925218695,抑郁舞娘虾酱,https://music.163.com/#/user/home?id=340318283
一人一首粤语经典,402万,https://music.163.com/#/playlist?id=590902211,听风斩雪,https://music.163.com/#/user/home?id=357468369
「粤语情怀」老歌似酒，一醉方休,399万,https://music.163.com/#/playlist?id=755227178,佛山李嘉欣,https://music.163.com/#/user/home?id=258653372
粤语｜每天也有不同的难过,399万,https://music.163.com/#/playlist?id=5060216672,无限自由_jX11,https://music.163.com/#/user/home?id=1426292524
宝丽金、经典粤语~百年经典,390万,https://music.163.com/#/playlist?id=320881799,Eddy_唐人,https://music.163.com/#/user/home?id=254577771
『粤语』伴随着他们的歌声，青春渐行渐远,383万,https://music.163.com/#/playlist?id=436763890,北城以北的念,https://music.163.com/#/user/home?id=100256294
粤语|旧歌越听越有味 旧人越看越无情,379万,https://music.163.com/#/playlist?id=6940412958,_脆肉鲩_,https://music.163.com/#/user/home?id=3325505485
雨中的恋人们 (经典不朽),379万,https://music.163.com/#/playlist?id=2815856340,瓦西里EmCee,https://music.163.com/#/user/home?id=391291111
00后的粤语歌单（流行）,369万,https://music.163.com/#/playlist?id=5100958111,Keshenwin,https://music.163.com/#/user/home?id=621945822
【粤语】女歌男翻，惊艳耳蜗,363万,https://music.163.com/#/playlist?id=594742689,雨不飄,https://music.163.com/#/user/home?id=1580117
寶麗金經典[粵語]試音級HIFI歌曲,360万,https://music.163.com/#/playlist?id=2236155730,KimLua,https://music.163.com/#/user/home?id=429898021
百首经典粤语现场版一次Live个够,358万,https://music.163.com/#/playlist?id=3016270816,HiroseYasuho,https://music.163.com/#/user/home?id=454059720
粤语|愿花光所有运气，在有生瞬间能遇到你,356万,https://music.163.com/#/playlist?id=732945419,PakhoMr,https://music.163.com/#/user/home?id=381231445
高质量粤语歌单,350万,https://music.163.com/#/playlist?id=6801070078,高玉韩,https://music.163.com/#/user/home?id=3923278330
粤语经典歌曲精选【超级好听】,347万,https://music.163.com/#/playlist?id=151235962,阿耀8991,https://music.163.com/#/user/home?id=90015502
最好听的粤语歌,345万,https://music.163.com/#/playlist?id=101364103,zhouxiansheng1979,https://music.163.com/#/user/home?id=46815761
突然好想你【粤】,345万,https://music.163.com/#/playlist?id=125454723,最憝悉的陌生人ycl,https://music.163.com/#/user/home?id=55716541
声生不息港乐季第1-12期合集,344万,https://music.163.com/#/playlist?id=7394782602,yyyyyyu-ing,https://music.163.com/#/user/home?id=485388235
寶麗金-霹靂^勁爆跳舞街,343万,https://music.163.com/#/playlist?id=62003473,哥哥姓劉,https://music.163.com/#/user/home?id=59836871
初听不知曲中意 再听已是曲中人,342万,https://music.163.com/#/playlist?id=776271333,帐号已注销,https://music.163.com/#/user/home?id=259096642
金典老歌粤语车载,337万,https://music.163.com/#/playlist?id=885019740,不是很好看_,https://music.163.com/#/user/home?id=340272471
香港经典粤语歌精选,336万,https://music.163.com/#/playlist?id=981709101,泥狸猫吗,https://music.163.com/#/user/home?id=419987770
【永恒】80年代粤语经典老歌,333万,https://music.163.com/#/playlist?id=817936710,树懒的日常,https://music.163.com/#/user/home?id=392760416
粤语 | 就算没结果 也是曾经爱过,331万,https://music.163.com/#/playlist?id=128025206,-KooTo-,https://music.163.com/#/user/home?id=17711631
怀旧金曲 | 经典老歌 首首经典 曲曲好听,328万,https://music.163.com/#/playlist?id=7797495372,月亮藏不住的小情绪,https://music.163.com/#/user/home?id=2118682115
陈奕迅最好的现场（Live）,328万,https://music.163.com/#/playlist?id=23694234,吃饭小卷粉,https://music.163.com/#/user/home?id=20458265
经典老歌 好听的粤语歌单,327万,https://music.163.com/#/playlist?id=2699567632,青涩模样丶,https://music.163.com/#/user/home?id=537646634
粤语丨既然心知肚明又何必句句煽情,326万,https://music.163.com/#/playlist?id=633394482,冷冷七弦上i,https://music.163.com/#/user/home?id=295535952
若无陈奕迅 生活如何撑の粤语歌单,325万,https://music.163.com/#/playlist?id=2718138746,少先队干部璇仔,https://music.163.com/#/user/home?id=252206521
黄伟文 | 咬着唇穿婚纱上路，余生请你指教,322万,https://music.163.com/#/playlist?id=2182237160,HannahQuinlivan___,https://music.163.com/#/user/home?id=123350431
经典粤语|不是老歌好听了，而是都有故事了,320万,https://music.163.com/#/playlist?id=7626695300,本该先生,https://music.163.com/#/user/home?id=41142946
粤语融心珍藏,320万,https://music.163.com/#/playlist?id=46301372,Sapura一桥,https://music.163.com/#/user/home?id=18231536
『白话』 一首粤曲 唱述一生,318万,https://music.163.com/#/playlist?id=546132859,小白兔受性大发i,https://music.163.com/#/user/home?id=98661554
百首精选粤语歌 经典仍依旧,314万,https://music.163.com/#/playlist?id=7447000932,野原狭志,https://music.163.com/#/user/home?id=5119171166
全香港都在听麦浚龙的恋曲,313万,https://music.163.com/#/playlist?id=108982230,ceth,https://music.163.com/#/user/home?id=205640
张国荣 Leslie Cheung,308万,https://music.163.com/#/playlist?id=2137350821,帐号已注销,https://music.163.com/#/user/home?id=437728739
一生偶像张国荣〖唯独你最难忘〗,307万,https://music.163.com/#/playlist?id=505744156,你喜欢leslie吗,https://music.163.com/#/user/home?id=296748819
执着粤语歌后卫兰,303万,https://music.163.com/#/playlist?id=17413790,枫叶公主,https://music.163.com/#/user/home?id=19474116
粤语歌里的百年孤寂,303万,https://music.163.com/#/playlist?id=630863306,虎锐,https://music.163.com/#/user/home?id=487355
〖我所挚爱的粤语男声〗,302万,https://music.163.com/#/playlist?id=82857677,背了个影kiki,https://music.163.com/#/user/home?id=26852587
粤语 / 世界咁大 哪裡只得我共你,301万,https://music.163.com/#/playlist?id=448664138,XIao小喜,https://music.163.com/#/user/home?id=87945082
网易云评论最多的50首粤语歌,300万,https://music.163.com/#/playlist?id=3131447355,最疯小子,https://music.163.com/#/user/home?id=352712978
港台经典 红馆演唱会 现场live,300万,https://music.163.com/#/playlist?id=763100210,侬本多晴_,https://music.163.com/#/user/home?id=382918871
虎牙TV第一男枪张嘉文之轰辉歌单！,299万,https://music.163.com/#/playlist?id=576467095,Trevor-CHN,https://music.163.com/#/user/home?id=64327200
粤语经典 读不尽的岁月悲欢,298万,https://music.163.com/#/playlist?id=6956856770,晚秋月色,https://music.163.com/#/user/home?id=1463489610
粤语 | 百听不厌 烙在记忆深处的经典歌声,297万,https://music.163.com/#/playlist?id=7626543123,月亮藏不住的小情绪,https://music.163.com/#/user/home?id=2118682115
粤语 | 这个破纸箱，装一堆小众,291万,https://music.163.com/#/playlist?id=711281528,帐号已注销,https://music.163.com/#/user/home?id=437728739
张学友Live精选集,285万,https://music.163.com/#/playlist?id=130771335,赵知足,https://music.163.com/#/user/home?id=63793597
BEYOND经典歌单,284万,https://music.163.com/#/playlist?id=2817243233,用户580884409,https://music.163.com/#/user/home?id=580884409
粵語｜白話界的友情歲月,280万,https://music.163.com/#/playlist?id=649110429,熊阿柒,https://music.163.com/#/user/home?id=371860146
深情的粤语歌最是毒,280万,https://music.163.com/#/playlist?id=99661861,_暗涌_,https://music.163.com/#/user/home?id=64360987
『经典粤语1000首』还是老歌有味道,278万,https://music.163.com/#/playlist?id=473750436,音乐想象家,https://music.163.com/#/user/home?id=252393521
谭咏麟：白金畅销金曲全记录,276万,https://music.163.com/#/playlist?id=11288678,天涯不再海角依然,https://music.163.com/#/user/home?id=535641
唱得不错，写得也好,276万,https://music.163.com/#/playlist?id=882752365,浮梦沉生,https://music.163.com/#/user/home?id=256834399
