歌单名称,播放量,歌单链接,用户名称,用户链接
【旋律控】超级好听的欧美良曲,48425万,https://music.163.com/#/playlist?id=310970433,奶油冰激凌草莓沙拉,https://music.163.com/#/user/home?id=126997519
那些好听到发疯的粤语歌,19853万,https://music.163.com/#/playlist?id=111221399,天寒地凍路遠馬亡又何妨,https://music.163.com/#/user/home?id=66706671
【节奏控】超带感的英文歌（经典篇）,16590万,https://music.163.com/#/playlist?id=312734124,原点FM,https://music.163.com/#/user/home?id=247176530
700首流行经典老歌 | 80/90/00后怀旧珍藏,15099万,https://music.163.com/#/playlist?id=2451836751,PolooStudio,https://music.163.com/#/user/home?id=122895694
欧美精选 | 嗨 伙计 要来首10w+吗？,12951万,https://music.163.com/#/playlist?id=2301227992,KillBunny,https://music.163.com/#/user/home?id=98706997
老歌越听越经典，旧人越看越无情。,12340万,https://music.163.com/#/playlist?id=1996644701,我是个好人希望我能幸福,https://music.163.com/#/user/home?id=44377713
2023车载热歌DJ持续更新,9297万,https://music.163.com/#/playlist?id=3111297060,余晖Por,https://music.163.com/#/user/home?id=1987137354
8090后专属怀旧老歌合集（华语乐坛高光）,7102万,https://music.163.com/#/playlist?id=7340334755,人有相思寄明月z,https://music.163.com/#/user/home?id=3880144703
歌词唱透了心声，回忆模糊了眼眸,6972万,https://music.163.com/#/playlist?id=2139324915,YouTube全球音乐,https://music.163.com/#/user/home?id=7394345
单曲循环丨绝对不能错过的欧美歌曲,6711万,https://music.163.com/#/playlist?id=142902542,Jsny,https://music.163.com/#/user/home?id=113346499
华语经典丨情歌还是老的好,6004万,https://music.163.com/#/playlist?id=113807957,陈北及,https://music.163.com/#/user/home?id=3432498
说不出名字的那些经典英文歌,5814万,https://music.163.com/#/playlist?id=487457627,机智的兔子刘,https://music.163.com/#/user/home?id=343171909
老歌金曲 | 永恒的经典,5607万,https://music.163.com/#/playlist?id=1988668862,陳音匡,https://music.163.com/#/user/home?id=564782284
看小说听的歌曲（古风）,5430万,https://music.163.com/#/playlist?id=743558697,兜有糖心不慌,https://music.163.com/#/user/home?id=453477568
时光点唱机 | 经典老歌带你重回90年代 每日30首,4868万,https://music.163.com/#/playlist?id=2945028696,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
无法释怀的循环音乐,4729万,https://music.163.com/#/playlist?id=8435661,小翰子,https://music.163.com/#/user/home?id=5190793
万次评论只为这个旋律,4659万,https://music.163.com/#/playlist?id=60498371,HenryCao,https://music.163.com/#/user/home?id=2709009
青春点唱机 | 你学生时代的MP3 每日更新30首,4369万,https://music.163.com/#/playlist?id=2968527373,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
网易云评论最多粤语歌TOP50,3611万,https://music.163.com/#/playlist?id=3107640832,蚕豆音乐娘,https://music.163.com/#/user/home?id=275326625
『那些评论破万的日文歌』更新中,3594万,https://music.163.com/#/playlist?id=2196947449,柒月的布偶猫,https://music.163.com/#/user/home?id=269677190
那些洗脑的英文歌,3558万,https://music.163.com/#/playlist?id=764125,音我而在,https://music.163.com/#/user/home?id=638551
欧美经典丨总有一首歌直击你心,3556万,https://music.163.com/#/playlist?id=379133594,艾琳艾德勒丶,https://music.163.com/#/user/home?id=82179192
时间有泪—香港十大作词人写尽世间酸甜苦辣,3216万,https://music.163.com/#/playlist?id=502843585,小Lsix,https://music.163.com/#/user/home?id=353262946
粤语经典老歌【好听到发疯，一次爱够】,3107万,https://music.163.com/#/playlist?id=2459826936,继续趴着数蚂蚁,https://music.163.com/#/user/home?id=573114106
100首经典英文歌曲排行榜*上篇,3085万,https://music.163.com/#/playlist?id=17044038,pure日月,https://music.163.com/#/user/home?id=897345
华语经典老歌，永恒不朽（百首精选）,2984万,https://music.163.com/#/playlist?id=374012053,原点FM,https://music.163.com/#/user/home?id=247176530
华语经典丨不容错过的神级Live现场,2663万,https://music.163.com/#/playlist?id=3136179094,马翊辰,https://music.163.com/#/user/home?id=113164676
那些评论过万的粤语歌曲【持续更新】,2404万,https://music.163.com/#/playlist?id=477316405,丶Jeremy-Lin,https://music.163.com/#/user/home?id=263958527
百听不厌的经典英文老歌,2357万,https://music.163.com/#/playlist?id=66873341,-DreamCatcher,https://music.163.com/#/user/home?id=55902127
曾经的凤舞九天非主流DJ舞曲,2242万,https://music.163.com/#/playlist?id=125613538,游客1247,https://music.163.com/#/user/home?id=79887461
【车载】开车犯困必听中文老歌dj,2223万,https://music.163.com/#/playlist?id=2989795136,雷碧dj,https://music.163.com/#/user/home?id=361994077
百年奥斯卡金曲珍藏版&英文老歌,2220万,https://music.163.com/#/playlist?id=15163713,bl1985,https://music.163.com/#/user/home?id=17810115
华语精选｜评论过10万+的优质歌曲,2093万,https://music.163.com/#/playlist?id=2799125848,借風擁妳,https://music.163.com/#/user/home?id=475273307
好听的粤语歌 | 每一首都是经典,1963万,https://music.163.com/#/playlist?id=2799143003,沈星辰co,https://music.163.com/#/user/home?id=346620044
『欧美』抖腿族`节奏控福利.,1891万,https://music.163.com/#/playlist?id=329349397,林深時見鹿_Rsz,https://music.163.com/#/user/home?id=38874166
【粤语歌单】精选200首经典粤语老歌,1886万,https://music.163.com/#/playlist?id=892851120,帐号已注销,https://music.163.com/#/user/home?id=538630845
爆好听的英文歌,1828万,https://music.163.com/#/playlist?id=459139271,丿Sunny灬净土,https://music.163.com/#/user/home?id=285337851
香港经典老歌/粤语｜经典永流传,1827万,https://music.163.com/#/playlist?id=2145762470,AdeeL丨,https://music.163.com/#/user/home?id=589125151
怀旧点唱机 | 珍藏和聆听 属于记忆里的70.80年代,1798万,https://music.163.com/#/playlist?id=5199155506,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
