歌单名称,播放量,歌单链接,用户名称,用户链接
歌手华晨宇｜歌王诞生，热血开唱！,1344万,https://music.163.com/#/playlist?id=3205374001,网易云音乐,https://music.163.com/#/user/home?id=1
最佳演出现场 | 在耳机里感受live的魅力,1338万,https://music.163.com/#/playlist?id=4991155974,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
中国新说唱2020现场音频全收录,1219万,https://music.163.com/#/playlist?id=5180018018,网易云音乐,https://music.163.com/#/user/home?id=1
青春有你2｜每个女生都值得为自己发光,716万,https://music.163.com/#/playlist?id=4977699837,格格酱GG,https://music.163.com/#/user/home?id=428207590
歌手周深 | 破茧成蝶，全新风格动人心魄,667万,https://music.163.com/#/playlist?id=3205269853,网易云音乐,https://music.163.com/#/user/home?id=1
乘风破浪的姐姐2｜三十而奕，落子无悔,598万,https://music.163.com/#/playlist?id=5450686926,傻傻傻傻傻了,https://music.163.com/#/user/home?id=129153895
时光音乐会｜第1-14期合辑 ❤️温暖收官,531万,https://music.163.com/#/playlist?id=7065850525,帐号已注销,https://music.163.com/#/user/home?id=5039658391
歌手毛不易｜谢谢你唱，我们会一直听,440万,https://music.163.com/#/playlist?id=3205283801,网易云音乐,https://music.163.com/#/user/home?id=1
声临其境第三季1-14期音频全收录,413万,https://music.163.com/#/playlist?id=4866365293,网易云音乐,https://music.163.com/#/user/home?id=1
Mattohti Sattar 麦提托合提萨塔尔,410万,https://music.163.com/#/playlist?id=5011302434,AbdurazzaqAbdulla,https://music.163.com/#/user/home?id=255740718
歌手收官！往季精彩音乐回顾,388万,https://music.163.com/#/playlist?id=3205322416,网易云音乐,https://music.163.com/#/user/home?id=1
【歌曲收录】歌手当打之年2020,383万,https://music.163.com/#/playlist?id=2121634200,带着花椒去上朝,https://music.163.com/#/user/home?id=254152853
歌手2020首发阵容出炉，点燃音乐大战！,373万,https://music.163.com/#/playlist?id=3173024027,网易云音乐,https://music.163.com/#/user/home?id=1
Reyimjan-Abdukeyum《热依木江》,355万,https://music.163.com/#/playlist?id=2980540524,Reyimjan-Abdukeyum,https://music.163.com/#/user/home?id=1929875361
青春有你2｜相关歌曲收录,350万,https://music.163.com/#/playlist?id=4915137971,Babyheart2,https://music.163.com/#/user/home?id=2030783631
我的音乐你听吗 | 有谱村的音乐故事,326万,https://music.163.com/#/playlist?id=6952319059,网易云音乐,https://music.163.com/#/user/home?id=1
蔡徐坤 （nine percent）偶像练习生,318万,https://music.163.com/#/playlist?id=708479745,LWKLJH,https://music.163.com/#/user/home?id=114865213
中国说唱巅峰对决 | 强强对决 巅峰集结,295万,https://music.163.com/#/playlist?id=7505456487,网易云音乐,https://music.163.com/#/user/home?id=1
"中国说唱巅峰对决2023 | ""中说超""巅峰开赛",288万,https://music.163.com/#/playlist?id=8402855265,网易云音乐,https://music.163.com/#/user/home?id=1
Lady Land |《姐姐的爱乐之程》节目原声,266万,https://music.163.com/#/playlist?id=5326454936,网易云音乐,https://music.163.com/#/user/home?id=1
声生不息 | 港乐集结 共享辉煌,252万,https://music.163.com/#/playlist?id=7392714527,网易云音乐,https://music.163.com/#/user/home?id=1
Abdulla Abdurehim 歌曲大全,243万,https://music.163.com/#/playlist?id=3138023485,新疆-鬼总,https://music.163.com/#/user/home?id=1297603672
《披荆斩棘的哥哥》精选作品集,211万,https://music.163.com/#/playlist?id=3114263846,偷偷的叹了口气,https://music.163.com/#/user/home?id=1590851653
『时光音乐会 』|第1-14期合集,208万,https://music.163.com/#/playlist?id=7034776908,杨晓一Jessica,https://music.163.com/#/user/home?id=9272348
《我们的乐队》独家音频 | 放肆作伴BAND！,197万,https://music.163.com/#/playlist?id=4914908262,网易云音乐,https://music.163.com/#/user/home?id=1
歌手刘柏辛 | 敢唱敢当，未来可期,185万,https://music.163.com/#/playlist?id=4870687738,网易云音乐,https://music.163.com/#/user/home?id=1
2022中国说唱巅峰对决,178万,https://music.163.com/#/playlist?id=7506382070,Sweetking甜王,https://music.163.com/#/user/home?id=431350032
"声生不息·宝岛季 | 有歌之年,歌自宝岛来",171万,https://music.163.com/#/playlist?id=8237704460,网易云音乐,https://music.163.com/#/user/home?id=1
披荆斩棘的哥哥 | 滚烫的人生永远发光！,164万,https://music.163.com/#/playlist?id=6924225169,网易云音乐,https://music.163.com/#/user/home?id=1
《中国说唱巅峰对决》选手作品集,159万,https://music.163.com/#/playlist?id=5013599598,偷偷的叹了口气,https://music.163.com/#/user/home?id=1590851653
声生不息·港乐季 || 节目歌单,157万,https://music.163.com/#/playlist?id=2191871928,La-lluvia,https://music.163.com/#/user/home?id=108729744
「闪光的乐队」合辑 ❤️【收官】,157万,https://music.163.com/#/playlist?id=7133373728,云村旅行者UFO,https://music.163.com/#/user/home?id=6301669397
天赐的声音4｜全四季·正序合辑❤️更新ING~,156万,https://music.163.com/#/playlist?id=7322880669,云村旅行者UFO,https://music.163.com/#/user/home?id=6301669397
你找不到的歌曲,156万,https://music.163.com/#/playlist?id=2742839621,帐号已注销,https://music.163.com/#/user/home?id=1319654503
青春有你2 | 已完结,145万,https://music.163.com/#/playlist?id=4910784285,SaSaSNSD,https://music.163.com/#/user/home?id=133363612
时光音乐会 | 两季音频全收录,143万,https://music.163.com/#/playlist?id=8201823014,网易云音乐,https://music.163.com/#/user/home?id=1
丝绸之路好声音 第四季,141万,https://music.163.com/#/playlist?id=5477717525,Prince-EJ,https://music.163.com/#/user/home?id=3255436018
谁是宝藏歌手 | 综艺音频全收录,132万,https://music.163.com/#/playlist?id=6731094367,网易云音乐,https://music.163.com/#/user/home?id=1
恋爱综艺 半熟恋人 BGM,128万,https://music.163.com/#/playlist?id=7222102096,风舞蹁跹,https://music.163.com/#/user/home?id=33627166
剪辑音效3丨短音/转场/铃声/氛围/环境音,119万,https://music.163.com/#/playlist?id=2469473522,妮可伊博格,https://music.163.com/#/user/home?id=67485126
丝绸之路好声音 第五季,114万,https://music.163.com/#/playlist?id=7136134923,Prince-EJ,https://music.163.com/#/user/home?id=3255436018
朋友请听好：欢迎光临我们的广播小站,113万,https://music.163.com/#/playlist?id=4909439885,网易云音乐,https://music.163.com/#/user/home?id=1
《向往的生活》第五季bgm全收录,111万,https://music.163.com/#/playlist?id=6709679621,马儿Emily,https://music.163.com/#/user/home?id=1949164229
乘风破浪的姐姐 | 原曲 成团夜更新 全,111万,https://music.163.com/#/playlist?id=5005300998,只是一只小猫咪x,https://music.163.com/#/user/home?id=289050230
[TNT时代少年团•原声歌曲•持续更新],110万,https://music.163.com/#/playlist?id=6779764466,是酱呐,https://music.163.com/#/user/home?id=1843624791
乐 夏：你 你 你 要 跳 舞 吗,109万,https://music.163.com/#/playlist?id=623978387,何小飯儿,https://music.163.com/#/user/home?id=434456227
《嗨唱转起来2》音频全收录,108万,https://music.163.com/#/playlist?id=5389968593,网易云音乐,https://music.163.com/#/user/home?id=1
我们民谣2022 | 用音乐治愈心灵,106万,https://music.163.com/#/playlist?id=7840686287,网易云音乐,https://music.163.com/#/user/home?id=1
韩综 | 换乘恋爱 BGM,106万,https://music.163.com/#/playlist?id=6827562995,咕噜咕噜v-,https://music.163.com/#/user/home?id=111050645
中国说唱巅峰对决2023作品集丨全收录,100万,https://music.163.com/#/playlist?id=7241567256,芳心收集人,https://music.163.com/#/user/home?id=610336824
声生不息 |原曲VS新版 |跨越时间的港乐告白,99万,https://music.163.com/#/playlist?id=7392895699,献给莉莉的玫瑰,https://music.163.com/#/user/home?id=1430992951
Yipak Yoli Sadasi 4-Bolum (第四季),98万,https://music.163.com/#/playlist?id=5367046476,Prince-EJ,https://music.163.com/#/user/home?id=3255436018
‒❥乌孜别克歌曲︱ OzBek Tallanma❀,95万,https://music.163.com/#/playlist?id=2464035579,时光-已过,https://music.163.com/#/user/home?id=364599931
第4期 丝绸之路之声︴Yipak Yuli Sadasi -4❁,90万,https://music.163.com/#/playlist?id=6724933782,MRSADAF,https://music.163.com/#/user/home?id=368701885
Yipak Yoli Sadasi 5-Bolum (第五季）,86万,https://music.163.com/#/playlist?id=6759561429,Prince-EJ,https://music.163.com/#/user/home?id=3255436018
少羽战歌-小屿,86万,https://music.163.com/#/playlist?id=7310177745,江小屿y,https://music.163.com/#/user/home?id=5179303341
《披荆斩棘的哥哥》合集共9期丨持续更新,86万,https://music.163.com/#/playlist?id=6945819456,刘然lsr,https://music.163.com/#/user/home?id=307226878
『中国好声音2021』| 曲目合辑版本,85万,https://music.163.com/#/playlist?id=6891822258,杨晓一Jessica,https://music.163.com/#/user/home?id=9272348
综艺｜声生不息宝岛季｜歌曲收录,81万,https://music.163.com/#/playlist?id=2204217966,小薛鸭鸭,https://music.163.com/#/user/home?id=411677567
网易云网络火歌,81万,https://music.163.com/#/playlist?id=2966389572,克热木music,https://music.163.com/#/user/home?id=1586794019
天赐的声音4第9期丨歌曲全收录 纷繁热烈,76万,https://music.163.com/#/playlist?id=7687715469,__Heisenberg丨,https://music.163.com/#/user/home?id=3223389037
声生不息|港乐季时代唱片合辑,75万,https://music.163.com/#/playlist?id=7392901292,杨晓一Jessica,https://music.163.com/#/user/home?id=9272348
综艺｜声生不息港乐季+原曲。,75万,https://music.163.com/#/playlist?id=7392749953,袁两半i,https://music.163.com/#/user/home?id=1305404218
天赐的声音 | 大口呼吸，世界热烈,71万,https://music.163.com/#/playlist?id=8377438674,网易云音乐,https://music.163.com/#/user/home?id=1
快乐再出发 0713再就业男团—情歌合辑,71万,https://music.163.com/#/playlist?id=7567133073,LIIDZ-woo,https://music.163.com/#/user/home?id=450219045
声入人心第一季(网易云终于有版权了!),69万,https://music.163.com/#/playlist?id=7037584586,此去迢迢,https://music.163.com/#/user/home?id=249887899
《中国说唱巅峰对决》歌曲全收录（已完结）,68万,https://music.163.com/#/playlist?id=7505656222,孤竹狂人,https://music.163.com/#/user/home?id=1361103105
时光音乐会第二季 | 音频全收录,67万,https://music.163.com/#/playlist?id=7803402543,网易云音乐,https://music.163.com/#/user/home?id=1
《Begin Again 3》JTBC治愈音综,67万,https://music.163.com/#/playlist?id=2892433723,谁像隔夜茶泼入隔岸人海cloud,https://music.163.com/#/user/home?id=135094301
我是歌手·精选百首超神现场 经典王炸,58万,https://music.163.com/#/playlist?id=7809857281,__Heisenberg丨,https://music.163.com/#/user/home?id=3223389037
