歌单名称,播放量,歌单链接,用户名称,用户链接
私人雷达,1585752万,https://music.163.com/#/playlist?id=3136952023,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
华语私人订制 | 最懂你的华语推荐 每日更新35首,169681万,https://music.163.com/#/playlist?id=2829883282,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
华语速爆新歌 | 薛之谦：崇拜在爱中卷土重来,108419万,https://music.163.com/#/playlist?id=924680166,网易云音乐,https://music.163.com/#/user/home?id=1
还在听《Havana》吗|时光雷达,72755万,https://music.163.com/#/playlist?id=5320167908,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
[一周新歌推荐] 李荣浩新单满怀少年意气，生来桀骜依然勇越山川,48326万,https://music.163.com/#/playlist?id=2409342460,网易云音乐,https://music.163.com/#/user/home?id=1
欧美私人订制 | 最懂你的欧美推荐 每日更新35首,44376万,https://music.163.com/#/playlist?id=2829816518,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
超好听的神仙翻唱,44266万,https://music.163.com/#/playlist?id=2153548870,小攀哟,https://music.163.com/#/user/home?id=1407747620
200首好听的翻唱,25374万,https://music.163.com/#/playlist?id=863744119,海里有马爱蒋道理,https://music.163.com/#/user/home?id=326053666
宝藏雷达,21174万,https://music.163.com/#/playlist?id=5362359247,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
本人写作业学习歌单/翻唱,20481万,https://music.163.com/#/playlist?id=2382819181,可爱殺死了婷婷,https://music.163.com/#/user/home?id=1395306195
超好听的男声翻唱哦,20340万,https://music.163.com/#/playlist?id=2336047826,我鲁班不坑,https://music.163.com/#/user/home?id=1534351300
精选｜2023耳熟的翻唱合集,17854万,https://music.163.com/#/playlist?id=2682044074,情感文字君,https://music.163.com/#/user/home?id=471776903
The Weeknd和更多好听的|乐迷雷达,14590万,https://music.163.com/#/playlist?id=5327906368,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
睡眠伴侣 | 选首最合适你的 然后单曲循环,13580万,https://music.163.com/#/playlist?id=2829733864,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
新歌雷达,12850万,https://music.163.com/#/playlist?id=5300458264,云音乐私人雷达,https://music.163.com/#/user/home?id=1287293193
超好听的高潮翻唱呀,10616万,https://music.163.com/#/playlist?id=3175286632,我鲁班不坑,https://music.163.com/#/user/home?id=1534351300
[一周日语上新] 椎名豪与中川奈美合作《鬼灭之刃》第3季插入曲,9699万,https://music.163.com/#/playlist?id=2819914042,云音乐樱花酱,https://music.163.com/#/user/home?id=1411440874
精选｜2023那些循环歌曲的翻唱,9509万,https://music.163.com/#/playlist?id=2715933347,情感文字君,https://music.163.com/#/user/home?id=471776903
运动随身听 | 必听活力音乐燃料 今天运动了吗,8830万,https://music.163.com/#/playlist?id=2829779628,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
全球百大DJ | 最新2022百大作品集 每日个性化更新100首,8656万,https://music.163.com/#/playlist?id=2888212971,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
我们出发吧 | 早 这是今日出发路上的音乐早餐,7480万,https://music.163.com/#/playlist?id=2829807251,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
下班听我的 | 打工人又度过了一天 下班快乐,6974万,https://music.163.com/#/playlist?id=3072883579,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
好听到单曲循环的歌,6879万,https://music.163.com/#/playlist?id=2815777391,小攀哟,https://music.163.com/#/user/home?id=1407747620
电音雷达 | 专属于你的电音节奏推荐 每日更新50首,6814万,https://music.163.com/#/playlist?id=2829839197,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
流行点唱机 | 2010年代华语热播 每日30首,6699万,https://music.163.com/#/playlist?id=5172410111,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
那些开口就跪的流行翻唱,6622万,https://music.163.com/#/playlist?id=2790119365,江野北秋,https://music.163.com/#/user/home?id=309158198
