歌单名称,播放量,歌单链接,用户名称,用户链接
全球百大DJ | 最新2022百大作品集 每日个性化更新100首,8656万,https://music.163.com/#/playlist?id=2888212971,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
『夜店炸音、耳膜噩梦』,8272万,https://music.163.com/#/playlist?id=544570007,炫迈输出,https://music.163.com/#/user/home?id=284324968
欧美精选：动感节奏，治瘾旋律,7842万,https://music.163.com/#/playlist?id=2786175968,小攀哟,https://music.163.com/#/user/home?id=1407747620
电音雷达 | 专属于你的电音节奏推荐 每日更新50首,6814万,https://music.163.com/#/playlist?id=2829839197,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
电音雷达 | 专属于你的电音节奏推荐 每日更新50首,6814万,https://music.163.com/#/playlist?id=2829839197,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
EA7最棒的抖腿车载,4989万,https://music.163.com/#/playlist?id=462106637,车臣党Muz,https://music.163.com/#/user/home?id=283179749
【电子】入耳收藏的经典旋律,4345万,https://music.163.com/#/playlist?id=123216450,烈雨,https://music.163.com/#/user/home?id=34272600
这节奏，听着就想跳舞！,3692万,https://music.163.com/#/playlist?id=750115024,吴雪龙,https://music.163.com/#/user/home?id=39468344
蹦迪专用嗨曲|奥斯卡酒吧蹦迪音乐,3567万,https://music.163.com/#/playlist?id=2565066776,侠侣亲子-许天准,https://music.163.com/#/user/home?id=82706946
【社会人专用歌单】,3451万,https://music.163.com/#/playlist?id=92698272,EM227,https://music.163.com/#/user/home?id=82286955
『车载大全』DJ中文歌曲、咚鼓版,3274万,https://music.163.com/#/playlist?id=2491101935,曾阿紫,https://music.163.com/#/user/home?id=558822141
网易最全999+的车载电音,3039万,https://music.163.com/#/playlist?id=447177059,Universal-EDM环球电子,https://music.163.com/#/user/home?id=93601798
炸车必备，易上头！（不定时更新）,2734万,https://music.163.com/#/playlist?id=458945175,周不懒_,https://music.163.com/#/user/home?id=329027386
3D立体环绕曲·耳机专享···网易环绕音乐全录,2580万,https://music.163.com/#/playlist?id=555652264,山语溪,https://music.163.com/#/user/home?id=134914495
朗朗入耳的歌曲｜中文DJ版｜音魂不散,2425万,https://music.163.com/#/playlist?id=2399099637,借風擁妳,https://music.163.com/#/user/home?id=475273307
Trap Remix丨当欧美热单遇上毒性低音,2416万,https://music.163.com/#/playlist?id=717848220,避难所Shelter,https://music.163.com/#/user/home?id=67630871
【万评电音】抬头，已是一片星海,2397万,https://music.163.com/#/playlist?id=2237048282,谐星七十六号,https://music.163.com/#/user/home?id=413580720
曾经的凤舞九天非主流DJ舞曲,2242万,https://music.163.com/#/playlist?id=125613538,游客1247,https://music.163.com/#/user/home?id=79887461
电音热舞派对 | 全天候热舞现场 跟随电音节奏狂欢,2165万,https://music.163.com/#/playlist?id=5099585261,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
超燃中文Dj歌曲,1971万,https://music.163.com/#/playlist?id=2689810343,FluoxetineCC,https://music.163.com/#/user/home?id=1489910385
车载嗨曲-Dj,1900万,https://music.163.com/#/playlist?id=2032000670,嘿丶来听听歌吧,https://music.163.com/#/user/home?id=1323430315
先上DJ先上DJ【土到极致就是嗨】,1792万,https://music.163.com/#/playlist?id=2557744972,江野北秋,https://music.163.com/#/user/home?id=309158198
逗比出场专用：画风突变的搞笑BGM,1665万,https://music.163.com/#/playlist?id=865397650,Sakura狐狸,https://music.163.com/#/user/home?id=404879689
绝对给你们灵魂都der'炸蹦起来！,1659万,https://music.163.com/#/playlist?id=85956779,Douzi_,https://music.163.com/#/user/home?id=77725427
⭕️⭕️❤️很好听的(咚鼓版)歌曲 ❤️⭕️⭕️,1555万,https://music.163.com/#/playlist?id=2520067524,斯仁塔娜,https://music.163.com/#/user/home?id=370955194
【节奏控】那些一听就中毒的电音 纯音乐,1541万,https://music.163.com/#/playlist?id=2120271089,原点FM,https://music.163.com/#/user/home?id=247176530
复古 蒸汽波 jazz hip-pop trap chill,1537万,https://music.163.com/#/playlist?id=571927279,帐号已注销,https://music.163.com/#/user/home?id=114242083
韩国女团神曲集,1519万,https://music.163.com/#/playlist?id=2110198442,白豫彬的小甜歌,https://music.163.com/#/user/home?id=1377394984
开车犯困必听99首DJ,1514万,https://music.163.com/#/playlist?id=3085216604,杜柏达达达,https://music.163.com/#/user/home?id=505978886
最好听的广场舞歌曲大全100首,1476万,https://music.163.com/#/playlist?id=2502761360,侠侣亲子-许天准,https://music.163.com/#/user/home?id=82706946
全球最动听的劲爆DJ舞曲,1461万,https://music.163.com/#/playlist?id=2419982896,忧神音乐,https://music.163.com/#/user/home?id=624809612
风靡全球蒸汽波全集,1456万,https://music.163.com/#/playlist?id=2033560788,艺术人柱力,https://music.163.com/#/user/home?id=136403353
EDM Trap丨狂野不羁的邪魅低音,1410万,https://music.163.com/#/playlist?id=510190176,避难所Shelter,https://music.163.com/#/user/home?id=67630871
用节奏嗨翻全场！,1345万,https://music.163.com/#/playlist?id=404045668,吴雪龙,https://music.163.com/#/user/home?id=39468344
『EDM』&炸翻全场,1333万,https://music.163.com/#/playlist?id=116090875,S2U_Music,https://music.163.com/#/user/home?id=97525034
【煲耳机无损重低音】,1296万,https://music.163.com/#/playlist?id=493789741,布尔什维克近卫军,https://music.163.com/#/user/home?id=48456647
适合跳舞的韩式歌曲（女团&女solo）,1246万,https://music.163.com/#/playlist?id=513780437,叮咚你有一份爱意请查收,https://music.163.com/#/user/home?id=273929855
那些甚至超越原版的Remix神助攻|持续更新,1152万,https://music.163.com/#/playlist?id=448809128,华纳音乐,https://music.163.com/#/user/home?id=3425937
爵士舞/街舞 基本功（热身）音乐,1139万,https://music.163.com/#/playlist?id=2175317244,原来是李四儿啊,https://music.163.com/#/user/home?id=297026143
带感踩点｜精美模特T台步时装走秀场必备,1137万,https://music.163.com/#/playlist?id=512383207,优雅装扮者,https://music.163.com/#/user/home?id=354603542
超流行经典歌曲high版,1137万,https://music.163.com/#/playlist?id=535799769,倾心汝之恋0719,https://music.163.com/#/user/home?id=69866982
车载“土嗨””低音炮开启来,1062万,https://music.163.com/#/playlist?id=132770152,Unique酱紫,https://music.163.com/#/user/home?id=75529392
[Deep House]抖腿车载必备(持续更新),1041万,https://music.163.com/#/playlist?id=587863841,Cosvos,https://music.163.com/#/user/home?id=108895541
dj 青海搖→旺四爺_才,1017万,https://music.163.com/#/playlist?id=2821642795,旺四爺_才,https://music.163.com/#/user/home?id=422419927
健身房轟炸耳膜 · 聽覺盛宴,987万,https://music.163.com/#/playlist?id=114306345,MarJorieBae,https://music.163.com/#/user/home?id=76909009
2021年最新车载中文DJ,974万,https://music.163.com/#/playlist?id=2545711935,Dony-英文硬曲推选,https://music.163.com/#/user/home?id=1529562019
舞曲 | 1M舞室那些听了耳朵要怀孕的配乐,905万,https://music.163.com/#/playlist?id=132715122,Mmangw,https://music.163.com/#/user/home?id=65591555
最佳电音︳色彩涡旋 • Future Bass,891万,https://music.163.com/#/playlist?id=637652108,WynnTheDays,https://music.163.com/#/user/home?id=63157581
