歌单名称,播放量,歌单链接,用户名称,用户链接
【烟嗓/爵士/灵魂/蓝调/华丽】韵味/酷炫,2785万,https://music.163.com/#/playlist?id=102656381,嗯倪默,https://music.163.com/#/user/home?id=32228525
2023网易10w评论爆火好听歌曲合集,2740万,https://music.163.com/#/playlist?id=7339520455,总是想念别伤心,https://music.163.com/#/user/home?id=1897070549
深情布鲁斯，浓情老酒馆。,2133万,https://music.163.com/#/playlist?id=939320758,帐号已注销,https://music.163.com/#/user/home?id=423252549
2023预知未来好听的歌都在这（持续更新）,1660万,https://music.163.com/#/playlist?id=7339381664,总是想念别伤心,https://music.163.com/#/user/home?id=1897070549
复古青年洗澡时的欢乐,1608万,https://music.163.com/#/playlist?id=109684193,齊宣王啃牛角,https://music.163.com/#/user/home?id=2928531
蓝调爵士，浓情老酒馆。,1355万,https://music.163.com/#/playlist?id=361919728,-Kazigga-,https://music.163.com/#/user/home?id=55044394
「蓝调布鲁斯」老酒馆的暧昧情调 ₁,1257万,https://music.163.com/#/playlist?id=361338397,如花一般绽放丶,https://music.163.com/#/user/home?id=50430012
复古烟嗓 爵士 蓝调布鲁斯,1223万,https://music.163.com/#/playlist?id=402328846,Szilvassy,https://music.163.com/#/user/home?id=95351424
J.Fla（最美侧颜）小姐姐翻唱,1090万,https://music.163.com/#/playlist?id=533360996,你弹吉他的样子很好看,https://music.163.com/#/user/home?id=73494904
Jazz 爵士乐 百听不厌,893万,https://music.163.com/#/playlist?id=687449,全球音乐精选,https://music.163.com/#/user/home?id=479074
蓝调唱片行 | 感受蓝调慢节拍 每日更新30首,865万,https://music.163.com/#/playlist?id=2972747860,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
世界上高逼格的法语歌,862万,https://music.163.com/#/playlist?id=108237487,秋刀鱼的春天,https://music.163.com/#/user/home?id=41197254
全球高档西餐厅专用背景音乐选曲,626万,https://music.163.com/#/playlist?id=745214108,双葉幼稚园孩子王,https://music.163.com/#/user/home?id=44046087
R&B | 极致女声-或低沉性感或甜美柔情,590万,https://music.163.com/#/playlist?id=2584413932,口袋里的黑白键,https://music.163.com/#/user/home?id=129064025
『大叔●烟嗓』开口即人生,574万,https://music.163.com/#/playlist?id=904928142,音乐想象家,https://music.163.com/#/user/home?id=252393521
咖啡厅循环播放的节奏！,530万,https://music.163.com/#/playlist?id=46560934,二柒姐,https://music.163.com/#/user/home?id=50036037
适合西餐厅的爵士蓝调,505万,https://music.163.com/#/playlist?id=312281968,Mijinyan,https://music.163.com/#/user/home?id=93425285
玫瑰与威士忌•蓝调女歌手精选集,459万,https://music.163.com/#/playlist?id=925007233,Melody_Groove,https://music.163.com/#/user/home?id=350556138
以灵魂为引，向经典致敬。,441万,https://music.163.com/#/playlist?id=43433014,音乐分享达人,https://music.163.com/#/user/home?id=613323
【♔典藏】老牌爵士歌手们的经典名曲,438万,https://music.163.com/#/playlist?id=590732385,爱听音乐的猫大叔,https://music.163.com/#/user/home?id=371876620
「复古烟嗓」醉人的灵魂唱腔 ₂,436万,https://music.163.com/#/playlist?id=437183722,如花一般绽放丶,https://music.163.com/#/user/home?id=50430012
国际顶尖时装发布会｜名厂音乐｜无损,434万,https://music.163.com/#/playlist?id=131125664,邓商,https://music.163.com/#/user/home?id=6594177
一百位爵士吉他大师•爵士乐全风格收录,401万,https://music.163.com/#/playlist?id=905194035,Melody_Groove,https://music.163.com/#/user/home?id=350556138
口琴•精选三十首（已排序）,387万,https://music.163.com/#/playlist?id=496503571,Only_简单,https://music.163.com/#/user/home?id=323633745
气氛 钩瘾 嗳抚 绅士,343万,https://music.163.com/#/playlist?id=707939312,文化夹缝中的畸零人,https://music.163.com/#/user/home?id=130890281
FUNK MUSIC ¡ 来自上个世纪的前卫节奏,342万,https://music.163.com/#/playlist?id=2528099093,帐号已注销,https://music.163.com/#/user/home?id=1418275670
复古情歌集°夏日舞步,326万,https://music.163.com/#/playlist?id=741528492,玛丽锁链不同意,https://music.163.com/#/user/home?id=68140853
Jᴀᴢᴢ｜好听的爵士人声精选,305万,https://music.163.com/#/playlist?id=111007328,Nokop,https://music.163.com/#/user/home?id=18917314
100blues大师-布鲁斯是他们的生命,303万,https://music.163.com/#/playlist?id=102463641,周公好兄弟,https://music.163.com/#/user/home?id=9129108
送给你一百首优质的日系R&B,300万,https://music.163.com/#/playlist?id=121464080,日代千鹤,https://music.163.com/#/user/home?id=64004173
爵士对唱♪酥到骨子里,290万,https://music.163.com/#/playlist?id=168302421,大小姐不高兴,https://music.163.com/#/user/home?id=73591747
当【原唱】遇见【翻唱】，惊艳到爆！❤,279万,https://music.163.com/#/playlist?id=400299453,帐号已注销,https://music.163.com/#/user/home?id=83674407
Adele（阿黛尔） 灵魂歌手,278万,https://music.163.com/#/playlist?id=5803616,随风入梦,https://music.163.com/#/user/home?id=1702713
「法国香颂」浪漫里的风情万种,270万,https://music.163.com/#/playlist?id=363570439,如花一般绽放丶,https://music.163.com/#/user/home?id=50430012
黑胶//百老汇雨夜之舞,268万,https://music.163.com/#/playlist?id=825264113,七香,https://music.163.com/#/user/home?id=64272440
「爵士女伶」咖啡馆的微醺慵懒,264万,https://music.163.com/#/playlist?id=367632186,如花一般绽放丶,https://music.163.com/#/user/home?id=50430012
虎牙第一迪厅文森特~,249万,https://music.163.com/#/playlist?id=422241313,阿俊ieve,https://music.163.com/#/user/home?id=304252417
经典到让人无法自拔的R&B,228万,https://music.163.com/#/playlist?id=106654885,綪坚持,https://music.163.com/#/user/home?id=56030332
带上耳机闭上眼 声音调到最大,224万,https://music.163.com/#/playlist?id=96289281,诗酒趁年华Jasen,https://music.163.com/#/user/home?id=50409936
复古爵士蓝调（SQ无损音质系列2）,217万,https://music.163.com/#/playlist?id=98271194,书融,https://music.163.com/#/user/home?id=401133
浪漫因子· 和爱人在一起时候的氛围曲,212万,https://music.163.com/#/playlist?id=2387040187,shakemyhead,https://music.163.com/#/user/home?id=39149659
「浓情布鲁斯」老男人的沧桑性感 ₃,206万,https://music.163.com/#/playlist?id=104506733,如花一般绽放丶,https://music.163.com/#/user/home?id=50430012
〔★〕≈ 罗马尼亚 ❤️Club ≈〔★〕,205万,https://music.163.com/#/playlist?id=29198272,Fenomeno_,https://music.163.com/#/user/home?id=30687788
你见过比大海还要深邃的蓝色吗,202万,https://music.163.com/#/playlist?id=628810985,Jessica丶Deng,https://music.163.com/#/user/home?id=296716367
浪漫是天赋•爵士Ⅰ,194万,https://music.163.com/#/playlist?id=55645540,空白皆可,https://music.163.com/#/user/home?id=3779216
经典轻飘飘金曲至尊精选耐听发烧试音王,194万,https://music.163.com/#/playlist?id=326608578,海口aj定仔,https://music.163.com/#/user/home?id=137012476
【辐射4】钻石城电台完全曲目,162万,https://music.163.com/#/playlist?id=156157272,来我厨房,https://music.163.com/#/user/home?id=16398901
爵士 | 香薰红酒和泡泡澡,152万,https://music.163.com/#/playlist?id=2878216940,-猫头鹰不是猫-,https://music.163.com/#/user/home?id=36648564
『百首日系良曲』旋律似毒 入耳成瘾,152万,https://music.163.com/#/playlist?id=138839303,铲子C,https://music.163.com/#/user/home?id=71066826
布鲁斯吉他·弹动你的神经，触动你的情怀。,150万,https://music.163.com/#/playlist?id=2000036558,帐号已注销,https://music.163.com/#/user/home?id=423252549
R&B节奏布鲁斯||SOUL,149万,https://music.163.com/#/playlist?id=498581255,LEEHIP-CN,https://music.163.com/#/user/home?id=310307429
浓情蓝调/沉醉于媚惑感中,145万,https://music.163.com/#/playlist?id=2393802027,DIABLO19,https://music.163.com/#/user/home?id=126187007
