歌单名称,播放量,歌单链接,用户名称,用户链接
别急，甜甜的恋爱马上就轮到你了,7388万,https://music.163.com/#/playlist?id=2430524968,名侦探-柯北,https://music.163.com/#/user/home?id=44530116
国产HipHop从地下到地上,3974万,https://music.163.com/#/playlist?id=638864394,设计院OG,https://music.163.com/#/user/home?id=362526327
[RAP]中文励志说唱-为梦想努力奋斗,2898万,https://music.163.com/#/playlist?id=2116945770,Evan呀,https://music.163.com/#/user/home?id=268589209
Hip-hop | 少女心狙击手,2877万,https://music.163.com/#/playlist?id=2340739428,迟到情书,https://music.163.com/#/user/home?id=330932370
国语说唱也很抒情，副歌也美,2861万,https://music.163.com/#/playlist?id=934870683,--Jax,https://music.163.com/#/user/home?id=117304088
「说唱hiphop 」无限循环,2385万,https://music.163.com/#/playlist?id=3029459640,嘻哈收音机,https://music.163.com/#/user/home?id=316714217
旋律说唱丨循环系列,2352万,https://music.163.com/#/playlist?id=2423939332,Selected音乐,https://music.163.com/#/user/home?id=1520920706
旋律HipHop中文说唱,2342万,https://music.163.com/#/playlist?id=3119609433,悲伤de眼泪,https://music.163.com/#/user/home?id=421415810
『能炸能晃』华语说唱天花板2.0,2330万,https://music.163.com/#/playlist?id=6699931397,RyanZ阿郑,https://music.163.com/#/user/home?id=253588685
Rap Star「高质量说唱精选」,2301万,https://music.163.com/#/playlist?id=3035765774,力OG,https://music.163.com/#/user/home?id=2015707958
国产hiphop百听不厌,2256万,https://music.163.com/#/playlist?id=3119595459,Double_Mini,https://music.163.com/#/user/home?id=421421612
Emo说唱 | 伤口在烟雾中凝结,2216万,https://music.163.com/#/playlist?id=7220849432,紫薯米昔,https://music.163.com/#/user/home?id=1820603615
中文说唱丨宝藏系列,2113万,https://music.163.com/#/playlist?id=3119596483,Top嘉熙,https://music.163.com/#/user/home?id=421419695
那些甜甜的Rap情歌♡,2034万,https://music.163.com/#/playlist?id=2091927797,如果车窗会讲话,https://music.163.com/#/user/home?id=502024991
最强中文说唱,1924万,https://music.163.com/#/playlist?id=777915656,SFGXZT,https://music.163.com/#/user/home?id=105218833
说唱精选‖emo旋律励志炸都喜欢不纠结风格,1883万,https://music.163.com/#/playlist?id=3036328969,孟琦爱吃辣,https://music.163.com/#/user/home?id=581839272
聆听优质的中文说唱Flow Vol.1,1868万,https://music.163.com/#/playlist?id=867916143,泰迪它三岁,https://music.163.com/#/user/home?id=105846608
Jony J 有思想的嘻哈诗人,1866万,https://music.163.com/#/playlist?id=817685692,ice-angel,https://music.163.com/#/user/home?id=281687766
♥︎Rapper♥︎也太温柔了吧,1779万,https://music.163.com/#/playlist?id=5074544736,一片孤叶行舟,https://music.163.com/#/user/home?id=1920909079
油 管 `好听到爆的英文,1770万,https://music.163.com/#/playlist?id=731340834,神不登登-,https://music.163.com/#/user/home?id=388739879
好听到爆炸的中文说唱,1758万,https://music.163.com/#/playlist?id=7091344425,月牙超级甜y_y,https://music.163.com/#/user/home?id=5165554566
前方注意！精选高甜【rap】请签收,1754万,https://music.163.com/#/playlist?id=2119378458,Ji_s0o,https://music.163.com/#/user/home?id=1383536319
伤感说唱rap | 为你而作的诗,1737万,https://music.163.com/#/playlist?id=4953665085,妮妮是个小孩子,https://music.163.com/#/user/home?id=2142297440
国产HIPHOP 这一个歌单就够了,1678万,https://music.163.com/#/playlist?id=2918766270,一泽万EZ,https://music.163.com/#/user/home?id=420105293
『中文说唱』如风拂过般 好听到窒息,1668万,https://music.163.com/#/playlist?id=7612886755,AAA专业肯德基代吃小廖,https://music.163.com/#/user/home?id=2143240154
精选伤感说唱 | 旋律rap,1649万,https://music.163.com/#/playlist?id=2195320068,泡沫_sn428,https://music.163.com/#/user/home?id=346783053
Rapper说情话｜突然想闻一闻恋爱的酸臭味,1604万,https://music.163.com/#/playlist?id=867730778,原创君,https://music.163.com/#/user/home?id=201586
高能说唱|初听不知曲中意 再听已是曲中人,1572万,https://music.163.com/#/playlist?id=7123230501,钟情网易云bbl,https://music.163.com/#/user/home?id=6342145970
rapper说情话 今晚也想跟你,1525万,https://music.163.com/#/playlist?id=814839177,决劣,https://music.163.com/#/user/home?id=345006167
伤感说唱rap | 假 如 生 活 欺 骗 了 你,1502万,https://music.163.com/#/playlist?id=3041430743,泡沫_sn428,https://music.163.com/#/user/home?id=346783053
