歌单名称,播放量,歌单链接,用户名称,用户链接
睡眠伴侣 | 选首最合适你的 然后单曲循环,13578万,https://music.163.com/#/playlist?id=2829733864,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
学习歌单‖极静轻音乐01,10493万,https://music.163.com/#/playlist?id=2916766519,满地星星碎,https://music.163.com/#/user/home?id=549000111
深度睡眠 |重度失眠者专用歌单,7282万,https://music.163.com/#/playlist?id=331841455,音旧-,https://music.163.com/#/user/home?id=103159696
世界上更好听的钢琴曲,5721万,https://music.163.com/#/playlist?id=986184445,封小寒,https://music.163.com/#/user/home?id=538376867
网易云有哪些备受好评的国人纯音乐？,4675万,https://music.163.com/#/playlist?id=651630118,A8级的AniFace,https://music.163.com/#/user/home?id=341496792
读书，然后忘记背景音乐（4-23）,4388万,https://music.163.com/#/playlist?id=66641056,秋28,https://music.163.com/#/user/home?id=13881677
睡眠轻音乐(自然篇),3897万,https://music.163.com/#/playlist?id=2254350276,迷失可可西里,https://music.163.com/#/user/home?id=110211830
重度失眠歌单【白噪音｜纯音,3764万,https://music.163.com/#/playlist?id=884528449,x_Petrichor,https://music.163.com/#/user/home?id=364917546
纯音乐 | 前奏秒杀 一见倾心的欢喜,3215万,https://music.163.com/#/playlist?id=2351829270,云音乐VIP,https://music.163.com/#/user/home?id=1452176465
轻音乐/纯音乐 解压 放松 看书 睡前 催眠 ,3162万,https://music.163.com/#/playlist?id=2106933454,柠暖鸭,https://music.163.com/#/user/home?id=397929210
纯音 | 缓解压力.安眠.去享受孤独,2741万,https://music.163.com/#/playlist?id=2247986522,夕日向暖,https://music.163.com/#/user/home?id=124272747
刷题 看书 学习 工作 冥想,2701万,https://music.163.com/#/playlist?id=2789240978,要自律的中年少女,https://music.163.com/#/user/home?id=250702427
「助眠轻音乐」无杂音舒适度°,2579万,https://music.163.com/#/playlist?id=2196167924,不止礼物和花浪漫,https://music.163.com/#/user/home?id=250232630
高效率专注记忆歌单。。。写作业时听的歌。,2480万,https://music.163.com/#/playlist?id=475934383,大目老湿云,https://music.163.com/#/user/home?id=247131618
[纯音乐]错落一身宁静，深海浮沉摘星,2409万,https://music.163.com/#/playlist?id=2195404116,没入深海的天空城,https://music.163.com/#/user/home?id=500679159
背书 复习 (神奇的α波，强化记忆力⚡),2377万,https://music.163.com/#/playlist?id=374233238,Tuzki灬兔斯基,https://music.163.com/#/user/home?id=135351308
『纯音』世界本来很静，喧闹的是人心,2014万,https://music.163.com/#/playlist?id=606061417,右心丶,https://music.163.com/#/user/home?id=267679591
熟悉又好听的钢琴曲,2009万,https://music.163.com/#/playlist?id=2696678180,霸蛮怪,https://music.163.com/#/user/home?id=619509699
【学习专属】Stay Focused·高效率专注学习,1955万,https://music.163.com/#/playlist?id=2522019898,晚夏Yabi,https://music.163.com/#/user/home?id=321929079
【适合看书或睡觉前或失眠】收藏纯音乐,1775万,https://music.163.com/#/playlist?id=2457752542,Redamancy-procreate,https://music.163.com/#/user/home?id=325834063
阿尔法胎教音乐,1711万,https://music.163.com/#/playlist?id=3002243186,兰绾Qyuki,https://music.163.com/#/user/home?id=42693843
睡前治愈：满天星河坠入你的梦里,1616万,https://music.163.com/#/playlist?id=7048601211,西柚YiFi,https://music.163.com/#/user/home?id=2006752418
【纯音&吉他】洋溢着青春气息的轻快旋律,1589万,https://music.163.com/#/playlist?id=422793270,樱井莜木,https://music.163.com/#/user/home?id=78905899
「纯音乐」解压 看书 刷题 游戏 睡觉,1582万,https://music.163.com/#/playlist?id=2903485039,hikiou,https://music.163.com/#/user/home?id=444976306
静下心来写作业吧,1554万,https://music.163.com/#/playlist?id=6947051817,紫薯米昔,https://music.163.com/#/user/home?id=1820603615
宝贝的八音盒 | 10万宝贝选择的哄睡音乐,1514万,https://music.163.com/#/playlist?id=3005019510,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
宝贝的八音盒 | 10万宝贝选择的哄睡音乐,1514万,https://music.163.com/#/playlist?id=3005019510,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
【睡眠纯音】无鼓声轻音乐，拯救失眠,1401万,https://music.163.com/#/playlist?id=797246888,小k书,https://music.163.com/#/user/home?id=93907077
「轻音乐·安静」舒缓放松，缓解压力,1366万,https://music.163.com/#/playlist?id=2209538297,随身音乐厅,https://music.163.com/#/user/home?id=268678989
学习&作业｜适合学习和看书的轻音乐.,1345万,https://music.163.com/#/playlist?id=748089523,_Co1sini,https://music.163.com/#/user/home?id=249736056
刷题 看书 学习 工作 冥想 ,1329万,https://music.163.com/#/playlist?id=4879799554,音乐收藏者010,https://music.163.com/#/user/home?id=472069997
「纯音乐」静心 学习 思考...,1325万,https://music.163.com/#/playlist?id=2909922139,艾尔艾克斯,https://music.163.com/#/user/home?id=274804550
催眠曲精品睡觉的纯音乐（一）,1309万,https://music.163.com/#/playlist?id=2187268904,校长先生1615,https://music.163.com/#/user/home?id=499264703
舒缓轻音 | 停泊心灵的治愈所,1280万,https://music.163.com/#/playlist?id=6686195786,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
舒缓轻音 | 停泊心灵的治愈所,1280万,https://music.163.com/#/playlist?id=6686195786,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
记忆力强化！潜意识疗法！,1113万,https://music.163.com/#/playlist?id=95738872,御茶居官方音乐,https://music.163.com/#/user/home?id=60275870
『纯音』好听的会员歌曲,1082万,https://music.163.com/#/playlist?id=2079243644,牛奶煮橙子,https://music.163.com/#/user/home?id=104195242
宝贝的摇篮曲 | 纯音乐陪伴宝贝进入甜美梦乡,1070万,https://music.163.com/#/playlist?id=3040433034,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
【国人纯音】3秒入睡，你永远听不完的歌单,1040万,https://music.163.com/#/playlist?id=2376558926,2次元墩墩酱,https://music.163.com/#/user/home?id=355943787
『纯音乐』当雨滴敲响琴键,1012万,https://music.163.com/#/playlist?id=2420545066,HUMAN00,https://music.163.com/#/user/home?id=50255421
阿爾法『音樂治療』潛意識入眠,983万,https://music.163.com/#/playlist?id=77532045,哥哥姓劉,https://music.163.com/#/user/home?id=59836871
单曲循环久听不腻钢琴曲纯音乐,967万,https://music.163.com/#/playlist?id=2902458078,醉亦逝愁_Sta,https://music.163.com/#/user/home?id=332908087
『纯音乐』未来一定很好，即使现在诸多不幸,951万,https://music.163.com/#/playlist?id=2360173606,HUMAN00,https://music.163.com/#/user/home?id=50255421
睡前必听，助眠轻音乐,932万,https://music.163.com/#/playlist?id=2365547004,autism橘,https://music.163.com/#/user/home?id=619139470
『轻音乐』清凉如水 给夏天加点冰,925万,https://music.163.com/#/playlist?id=2665433348,浮春梦雪,https://music.163.com/#/user/home?id=1372873734
左脚清华右脚北大/学习写作业复习专用,906万,https://music.163.com/#/playlist?id=2877097132,十三小神仙_,https://music.163.com/#/user/home?id=454912899
水响蝉鸣｜夏日纯音，让孤独远去,893万,https://music.163.com/#/playlist?id=2745762495,沈奕秋,https://music.163.com/#/user/home?id=1690124115
【纯音乐】睡觉、安静、解压必备,880万,https://music.163.com/#/playlist?id=2797862333,黑門音乐分享,https://music.163.com/#/user/home?id=268150876
纯音 | 遗憾千万种，各人皆不同,866万,https://music.163.com/#/playlist?id=713853645,千万般遗憾,https://music.163.com/#/user/home?id=320828508
纯音•世界名钢琴曲,831万,https://music.163.com/#/playlist?id=144818129,七香,https://music.163.com/#/user/home?id=64272440
「纯音」聆听深秋的寂静,824万,https://music.163.com/#/playlist?id=7058356187,Zeroizey,https://music.163.com/#/user/home?id=1909706318
『欧美』书店书城常用流行钢琴曲推荐②,807万,https://music.163.com/#/playlist?id=2309425946,海蓝星辰丶,https://music.163.com/#/user/home?id=107005194
『轻音乐』适合工作学习听的歌,793万,https://music.163.com/#/playlist?id=2889231665,哈儿憨胖,https://music.163.com/#/user/home?id=1912007660
♬印象轻音乐♬听见水彩铺满耳朵的颜色,778万,https://music.163.com/#/playlist?id=7586803131,faziel,https://music.163.com/#/user/home?id=6479545293
纯音乐图书馆•简单干净钢琴旋律,744万,https://music.163.com/#/playlist?id=2889745179,元气大屋,https://music.163.com/#/user/home?id=81365668
专注力百分百学习歌单（纯音乐版）,733万,https://music.163.com/#/playlist?id=2397666912,叶锦添I,https://music.163.com/#/user/home?id=275603918
【纯音&治愈】愿你被这个世界温柔相待,723万,https://music.163.com/#/playlist?id=406167659,樱井莜木,https://music.163.com/#/user/home?id=78905899
氛围钢琴｜纯净极简,714万,https://music.163.com/#/playlist?id=168533607,仝兀谙亓,https://music.163.com/#/user/home?id=583471
极度治愈的纯音乐,705万,https://music.163.com/#/playlist?id=6846019260,其实没有谁离不开谁,https://music.163.com/#/user/home?id=3306050833
夏季纯音|竹深树密虫鸣处，时有微凉不是风,698万,https://music.163.com/#/playlist?id=2778782119,启蛰Azitate,https://music.163.com/#/user/home?id=368711848
【伤感纯音乐】催泪，勿轻试,684万,https://music.163.com/#/playlist?id=2103424623,伌秋,https://music.163.com/#/user/home?id=391950654
静心纯音丨孤独从来都很美,682万,https://music.163.com/#/playlist?id=813427878,静月丶,https://music.163.com/#/user/home?id=101278060
「纯音乐」戴上耳机，仿佛拥有了整片星空,678万,https://music.163.com/#/playlist?id=2226885009,HUMAN00,https://music.163.com/#/user/home?id=50255421
国人纯音｜天籁之音 余音不绝,668万,https://music.163.com/#/playlist?id=699210111,不知道取啥名的风,https://music.163.com/#/user/home?id=252749938
高效率学习歌单（轻音乐）,665万,https://music.163.com/#/playlist?id=2024556741,何盈姝,https://music.163.com/#/user/home?id=550904092
轻柔的吉他纯音乐,653万,https://music.163.com/#/playlist?id=149818364,仝兀谙亓,https://music.163.com/#/user/home?id=583471
【钢琴治愈】Good night baby,638万,https://music.163.com/#/playlist?id=2880080596,m心m肺m烦恼,https://music.163.com/#/user/home?id=1459441236
「治愈钢琴」想把这世界的美好都留给你,633万,https://music.163.com/#/playlist?id=2242683565,浮春梦雪,https://music.163.com/#/user/home?id=1372873734
静谧于心，慎独于学,631万,https://music.163.com/#/playlist?id=2036651028,零川枫,https://music.163.com/#/user/home?id=312959650
只有你和時光知道我沉默的緣由,621万,https://music.163.com/#/playlist?id=996728953,与你赴海,https://music.163.com/#/user/home?id=269162413
『钢琴党福利』⚡慎入！会上瘾❤,619万,https://music.163.com/#/playlist?id=2639130658,云村百货,https://music.163.com/#/user/home?id=315527322
纯音乐-安静睡眠治愈收集,616万,https://music.163.com/#/playlist?id=2491978591,KiKi12121212,https://music.163.com/#/user/home?id=569657747
轻音乐｜安静温柔｜缓解压力｜舒适睡眠,604万,https://music.163.com/#/playlist?id=3024049156,叶嘉俊7,https://music.163.com/#/user/home?id=116297023
最动听的钢琴曲,582万,https://music.163.com/#/playlist?id=688908,全球音乐精选,https://music.163.com/#/user/home?id=479074
轻柔好听的催眠曲集|治疗轻度失眠患者,559万,https://music.163.com/#/playlist?id=942852326,当你唯一的梦中人,https://music.163.com/#/user/home?id=475682981
『纯音』我知道你会来，所以我等。,557万,https://music.163.com/#/playlist?id=557581111,右心丶,https://music.163.com/#/user/home?id=267679591
纯音/刷题/助眠/放松/安静/治愈,552万,https://music.163.com/#/playlist?id=2939838030,越及境,https://music.163.com/#/user/home?id=565986892
⛱[纯音乐]安静又不失节奏,547万,https://music.163.com/#/playlist?id=704712255,KelvinDDDD,https://music.163.com/#/user/home?id=269002400
大宝宝催眠曲轻音乐,531万,https://music.163.com/#/playlist?id=798507143,rocktattoo,https://music.163.com/#/user/home?id=130379035
温暖∣纯音∣给原本不那么美好的生活加点甜,530万,https://music.163.com/#/playlist?id=3064706345,雨曦儿nine,https://music.163.com/#/user/home?id=510316329
做作业后&归梦 纯音乐 拒绝浮躁 ,529万,https://music.163.com/#/playlist?id=461088020,扶苏KUSU,https://music.163.com/#/user/home?id=127820868
睡觉专用 Ⅸ 『让孤独的纯音乐陪你入睡』,528万,https://music.163.com/#/playlist?id=977177183,西柚_,https://music.163.com/#/user/home?id=31771830
[轻音乐]学习向☆此后也要一直努力呐.,516万,https://music.163.com/#/playlist?id=691759354,白九份,https://music.163.com/#/user/home?id=77340406
「纯音」嘘，我的悲伤才刚刚睡着,507万,https://music.163.com/#/playlist?id=2319189362,米契比,https://music.163.com/#/user/home?id=98598280
希腊字母 （ α·Pav）,495万,https://music.163.com/#/playlist?id=2218728957,夔虺魸,https://music.163.com/#/user/home?id=471422585
【纯音乐】与星空做伴，与寂静为伍。,482万,https://music.163.com/#/playlist?id=2899343112,ever就是ever,https://music.163.com/#/user/home?id=512742143
超级温柔的纯音乐 写作业 睡觉 画画,478万,https://music.163.com/#/playlist?id=5316433881,少女的喜欢_,https://music.163.com/#/user/home?id=3277385997
学习时间：一份来自轻音的作业邀请,474万,https://music.163.com/#/playlist?id=6947067437,紫薯米昔,https://music.163.com/#/user/home?id=1820603615
那些百听不厌经典的轻音乐钢琴曲,469万,https://music.163.com/#/playlist?id=2054205543,榴莲哥,https://music.163.com/#/user/home?id=309779107
