歌单名称,播放量,歌单链接,用户名称,用户链接
运动随身听 | 必听活力音乐燃料 今天运动了吗,8829万,https://music.163.com/#/playlist?id=2829779628,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
【健身运动】必备单曲,8378万,https://music.163.com/#/playlist?id=115900031,零下Young,https://music.163.com/#/user/home?id=54278024
『震撼心灵的史诗音乐』,6371万,https://music.163.com/#/playlist?id=152261,125dB,https://music.163.com/#/user/home?id=122965
节奏控 | 那些超带感的英文歌,5765万,https://music.163.com/#/playlist?id=2345048322,大树巴扎黑,https://music.163.com/#/user/home?id=350999222
J.Fla丨音乐十载，独宠J.Fla，英文惊艳翻唱,4837万,https://music.163.com/#/playlist?id=879417602,红盖头和荣喜糖,https://music.163.com/#/user/home?id=247198483
你绝对熟悉的蹦迪合集 摇摆至上,4627万,https://music.163.com/#/playlist?id=2811526984,糯米奶糖糖,https://music.163.com/#/user/home?id=605214580
健身力量增肌有氧减脂无氧HIIT必备 | 持续,4627万,https://music.163.com/#/playlist?id=78529193,喵星人搬来的救兵,https://music.163.com/#/user/home?id=72881146
「总结」一百大电音之王,4042万,https://music.163.com/#/playlist?id=586773281,Quanjfic,https://music.163.com/#/user/home?id=275066773
这节奏，听着就想跳舞！,3692万,https://music.163.com/#/playlist?id=750115024,吴雪龙,https://music.163.com/#/user/home?id=39468344
【节奏控】超带感的英文歌③（惊艳篇）,3597万,https://music.163.com/#/playlist?id=404263661,原点FM,https://music.163.com/#/user/home?id=247176530
【暗黑向】欧美踩点混剪BGM,3428万,https://music.163.com/#/playlist?id=2683746999,想养金毛的Apple,https://music.163.com/#/user/home?id=275011203
【第一精品】最惊艳男女声电音，一秒倾心,3397万,https://music.163.com/#/playlist?id=140322435,宿州关仁杰,https://music.163.com/#/user/home?id=113956434
时尚运动•必备节奏,3278万,https://music.163.com/#/playlist?id=101354498,yin雪燕,https://music.163.com/#/user/home?id=58152516
♬跑步音乐-脚步跟着节奏动起来,3253万,https://music.163.com/#/playlist?id=114502510,超Fans炒饭,https://music.163.com/#/user/home?id=16560532
【运动健身】燃到爆的精神氮泵,3160万,https://music.163.com/#/playlist?id=64945293,皮皮丞丞,https://music.163.com/#/user/home?id=53561132
运动打球必备/节奏控,3044万,https://music.163.com/#/playlist?id=2866624523,Sunhope_,https://music.163.com/#/user/home?id=1327292242
高能燃脂•假期健身跑步必备BGM,2675万,https://music.163.com/#/playlist?id=163150274,yin雪燕,https://music.163.com/#/user/home?id=58152516
跑步时听了像打鸡血,2565万,https://music.163.com/#/playlist?id=22242195,GaryKuang,https://music.163.com/#/user/home?id=12240854
BGM-史诗级大气磅礴震撼心灵,2398万,https://music.163.com/#/playlist?id=48466874,先之文,https://music.163.com/#/user/home?id=31572982
能量节奏、健身专用,2142万,https://music.163.com/#/playlist?id=55113366,云托月___,https://music.163.com/#/user/home?id=2427212
网易云评论最多英文TOP100,1951万,https://music.163.com/#/playlist?id=3086599778,蚕豆音乐娘,https://music.163.com/#/user/home?id=275326625
俄风|小曲|（小众独特）,1898万,https://music.163.com/#/playlist?id=992750776,Mogul_7,https://music.163.com/#/user/home?id=417928959
欧美系百听不厌的神曲「节奏控精选」,1889万,https://music.163.com/#/playlist?id=60378509,lightsV,https://music.163.com/#/user/home?id=53959383
【史诗】私藏100首神级BGM！！『精心整理』,1875万,https://music.163.com/#/playlist?id=613745958,明月戏竹影,https://music.163.com/#/user/home?id=365617997
『练球必备』超燃英文BGM,1789万,https://music.163.com/#/playlist?id=2194601729,金州拉文fmvp,https://music.163.com/#/user/home?id=1435608896
健身歌单【精神氮泵】,1783万,https://music.163.com/#/playlist?id=2379091589,Connr,https://music.163.com/#/user/home?id=1547793544
在无聊的有氧运动中寻找你的节奏,1654万,https://music.163.com/#/playlist?id=74068767,云上云裳nina,https://music.163.com/#/user/home?id=17304404
【超燃】游戏必备歌单,1526万,https://music.163.com/#/playlist?id=156646079,CLARE-MUSIC,https://music.163.com/#/user/home?id=91082120
韩国女团神曲集,1519万,https://music.163.com/#/playlist?id=2110198442,白豫彬的小甜歌,https://music.163.com/#/user/home?id=1377394984
『纯电音』强力动感节奏丨释放身心畅快,1443万,https://music.163.com/#/playlist?id=530205904,-电音迷弟,https://music.163.com/#/user/home?id=320240366
【节奏】跑步、抖腿、拯救世界必备！,1429万,https://music.163.com/#/playlist?id=145200095,灭灭果冻,https://music.163.com/#/user/home?id=111080330
那些听了让人心情好的歌～,1427万,https://music.163.com/#/playlist?id=2581459097,快乐小狗嗷呜呜,https://music.163.com/#/user/home?id=305411123
健身房运动音乐,1425万,https://music.163.com/#/playlist?id=2460391672,健身音乐达人,https://music.163.com/#/user/home?id=286469700
