歌单名称,播放量,歌单链接,用户名称,用户链接
Space Club/蹦迪必备,9528万,https://music.163.com/#/playlist?id=946216567,宋城阿边,https://music.163.com/#/user/home?id=62065526
『夜店炸音、耳膜噩梦』,8273万,https://music.163.com/#/playlist?id=544570007,炫迈输出,https://music.163.com/#/user/home?id=284324968
蹦迪一时爽 一直蹦迪一直爽,5808万,https://music.163.com/#/playlist?id=2071797247,Telwq,https://music.163.com/#/user/home?id=411271896
比酒驾，醉驾更危险的是电驾！,4652万,https://music.163.com/#/playlist?id=93444370,秋名山电驾老司机,https://music.163.com/#/user/home?id=63241633
车载DJ 老歌加DJ,4246万,https://music.163.com/#/playlist?id=4879493801,野少呀,https://music.163.com/#/user/home?id=3230465757
奥斯卡酒吧蹦迪专用曲,4231万,https://music.163.com/#/playlist?id=549325629,诸哥v,https://music.163.com/#/user/home?id=340526497
【运动健身】燃到爆的精神氮泵,3160万,https://music.163.com/#/playlist?id=64945293,皮皮丞丞,https://music.163.com/#/user/home?id=53561132
「DJ中文歌曲」最熟悉咚鼓版dj,3014万,https://music.163.com/#/playlist?id=2414116299,EA7重口味,https://music.163.com/#/user/home?id=626791273
微醺小酒馆 | 有酒有音乐 不打烊酒馆 今晚营业中,2987万,https://music.163.com/#/playlist?id=2987193702,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
一心只蹦圣贤迪,2980万,https://music.163.com/#/playlist?id=2298534554,可可阔落,https://music.163.com/#/user/home?id=603840570
蹦迪.打碟.DJ.嗨翻全场种子选手,2701万,https://music.163.com/#/playlist?id=2813240466,Narutoi_,https://music.163.com/#/user/home?id=577545178
小酒馆的微醺需要腔调和情怀,2539万,https://music.163.com/#/playlist?id=49242031,齊宣王啃牛角,https://music.163.com/#/user/home?id=2928531
space酒吧蹦迪专用曲,2225万,https://music.163.com/#/playlist?id=4938240728,小豪不吃肉,https://music.163.com/#/user/home?id=1851639982
夜店摇头必备嗨曲,1948万,https://music.163.com/#/playlist?id=370310520,这条平凡的狗_QwQ,https://music.163.com/#/user/home?id=109390499
车载嗨曲-Dj,1900万,https://music.163.com/#/playlist?id=2032000670,嘿丶来听听歌吧,https://music.163.com/#/user/home?id=1323430315
【车载 自嗨 抖腿】能嗨翻你！,1755万,https://music.163.com/#/playlist?id=2021082837,连你也要当rap,https://music.163.com/#/user/home?id=542742599
一起蹦迪吗？扭断脖子那种！,1714万,https://music.163.com/#/playlist?id=2650889272,隔壁老杨OvO,https://music.163.com/#/user/home?id=1420942868
space酒吧蹦迪专用曲,1705万,https://music.163.com/#/playlist?id=487762812,诸哥v,https://music.163.com/#/user/home?id=340526497
世界顶级沙发酒吧音乐。,1684万,https://music.163.com/#/playlist?id=11067348,雰川水也,https://music.163.com/#/user/home?id=739256
绝对给你们灵魂都der'炸蹦起来！,1659万,https://music.163.com/#/playlist?id=85956779,Douzi_,https://music.163.com/#/user/home?id=77725427
撞击心脏的顶级重磅电音（心脏病者勿听）,1594万,https://music.163.com/#/playlist?id=4780891,色域无界,https://music.163.com/#/user/home?id=735748
电驾|车载|抖腿|必备！（段友回家）¿,1575万,https://music.163.com/#/playlist?id=587903031,李半知,https://music.163.com/#/user/home?id=290932780
全球最动听的劲爆DJ舞曲,1461万,https://music.163.com/#/playlist?id=2419982896,忧神音乐,https://music.163.com/#/user/home?id=624809612
车载咚鼓DJ夜店蹦迪电音慢摇,1375万,https://music.163.com/#/playlist?id=2635689048,J1-ANG,https://music.163.com/#/user/home?id=389449604
蓝调爵士，浓情老酒馆。,1355万,https://music.163.com/#/playlist?id=361919728,-Kazigga-,https://music.163.com/#/user/home?id=55044394
用节奏嗨翻全场！,1345万,https://music.163.com/#/playlist?id=404045668,吴雪龙,https://music.163.com/#/user/home?id=39468344
车载音乐抖腿必备,1262万,https://music.163.com/#/playlist?id=2827489050,寻找周杰伦m,https://music.163.com/#/user/home?id=287245714
我的车载音乐中文dj。,1203万,https://music.163.com/#/playlist?id=2492467414,一只魚l_3,https://music.163.com/#/user/home?id=621118881
世界顶级沙发酒吧音乐,1168万,https://music.163.com/#/playlist?id=56579428,变态克星Sam,https://music.163.com/#/user/home?id=56335733
『硬曲 硬不硬听了再说（蹦迪专用❗）』,1156万,https://music.163.com/#/playlist?id=3102961863,见个青,https://music.163.com/#/user/home?id=2012771729
奥斯卡酒吧蹦迪专用曲,1155万,https://music.163.com/#/playlist?id=2460477771,丶LDD,https://music.163.com/#/user/home?id=442241565
中文DJ(英文)(电摇版)(车载DJ)开车驾车必听,1096万,https://music.163.com/#/playlist?id=3188819446,小奶昔NO1,https://music.163.com/#/user/home?id=2062248936
你绝对熟悉的电音|自嗨蹦迪,1087万,https://music.163.com/#/playlist?id=3017959519,T-Tentacion,https://music.163.com/#/user/home?id=336765826
顶级潮店必备背景音乐,1069万,https://music.163.com/#/playlist?id=67261669,小飞哥哥哥,https://music.163.com/#/user/home?id=52933973
气场全开，黑人音乐 就是这么拽,1044万,https://music.163.com/#/playlist?id=508920727,GossipNeverEnds,https://music.163.com/#/user/home?id=36078352
主持dj劲爆dj,1024万,https://music.163.com/#/playlist?id=4883634372,故事简单满是遗憾lll,https://music.163.com/#/user/home?id=1403550251
微醺|chill氛围高级感约会宝藏歌单,1020万,https://music.163.com/#/playlist?id=3230848370,原来是小江啊,https://music.163.com/#/user/home?id=437456878
车载低音炮_《你搜不到的神曲》,1019万,https://music.163.com/#/playlist?id=3061826802,Meowo_J,https://music.163.com/#/user/home?id=616406248
百大DJ们炸场专用电音【精选】,1014万,https://music.163.com/#/playlist?id=454264144,EDM_Life,https://music.163.com/#/user/home?id=62008324
大师们牛逼轰轰的Swing Jazz,998万,https://music.163.com/#/playlist?id=25201357,雰川水也,https://music.163.com/#/user/home?id=739256
拽姐辣妹必备性感做个酷girl♥,975万,https://music.163.com/#/playlist?id=537367797,kkkbaby_,https://music.163.com/#/user/home?id=357091992
『高考过后怎么嗨』答案就在这里,918万,https://music.163.com/#/playlist?id=2260474995,云音乐曲库,https://music.163.com/#/user/home?id=2608402
舞曲 | 1M舞室那些听了耳朵要怀孕的配乐,905万,https://music.163.com/#/playlist?id=132715122,Mmangw,https://music.163.com/#/user/home?id=65591555
黑胶酒馆|耳畔的浪漫眼中的你,885万,https://music.163.com/#/playlist?id=2125737991,卧室坐家,https://music.163.com/#/user/home?id=122356259
百首DJ名曲 | 来场有质感的迪吧,842万,https://music.163.com/#/playlist?id=6842404402,人间浪漫收藏家,https://music.163.com/#/user/home?id=1333584895
武汉各大酒吧蹦迪必备「电音」,819万,https://music.163.com/#/playlist?id=2274811912,小陈本陈啊,https://music.163.com/#/user/home?id=323090969
嘿喂够！车窗摇下来！,804万,https://music.163.com/#/playlist?id=2502937206,Awei-love,https://music.163.com/#/user/home?id=1399109918
俏皮与性感极致摩擦 碰撞完美化学反应,803万,https://music.163.com/#/playlist?id=4940149731,舒挽睡不醒,https://music.163.com/#/user/home?id=1605616268
请准备重低音设备！,800万,https://music.163.com/#/playlist?id=2843954054,黑馬_MUZ,https://music.163.com/#/user/home?id=1454444814
蹦迪/电音派对,798万,https://music.163.com/#/playlist?id=2294431592,思念至极,https://music.163.com/#/user/home?id=542903169
全国知名酒吧 DJ合集 ,791万,https://music.163.com/#/playlist?id=3131271932,小白船_n,https://music.163.com/#/user/home?id=2023583540
五楼 酒吧老板的凌晨Funk（放克）,774万,https://music.163.com/#/playlist?id=947822437,KeyJame5,https://music.163.com/#/user/home?id=123155811
我只是炸曲的搬运工！【精】,769万,https://music.163.com/#/playlist?id=437326740,世界级甩头带抖腿大赛十届冠军,https://music.163.com/#/user/home?id=136448316
 ⚡️ 电驾修仙俱乐部4.0,766万,https://music.163.com/#/playlist?id=2543609929,喪甜老爹,https://music.163.com/#/user/home?id=269578246
真正的包厢接线嗨曲，EDM嗨爆你的大脑,716万,https://music.163.com/#/playlist?id=503638421,DJSuccess,https://music.163.com/#/user/home?id=258762085
dj-toxic顶级夜场嗨曲（车载音乐）更新中,709万,https://music.163.com/#/playlist?id=2308614173,醉亦逝愁_Sta,https://music.163.com/#/user/home?id=332908087
【夜店】京城工体五道口蹦迪专用,709万,https://music.163.com/#/playlist?id=433746998,一一_HAAd,https://music.163.com/#/user/home?id=119486648
【节奏控】一秒入魂，美妙绝伦。,681万,https://music.163.com/#/playlist?id=2034477077,D帝尤,https://music.163.com/#/user/home?id=95979120
2019全球百大DJ排行榜TOP100 Set,661万,https://music.163.com/#/playlist?id=2944308820,Race-D,https://music.163.com/#/user/home?id=513966323
3D/4D环绕（电音，舞曲，嗨曲，EDM）,641万,https://music.163.com/#/playlist?id=2131112391,阿威学弟-,https://music.163.com/#/user/home?id=473315699
蘇州观前✈星德罗 Muse U＆M Box,635万,https://music.163.com/#/playlist?id=727571612,A_春告鳥,https://music.163.com/#/user/home?id=300285572
网易最炸电音聚集单,632万,https://music.163.com/#/playlist?id=82524864,是小武昂,https://music.163.com/#/user/home?id=67493518
 ⚡️ 电驾修仙俱乐部1.0,627万,https://music.163.com/#/playlist?id=568100512,喪甜老爹,https://music.163.com/#/user/home?id=269578246
⚡️ 百威风暴storm电音节上海站现场,611万,https://music.163.com/#/playlist?id=475959800,-GIRLHOODH-,https://music.163.com/#/user/home?id=83393213
♚[顶级车载]--肾上腺素激增2.0,608万,https://music.163.com/#/playlist?id=5014611166,琳湘_QLFs,https://music.163.com/#/user/home?id=1857726225
喝最烈的酒，听最顶级的电音（三）,606万,https://music.163.com/#/playlist?id=542354537,听说你爱吃巧克力,https://music.163.com/#/user/home?id=299064612
『爵士音乐』情醉意迷，微醺慵懒的酒馆,600万,https://music.163.com/#/playlist?id=2738759532,一生向海,https://music.163.com/#/user/home?id=607590588
一心只蹦圣贤迪™,599万,https://music.163.com/#/playlist?id=2532983372,阿阿阿瑜_,https://music.163.com/#/user/home?id=560756701
“清者自清”—卫冕,599万,https://music.163.com/#/playlist?id=5363644086,无关风月424,https://music.163.com/#/user/home?id=1789116043
韩国土嗨 『0731 Bounce』蹦蹦蹦,589万,https://music.163.com/#/playlist?id=132577096,雪梨xxxxx,https://music.163.com/#/user/home?id=75333975
杭州Woo(原OT) Club DJ精选音乐 （日推）,582万,https://music.163.com/#/playlist?id=945832947,蹦迪小侦探,https://music.163.com/#/user/home?id=287058039
