歌单名称,播放量,歌单链接,用户名称,用户链接
蹦迪.打碟.DJ.嗨翻全场种子选手,2701万,https://music.163.com/#/playlist?id=2813240466,Narutoi_,https://music.163.com/#/user/home?id=577545178
灵魂火热|国产摇滚点亮生命史诗,1585万,https://music.163.com/#/playlist?id=5472305020,现在梦醒啦,https://music.163.com/#/user/home?id=1546729767
开车犯困必听99首DJ,1514万,https://music.163.com/#/playlist?id=3085216604,杜柏达达达,https://music.163.com/#/user/home?id=505978886
【柔情金属】硬汉们的似水柔情，无尽悲伤,682万,https://music.163.com/#/playlist?id=475190202,夕阳下的盛宴,https://music.163.com/#/user/home?id=62230165
「硬核卡点」谢尔比家族的专属BGM,638万,https://music.163.com/#/playlist?id=2201905957,Allen-Johnson,https://music.163.com/#/user/home?id=539785359
每个噪到死的摇滚乐队都有一首柔情到哭的歌,539万,https://music.163.com/#/playlist?id=395678641,梦到了所有人的梦,https://music.163.com/#/user/home?id=14216623
硬核风格【军迷必备】 匪帮重低音,473万,https://music.163.com/#/playlist?id=6598101607,NEON_BOW,https://music.163.com/#/user/home?id=1801204256
枪花涅槃绿洲蝎子绿日电司山羊皮ACDC摇滚乐,462万,https://music.163.com/#/playlist?id=694592708,Gentle_M,https://music.163.com/#/user/home?id=282974719
释放｜ 宿舍御用蹦迪歌曲,454万,https://music.163.com/#/playlist?id=976457406,35_Raccoon,https://music.163.com/#/user/home?id=449389686
"耳机党福利:低音炮，3D 4D 5D,环绕脑子",452万,https://music.163.com/#/playlist?id=2197026407,鸭吔,https://music.163.com/#/user/home?id=1419820778
『燃』 盘点那些游戏主播专属BGM,449万,https://music.163.com/#/playlist?id=3201532058,日落于北海,https://music.163.com/#/user/home?id=500736016
王者战歌打野节奏,447万,https://music.163.com/#/playlist?id=502958030,北方李某某,https://music.163.com/#/user/home?id=357213732
自由与信仰 | 音乐是我们的解药,439万,https://music.163.com/#/playlist?id=637718317,如花一般绽放丶,https://music.163.com/#/user/home?id=50430012
高原蹦迪不反应《青海慢摇》,360万,https://music.163.com/#/playlist?id=965188672,恭囍發財卅,https://music.163.com/#/user/home?id=550957901
『摇滚』 我们生于如此伟大的时代,330万,https://music.163.com/#/playlist?id=442355750,哇伊藤小京,https://music.163.com/#/user/home?id=83326201
鬼泣5【Devil May Cry 5】原声大碟,329万,https://music.163.com/#/playlist?id=2703680040,杂技C_,https://music.163.com/#/user/home?id=470351411
XH不管新歌老歌有多嗨，就怕它加DJ,324万,https://music.163.com/#/playlist?id=2998948495,可接北海,https://music.163.com/#/user/home?id=516691510
「硬核卡点」剃刀党的专属BGM,323万,https://music.163.com/#/playlist?id=5165705255,氟西汀_weier,https://music.163.com/#/user/home?id=455868800
永远年轻 永远热泪盈眶,312万,https://music.163.com/#/playlist?id=2835566172,TSUKI-tsuki,https://music.163.com/#/user/home?id=598852621
【精神氮泵，撕裂肌肉】健身专用,311万,https://music.163.com/#/playlist?id=530607294,努力做个衣架子,https://music.163.com/#/user/home?id=134058820
小清新重金属炮，为你打开新世界的大门~,301万,https://music.163.com/#/playlist?id=118629901,目隐子行,https://music.163.com/#/user/home?id=37522052
健身房力量训练必备歌单,295万,https://music.163.com/#/playlist?id=2655204917,邶台新风,https://music.163.com/#/user/home?id=445893838
『DJ中文歌曲』最熟悉的咚鼓版DJ,294万,https://music.163.com/#/playlist?id=5020254895,-死于民谣-,https://music.163.com/#/user/home?id=294950108
【国摇】信仰一直在路上,283万,https://music.163.com/#/playlist?id=127367716,俗话说,https://music.163.com/#/user/home?id=63262952
"曼森精选Top20,音乐的总结,歌曲的灵魂。",281万,https://music.163.com/#/playlist?id=37019382,27DontWannaTalk,https://music.163.com/#/user/home?id=42290591
谭咏麟：白金畅销金曲全记录,277万,https://music.163.com/#/playlist?id=11288678,天涯不再海角依然,https://music.163.com/#/user/home?id=535641
听到嗨起/爱到爽/抖到你神经错乱！,273万,https://music.163.com/#/playlist?id=3126831273,鬼鬼桃了桃了,https://music.163.com/#/user/home?id=1450545395
听最慢的歌 想不远不近的人,262万,https://music.163.com/#/playlist?id=7521016794,L_lary,https://music.163.com/#/user/home?id=4003825146
Æ⁷ Lexus 570 雷克萨斯,252万,https://music.163.com/#/playlist?id=1993530060,MAEN-X,https://music.163.com/#/user/home?id=529956868
Marilyn Manson玛丽莲曼森精选Top45,237万,https://music.163.com/#/playlist?id=810770171,川-集,https://music.163.com/#/user/home?id=100604789
设计师犯困了听这单,225万,https://music.163.com/#/playlist?id=598470417,无非建筑,https://music.163.com/#/user/home?id=359712350
"trap,嘻哈榜，（最洗脑的歌曲）",213万,https://music.163.com/#/playlist?id=2051476669,Boy2099,https://music.163.com/#/user/home?id=511628485
WWE: 各位大牌出场曲目,207万,https://music.163.com/#/playlist?id=13641581,小翰子,https://music.163.com/#/user/home?id=5190793
健身房重力训练,200万,https://music.163.com/#/playlist?id=83801786,失格的木匠,https://music.163.com/#/user/home?id=61689896
PHONK丨机动电子&打铁神曲,190万,https://music.163.com/#/playlist?id=7460504751,NEON_BOW,https://music.163.com/#/user/home?id=1801204256
旋律死亡金属&旋律黑金属,188万,https://music.163.com/#/playlist?id=22080639,pikemaster,https://music.163.com/#/user/home?id=12812931
戴上耳机即刻沦陷 打开音响瞬间爆炸,188万,https://music.163.com/#/playlist?id=106889317,云村村民6037031716462866458902,https://music.163.com/#/user/home?id=60370317
中国摇滚编年史,185万,https://music.163.com/#/playlist?id=759331,动物,https://music.163.com/#/user/home?id=59078
Rammstein 德国战车 -- 工业重金属,183万,https://music.163.com/#/playlist?id=17968521,随风入梦,https://music.163.com/#/user/home?id=1702713
罗尼库尔曼钦点力量训练,183万,https://music.163.com/#/playlist?id=2645320005,报备吃饭,https://music.163.com/#/user/home?id=358731407
巨星Ghulameli Ghupur吾拉木艾力吾普尔歌集,182万,https://music.163.com/#/playlist?id=418681015,Shahzade1A1,https://music.163.com/#/user/home?id=271235087
高低音炮炸耳机专用,181万,https://music.163.com/#/playlist?id=953760890,叶尔呐呐呐,https://music.163.com/#/user/home?id=301637414
