歌单名称,播放量,歌单链接,用户名称,用户链接
世界上很好听的纯音乐（经典不朽）,13503万,https://music.163.com/#/playlist?id=360062344,橘子树风车,https://music.163.com/#/user/home?id=113047483
100首工作看书刷题纯音乐,7797万,https://music.163.com/#/playlist?id=102760137,arbor_eko,https://music.163.com/#/user/home?id=85365685
"〖唯美纯音〗不需要歌词,也可以打动你的心",6058万,https://music.163.com/#/playlist?id=112875926,樱井莜木,https://music.163.com/#/user/home?id=78905899
世界上更好听的钢琴曲,5722万,https://music.163.com/#/playlist?id=986184445,封小寒,https://music.163.com/#/user/home?id=538376867
网易云有哪些备受好评的国人纯音乐？,4675万,https://music.163.com/#/playlist?id=651630118,A8级的AniFace,https://music.163.com/#/user/home?id=341496792
超好听 由歌曲改编成的钢琴曲 纯音乐,3908万,https://music.163.com/#/playlist?id=359997131,蓦飞,https://music.163.com/#/user/home?id=248891763
世界级古典钢琴曲音乐珍藏,3706万,https://music.163.com/#/playlist?id=167900089,夕阳下的盛宴,https://music.163.com/#/user/home?id=62230165
『静心纯音』钢琴的哼唱，让世界安静下来,2287万,https://music.163.com/#/playlist?id=469708961,maaaaaaaaaad,https://music.163.com/#/user/home?id=135010123
【纯音乐 看书 刷题御用】,2100万,https://music.163.com/#/playlist?id=154215472,que_粽子,https://music.163.com/#/user/home?id=2481339
『纯音』世界本来很静，喧闹的是人心,2014万,https://music.163.com/#/playlist?id=606061417,右心丶,https://music.163.com/#/user/home?id=267679591
熟悉又好听的钢琴曲,2009万,https://music.163.com/#/playlist?id=2696678180,霸蛮怪,https://music.163.com/#/user/home?id=619509699
「史诗配乐」用钢琴奏响华丽的悲壮史诗,1961万,https://music.163.com/#/playlist?id=107391599,Llstener,https://music.163.com/#/user/home?id=84488124
睡觉专用 Ⅳ『让那悲伤的纯音乐陪你入睡』,1923万,https://music.163.com/#/playlist?id=104150749,西柚_,https://music.163.com/#/user/home?id=31771830
【适合看书或睡觉前或失眠】收藏纯音乐,1775万,https://music.163.com/#/playlist?id=2457752542,Redamancy-procreate,https://music.163.com/#/user/home?id=325834063
纯音乐｜钢琴与旧书页，会跳舞的黑白键,1703万,https://music.163.com/#/playlist?id=2099302296,PurionPurion,https://music.163.com/#/user/home?id=62696289
适合创作时听的音乐,1587万,https://music.163.com/#/playlist?id=118467675,齊宣王啃牛角,https://music.163.com/#/user/home?id=2928531
世界级很好听的钢琴曲纯音乐（经典不朽）,1411万,https://music.163.com/#/playlist?id=2155516628,奶泡森想吃奶昔,https://music.163.com/#/user/home?id=1396179430
钢琴与鼓点 | 极致经典 入坑必听,1317万,https://music.163.com/#/playlist?id=130619526,-云端有风,https://music.163.com/#/user/home?id=106819751
