歌单名称,播放量,歌单链接,用户名称,用户链接
「开 车 必 备 ★ EA7」,1138万,https://music.163.com/#/playlist?id=124162247,Play6oy,https://music.163.com/#/user/home?id=85709798
「抖 腿 系 列 ♪必备」,735万,https://music.163.com/#/playlist?id=366013063,Play6oy,https://music.163.com/#/user/home?id=85709798
雷鬼精选，节奏控必收,564万,https://music.163.com/#/playlist?id=61989040,NinaBeatport,https://music.163.com/#/user/home?id=36545940
Moombahton：异域风情的Drop最强音,527万,https://music.163.com/#/playlist?id=2069998416,玫瑰王Urban,https://music.163.com/#/user/home?id=564037011
hip hop 西海岸经典黑人、匪帮说唱,447万,https://music.163.com/#/playlist?id=2279669014,Mijinyan,https://music.163.com/#/user/home?id=93425285
在Bape播放的音乐,385万,https://music.163.com/#/playlist?id=732199289,橫洲零号,https://music.163.com/#/user/home?id=74682029
「欧 美 女 声 ♪私藏」,343万,https://music.163.com/#/playlist?id=141875060,Play6oy,https://music.163.com/#/user/home?id=85709798
雷鬼唱片行 | 让你情不自禁的摇摆音乐,322万,https://music.163.com/#/playlist?id=6642310978,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
霓虹暖風：日本雷鬼音樂祭典,284万,https://music.163.com/#/playlist?id=463226712,RUNRAKIM,https://music.163.com/#/user/home?id=69622016
[bgm]耳熟的神级bgm,270万,https://music.163.com/#/playlist?id=832629668,一美是法鲨的,https://music.163.com/#/user/home?id=431844783
雷击顿唱片行 | 让你扭动身体的异域节奏,266万,https://music.163.com/#/playlist?id=6700242542,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
【雷鬼节拍♫】随性自由 慵懒律动,233万,https://music.163.com/#/playlist?id=328124480,KFM981,https://music.163.com/#/user/home?id=37316751
节奏控｜雷鬼流行风律动小调,230万,https://music.163.com/#/playlist?id=875036391,凯蒂肥狸,https://music.163.com/#/user/home?id=539282177
【海口】 2023精选、前场电子系列,222万,https://music.163.com/#/playlist?id=917417157,海口DJ小七,https://music.163.com/#/user/home?id=107811315
Eli halik nahxiliri 伊犁民歌,214万,https://music.163.com/#/playlist?id=570211610,丁当_Nice,https://music.163.com/#/user/home?id=249290808
听说你在找火影 ' BGM,190万,https://music.163.com/#/playlist?id=2474250779,Soft_L_,https://music.163.com/#/user/home?id=491637516
雷鬼音乐·精神麻醉致幻剂【收藏版】,189万,https://music.163.com/#/playlist?id=781492315,至尊宝_归来吧,https://music.163.com/#/user/home?id=286395532
强迫症踩鼓点跑步歌单,189万,https://music.163.com/#/playlist?id=2888091075,雅图西阁,https://music.163.com/#/user/home?id=1489443321
粤语Rap hiphop说唱正到爆（精品靓货）,187万,https://music.163.com/#/playlist?id=932763976,AKA够胆死,https://music.163.com/#/user/home?id=424155026
Supreme店内BGM,187万,https://music.163.com/#/playlist?id=928112572,帐号已注销,https://music.163.com/#/user/home?id=175190
轻快与摇摆 | 唤醒耳朵的雷鬼乐,184万,https://music.163.com/#/playlist?id=2052518648,如花一般绽放丶,https://music.163.com/#/user/home?id=50430012
|雷鬼| 听说你这个人很Slay ？,182万,https://music.163.com/#/playlist?id=811759678,-TRTan-,https://music.163.com/#/user/home?id=59410768
高低音炮炸耳机专用,181万,https://music.163.com/#/playlist?id=953760890,叶尔呐呐呐,https://music.163.com/#/user/home?id=301637414
国人雷鬼 Ι 探索不拘一格的玩性洒脱,153万,https://music.163.com/#/playlist?id=2143660964,仲冬二二,https://music.163.com/#/user/home?id=499915181
【节奏很骚 】♪ 罗马尼亚舞曲 ❤,151万,https://music.163.com/#/playlist?id=86938236,UMiD_节奏疯,https://music.163.com/#/user/home?id=44434102
常用拉丁舞曲 恰恰,146万,https://music.163.com/#/playlist?id=310215981,丹丹丹木,https://music.163.com/#/user/home?id=51150773
小丑狂野Trap、dubstep释放你的野性,142万,https://music.163.com/#/playlist?id=694395547,账号以注销___,https://music.163.com/#/user/home?id=423937206
绝世女声 Adele 阿黛尔 臻选,137万,https://music.163.com/#/playlist?id=7688984,月箫人kK,https://music.163.com/#/user/home?id=1619930
B E A U T E,137万,https://music.163.com/#/playlist?id=5233247784,优点冬,https://music.163.com/#/user/home?id=1754869256
灵魂雷鬼 | 感受来自牙买加的摇摆节奏,136万,https://music.163.com/#/playlist?id=2286338281,云音乐VIP,https://music.163.com/#/user/home?id=1452176465
