歌单名称,播放量,歌单链接,用户名称,用户链接
韩系私人订制 | 最懂你的韩系推荐 每日更新35首,4548万,https://music.163.com/#/playlist?id=2829920189,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
韩语 | 前奏跪 × 开口脆,2512万,https://music.163.com/#/playlist?id=574982991,迟到情书,https://music.163.com/#/user/home?id=330932370
请回答1988 电视剧原声,1915万,https://music.163.com/#/playlist?id=1983872197,鹿丸不会多项式,https://music.163.com/#/user/home?id=99204448
韩国女团神曲集,1519万,https://music.163.com/#/playlist?id=2110198442,白豫彬的小甜歌,https://music.163.com/#/user/home?id=1377394984
适合跳舞的韩式歌曲（女团&女solo）,1246万,https://music.163.com/#/playlist?id=513780437,叮咚你有一份爱意请查收,https://music.163.com/#/user/home?id=273929855
超甜韩语歌[sweet],1145万,https://music.163.com/#/playlist?id=2482734345,晚安了小狗_,https://music.163.com/#/user/home?id=1538064497
一周韩语上新 | ATEEZ携第9张迷你专辑强势回归,1115万,https://music.163.com/#/playlist?id=2859291447,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
一周韩语上新 | ATEEZ携第9张迷你专辑强势回归,1115万,https://music.163.com/#/playlist?id=2859291447,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
超好听的韩语歌单/开口跪,1061万,https://music.163.com/#/playlist?id=4926646134,饭圈卡拉米,https://music.163.com/#/user/home?id=1356181931
性感马儿金泫雅,1028万,https://music.163.com/#/playlist?id=2282422514,我的小猫不见了o,https://music.163.com/#/user/home?id=450140621
IU丨清新音色的温柔,1000万,https://music.163.com/#/playlist?id=2429929844,-游手大仙,https://music.163.com/#/user/home?id=119754445
(清新)甜甜的韩语歌,935万,https://music.163.com/#/playlist?id=433958569,syxyyqx,https://music.163.com/#/user/home?id=247626791
带上耳机 | 不化妆出门也能横着走,886万,https://music.163.com/#/playlist?id=4985991066,碓冰拓海,https://music.163.com/#/user/home?id=41819436
韩甜 | 众生皆苦 唯有你是草莓味,878万,https://music.163.com/#/playlist?id=477926941,迟到情书,https://music.163.com/#/user/home?id=330932370
