歌单名称,播放量,歌单链接,用户名称,用户链接
【健身运动】必备单曲,8378万,https://music.163.com/#/playlist?id=115900031,零下Young,https://music.163.com/#/user/home?id=54278024
我们出发吧 | 早 这是今日出发路上的音乐早餐,7480万,https://music.163.com/#/playlist?id=2829807251,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
变身精致女孩化妆时听的歌,7259万,https://music.163.com/#/playlist?id=573739465,肉嘟嘟的小海疼,https://music.163.com/#/user/home?id=265607107
下班听我的 | 打工人又度过了一天 下班快乐,6973万,https://music.163.com/#/playlist?id=3072883579,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
车载DJ中文歌单,6875万,https://music.163.com/#/playlist?id=736760407,龙少DJ音乐,https://music.163.com/#/user/home?id=428708102
永远听不腻的英文歌,6408万,https://music.163.com/#/playlist?id=46437175,341138,https://music.163.com/#/user/home?id=36296730
劲爆DJ中文曲,4989万,https://music.163.com/#/playlist?id=2497341987,你与秋风皆是客,https://music.163.com/#/user/home?id=428075329
EA7最棒的抖腿车载,4989万,https://music.163.com/#/playlist?id=462106637,车臣党Muz,https://music.163.com/#/user/home?id=283179749
【车载】咚鼓热曲，开启耳畔新世界！,4940万,https://music.163.com/#/playlist?id=2633412953,一个出场自带BGM的男孩,https://music.163.com/#/user/home?id=122795476
比酒驾，醉驾更危险的是电驾！,4652万,https://music.163.com/#/playlist?id=93444370,秋名山电驾老司机,https://music.163.com/#/user/home?id=63241633
车载奢靡享受Deep House深度灵魂慢摇,4610万,https://music.163.com/#/playlist?id=134839472,Universal-EDM环球电子,https://music.163.com/#/user/home?id=93601798
车载DJ 老歌加DJ,4246万,https://music.163.com/#/playlist?id=4879493801,野少呀,https://music.163.com/#/user/home?id=3230465757
车载嗨曲 开车靠的是感觉 不是眼睛,4194万,https://music.163.com/#/playlist?id=2128560894,Radio-Music,https://music.163.com/#/user/home?id=578726959
车载DJ｜音乐中文串烧加旋律版,3217万,https://music.163.com/#/playlist?id=2367172910,LIUNSK,https://music.163.com/#/user/home?id=468928375
粤语经典老歌【好听到发疯，一次爱够】,3107万,https://music.163.com/#/playlist?id=2459826936,继续趴着数蚂蚁,https://music.163.com/#/user/home?id=573114106
网易最全999+的车载电音,3039万,https://music.163.com/#/playlist?id=447177059,Universal-EDM环球电子,https://music.163.com/#/user/home?id=93601798
一路向北，百毒不侵。,2838万,https://music.163.com/#/playlist?id=2000607569,天神下凡V5,https://music.163.com/#/user/home?id=20046508
低沉鼓点，极致低音享受 「车载」,2789万,https://music.163.com/#/playlist?id=465389876,别让年轻的感觉消失,https://music.163.com/#/user/home?id=34656863
炸车必备，易上头！（不定时更新）,2734万,https://music.163.com/#/playlist?id=458945175,周不懒_,https://music.163.com/#/user/home?id=329027386
3D立体环绕曲·耳机专享···网易环绕音乐全录,2580万,https://music.163.com/#/playlist?id=555652264,山语溪,https://music.163.com/#/user/home?id=134914495
没Bose不配炸耳机的Subwoofer,2425万,https://music.163.com/#/playlist?id=5210003505,小豪不吃肉,https://music.163.com/#/user/home?id=1851639982
朗朗入耳的歌曲｜中文DJ版｜音魂不散,2425万,https://music.163.com/#/playlist?id=2399099637,借風擁妳,https://music.163.com/#/user/home?id=475273307
Beautiful Now【音乐的力量·电音】,2324万,https://music.163.com/#/playlist?id=2050976156,Damons_Xsw,https://music.163.com/#/user/home?id=249821273
追忆经典8090 ，每一首歌都有一个故事！,2314万,https://music.163.com/#/playlist?id=5350929962,哈儿憨胖,https://music.163.com/#/user/home?id=1912007660
『电驾』比酒驾更危险的是电驾,2292万,https://music.163.com/#/playlist?id=2032139172,SoonTi,https://music.163.com/#/user/home?id=100528112
精选蹦迪车载硬核神曲【Phonk/Remix合集】,2247万,https://music.163.com/#/playlist?id=2233842197,我去你69哇,https://music.163.com/#/user/home?id=1444186882
【车载】开车犯困必听中文老歌dj,2222万,https://music.163.com/#/playlist?id=2989795136,雷碧dj,https://music.163.com/#/user/home?id=361994077
〖车载重低音〗歌有了，就差车了,2201万,https://music.163.com/#/playlist?id=411919237,一个出场自带BGM的男孩,https://music.163.com/#/user/home?id=122795476
『加州公路』皮卡夕阳与微风，生活不止苟且,2154万,https://music.163.com/#/playlist?id=560609382,帐号已注销,https://music.163.com/#/user/home?id=136287087
BBA专供-电驾(持续更新),2113万,https://music.163.com/#/playlist?id=619169084,品味無期,https://music.163.com/#/user/home?id=343081606
公路之歌 | 在路上 你需要一首公路之歌,2056万,https://music.163.com/#/playlist?id=5089862808,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
保时捷内部超跑俱乐部(持续更新),1995万,https://music.163.com/#/playlist?id=957285426,痞老板爱吃蟹黄堡_,https://music.163.com/#/user/home?id=307099142
欧美系百听不厌的神曲「节奏控精选」,1889万,https://music.163.com/#/playlist?id=60378509,lightsV,https://music.163.com/#/user/home?id=53959383
你要的激烈驾驶感！高强节奏【车载音乐】,1880万,https://music.163.com/#/playlist?id=74477909,HelloB007,https://music.163.com/#/user/home?id=69413167
驾车电音专属 | 低频节奏 迸发速度激情,1879万,https://music.163.com/#/playlist?id=6732127153,云音乐官方歌单,https://music.163.com/#/user/home?id=1463586082
很上头很嗨 节奏感 车载蹦迪,1831万,https://music.163.com/#/playlist?id=924880007,狂野又迷人g,https://music.163.com/#/user/home?id=308009371
车载DJ 好听到爆,1814万,https://music.163.com/#/playlist?id=2693042904,果粒熊_-,https://music.163.com/#/user/home?id=563976931
听了绝不后悔的[中文DJ热曲],1780万,https://music.163.com/#/playlist?id=2582958257,深海里的路人鱼,https://music.163.com/#/user/home?id=1500670426
马上进村了，车窗摇下，声音调到最大,1777万,https://music.163.com/#/playlist?id=2727632062,中国单身狗协会会长CSCA,https://music.163.com/#/user/home?id=255365498
【车载 自嗨 抖腿】能嗨翻你！,1755万,https://music.163.com/#/playlist?id=2021082837,连你也要当rap,https://music.163.com/#/user/home?id=542742599
『驾车必备』车载｜抖腿｜解压,1745万,https://music.163.com/#/playlist?id=2122160585,李半知,https://music.163.com/#/user/home?id=290932780
先上DJ先上DJ【土到极致就是嗨】,1686万,https://music.163.com/#/playlist?id=2651673485,舒了一口气c,https://music.163.com/#/user/home?id=1426317247
车载系【二】炸街必备,1669万,https://music.163.com/#/playlist?id=719257027,温柔且器,https://music.163.com/#/user/home?id=318009626
打游戏必备歌曲 | 超燃,1657万,https://music.163.com/#/playlist?id=3102431204,狂拽瘸子那条好腿H,https://music.163.com/#/user/home?id=2052280489
马上进村了，车窗摇下来,1634万,https://music.163.com/#/playlist?id=3029251622,舒了一口气c,https://music.163.com/#/user/home?id=1426317247
『蹦迪 车载 抖腿』车窗摇下，声音调到最大,1607万,https://music.163.com/#/playlist?id=2920482915,把晗写进诗里,https://music.163.com/#/user/home?id=1421660828
撞击心脏的顶级重磅电音（心脏病者勿听）,1594万,https://music.163.com/#/playlist?id=4780891,色域无界,https://music.163.com/#/user/home?id=735748
电驾|车载|抖腿|必备！（段友回家）¿,1575万,https://music.163.com/#/playlist?id=587903031,李半知,https://music.163.com/#/user/home?id=290932780
车载DJ中文【油门踩碎准备起飞】精选DJ,1511万,https://music.163.com/#/playlist?id=2785616129,ZMR-张小瑞,https://music.163.com/#/user/home?id=1610113643
『车载』拒绝7妹虞姬精神氮泵,1484万,https://music.163.com/#/playlist?id=306859189,SoonTi,https://music.163.com/#/user/home?id=100528112
车载咚鼓DJ夜店蹦迪电音慢摇,1375万,https://music.163.com/#/playlist?id=2635689048,J1-ANG,https://music.163.com/#/user/home?id=389449604
车载|抖腿必备,1360万,https://music.163.com/#/playlist?id=3226914092,AJKLF,https://music.163.com/#/user/home?id=383062662
TurboWinner涡轮必胜（精品车载）,1345万,https://music.163.com/#/playlist?id=404081720,TurboWinner涡轮必胜,https://music.163.com/#/user/home?id=60828916
"草原歌曲100首,珍藏纪念合辑,朋友们一起聆",1319万,https://music.163.com/#/playlist?id=731376132,华雨静,https://music.163.com/#/user/home?id=11479664
抖腿 | 刷题必听电音(无人声),1306万,https://music.163.com/#/playlist?id=465992653,绿雾绕青苔,https://music.163.com/#/user/home?id=290038122
【黑帮】出场专用BGM,1299万,https://music.163.com/#/playlist?id=4929129581,昨日皆是遗憾,https://music.163.com/#/user/home?id=1850930386
Phantom【匪帮重低音】,1286万,https://music.163.com/#/playlist?id=5197395650,BoushTinker,https://music.163.com/#/user/home?id=331355583
驾车必备｜比酒驾更危险的是嗨驾,1275万,https://music.163.com/#/playlist?id=596492605,CuiZuHao,https://music.163.com/#/user/home?id=366398619
【升起车窗 上高速】,1238万,https://music.163.com/#/playlist?id=2386787779,小陈只爱冰美式,https://music.163.com/#/user/home?id=313879400
我的车载音乐中文dj。,1203万,https://music.163.com/#/playlist?id=2492467414,一只魚l_3,https://music.163.com/#/user/home?id=621118881
【咚鼓DJ】经典流行歌曲,1172万,https://music.163.com/#/playlist?id=2940271016,ALLIN_MUSIC,https://music.163.com/#/user/home?id=339992396
"°重低音°验耳机""音响",1149万,https://music.163.com/#/playlist?id=651619539,Macdaddy-1FM,https://music.163.com/#/user/home?id=64912184
中文DJ(英文)(电摇版)(车载DJ)开车驾车必听,1096万,https://music.163.com/#/playlist?id=3188819446,小奶昔NO1,https://music.163.com/#/user/home?id=2062248936
适合晚上开车时听的英文歌,1075万,https://music.163.com/#/playlist?id=2560759924,决劣,https://music.163.com/#/user/home?id=345006167
「旅行」青藏线上的自驾游之旅精选歌单,1003万,https://music.163.com/#/playlist?id=2172911217,青藏线上的孤独骑手,https://music.163.com/#/user/home?id=85251521
超燃DJ（精选）,984万,https://music.163.com/#/playlist?id=3081563891,至尊黑-,https://music.163.com/#/user/home?id=1731020896
