歌曲名字,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,平均播放量
My Guiding Star,68,74,68,68,50,72,52,63,66,91,73,70,82,67,78,82,66,73,65,71,75,69,76,63,80,50,58,61,47,48,67
The Other Side Of Us,1370,1355,1348,1319,1398,1209,1324,1263,1413,1305,1337,1359,1469,1520,1467,1469,1250,1442,1272,1193,1221,1117,1096,1288,1188,1344,1071,1236,1240,1152,1301
Moving On,2008,1988,2045,2354,1849,1661,1740,1649,1998,2216,2266,1953,1730,1584,1929,3027,3233,3192,1633,1159,1167,1082,980,1064,1142,872,1048,803,888,851,1703
The Breeze Of Dusk,1318,1210,1429,1508,1342,1280,1365,1319,1579,1631,1605,1343,1480,1473,1576,1490,1525,1517,1499,1495,1457,1650,1792,1640,1433,1407,1418,1310,1266,1347,1456
Standing Still,201,186,235,249,199,223,232,202,223,323,7554,293,311,300,241,270,254,228,158,196,161,199,196,174,174,251,164,221,197,185,466
Fading Memories,1125,1175,1031,1219,1038,905,828,863,867,880,855,886,861,986,878,786,777,809,907,911,880,1128,944,1057,970,888,1023,973,803,891,938
Forest And Sunset,513,382,430,428,369,412,458,400,447,488,454,472,465,477,638,475,643,480,430,510,465,419,373,382,373,394,395,367,454,396,446
The Whisper Of Galaxy,2158,1915,2050,2103,2021,1944,1834,1945,2067,2203,2229,2026,2181,2248,2220,1825,1743,1904,1914,2009,1981,1894,1801,1665,1980,1796,1813,1568,1603,1622,1942
Chilly Nights,50,69,49,68,52,69,77,94,70,78,80,63,63,79,74,61,64,58,62,65,66,58,79,46,63,62,70,59,43,60,65
Everything Flows,155,154,304,199,138,175,142,138,187,272,245,160,188,178,164,163,171,152,168,169,161,216,191,158,191,152,172,149,143,172,177
Summer Story,90,92,110,122,97,228,133,118,127,129,117,110,119,123,109,117,127,114,131,141,142,265,240,245,128,192,275,124,96,94,141
As Time Goes By,171,168,159,200,165,298,289,185,215,224,333,170,181,205,164,233,275,173,216,208,342,219,186,171,208,190,197,180,157,170,208
