日期,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23
My Guiding Star,0.04,0.12,0.03,0.03,0,0.03,0.04,0.05,0.09,0.25,0.06,0.1,0.04,0.03,0.02,0.05,0.07,0.03,0.01,0,0.03,0.05,0.27,0.01,0.01,0.02,0.07,0.03,0.08,0.2
The Other Side Of Us,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
Moving On,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0.01,0.04,0.02,0,0,0,0,0,0,0.01
Breeze Of Dusk,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.01
Standing Still,0.01,0.04,0,0.01,0,0,0,0,0.01,0.07,0,0,0,0,0,0.18,0.06,0.01,0,0.01,0,0.01,0.11,0,0,0,0.02,0,0.03,0.04
Fading Memories,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
Forest And Sunset,0.24,0.01,0,0.06,0,0,0.01,0.04,0.03,0.05,0,0.03,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0,0,0.01,0,0.01,0.03
Chilly Nights,0.06,0.11,0.04,0.05,0,0.03,0.04,0.01,0.02,0.31,0.05,0.05,0.05,0.02,0.02,0.01,0.07,0,0,0,0.01,0.07,0.23,0,0,0,0.03,0.03,0.08,0.1
Everything Flows,0.05,0.06,0,0.02,0.03,0.03,0.04,0.01,0.03,0.07,0.02,0.05,0.01,0.01,0.03,0.04,0.01,0.03,0.01,0.03,0.02,0.03,0.11,0.01,0.01,0.01,0.01,0.02,0.06,0.06
The Whispher Of Galaxy,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
Summer Story,0.02,0.06,0.02,0.01,0,0,0.01,0.02,0.01,0.17,0.04,0.02,0.02,0,0.02,0.01,0.02,0.03,0.1,0.01,0,0.49,0.32,0.53,0.12,0.43,0.55,0.01,0.09,0.06
As Time Goes By,0.03,0.03,0.02,0.01,0,0,0,0,0.01,0.1,0.02,0.02,0.01,0.04,0.01,0,0,0,0,0,0,0.01,0.1,0,0,0,0.01,0.01,0.05,0.03
