playlist_name,playlist_contributing_factor,song_ranking,playlist_heat,trackcount,playlist_playcount
『海风味的纯音乐』微雨过，小荷翻,653,3,659.0,347,877765
极静氛围｜宁静的生活状态真的让人倍感舒适,0,22,1.0,40,24
清听治愈系纯音乐（高效刷题）,1261,24,1313.0,601,2012883
放空思绪 | 坠入钢琴海洋 安静舒缓无法自拔,663,19,1129.0,46,311017
舒缓安静 | 要把节奏放慢 生活是 爱也是,568,31,1743.0,46,424622
懂你的（纯音乐）,404,9,444.0,101,670297
轻音乐｜聆听心韵 心之所向 便是阳光,1087,6,1120.0,202,1328438
听起来很舒服的【纯音乐】放松心情必备,560,4,568.0,287,831245
钢琴曲（安静、流行、读书、安眠),5822,3,5886.0,277,8312398
✧ 适合看星星时听的歌 :）,6133,3,6247.0,165,10638862
极简主义 | 氛围纯音钢琴曲好听的到哭,369,22,820.0,40,312331
霍格沃茨自习室,1205,91,2175.0,204,4332514
解压 助眠 雨声 「睡觉专用」,2425,54,4351.0,122,6797735
