playlist_name,playlist_contributing_factor,song_ranking,playlist_heat,trackcount,playlist_playcount
刷题背书轻音乐（致正在努力的你）,12574,218,24757,443,47007372
「轻音乐」让心静下来的雨声助眠,3426,17,4781,60,2047362
［自习室］果味苏打般学习体验,2448,24,3047,122,3482924
「助眠轻音乐」无杂音舒适度°,2099,165,13645,195,25837070
高效｜写作业必备氛围歌单,1806,261,13027,303,11793185
【纯音】『适合做作业（或睡觉）的歌单』,1186,35,1232,934,2906535
轻音助眠，你需要睡一个好觉,610,112,1101,251,856252
纯音/刷题/助眠/放松/安静/治愈,445,389,3909,439,5522465
纯音乐-安静睡眠治愈收集,317,146,3619,160,6162058
【休息/学习】我们都将成为更好的自己,269,21,336,105,417701
蒲公英的约定 纯音乐,146,8,153,182,284044
时间之外的往事-静心向「睡前/学习」,103,563,658,667,1153685
雨之喏・纯音 | 停云霭霭、时雨濛濛,50,53,66,217,11002
杜绝瞌睡！学习也需要节奏感,37,17,95,28,34581
「失眠焦虑者」纯音乐｜缓解压力｜助眠,2,522,7,789,8936
「超助眠的轻音乐」安静、宁静°,0,139,0,155,24
钢琴 | 感受到孤独与平静,0,4,0,43,1
