playlist_name,song_ranking,trackcount,playcount,playlist_heat
［自习室］果味苏打般学习体验,24,122,3482924,3047.0
高效｜写作业必备氛围歌单,261,303,11793185,13027.0
蒲公英的约定 纯音乐,8,182,284044,153.0
【纯音】『适合做作业（或睡觉）的歌单』,35,934,2906535,1232.0
雨之喏・纯音 | 停云霭霭、时雨濛濛,53,217,11002,66.0
【休息/学习】我们都将成为更好的自己,21,105,417701,336.0
「轻音乐」让心静下来的雨声助眠,17,60,2047362,4781.0
「失眠焦虑者」纯音乐｜缓解压力｜助眠,522,789,8936,7.0
「超助眠的轻音乐」安静、宁静°,139,155,24,0.0
杜绝瞌睡！学习也需要节奏感,17,28,34581,95.0
时间之外的往事-静心向「睡前/学习」,563,667,1153685,658.0
纯音乐-安静睡眠治愈收集,146,160,6162058,3619.0
纯音/刷题/助眠/放松/安静/治愈,389,439,5522465,3909.0
「助眠轻音乐」无杂音舒适度°,165,195,25837070,13645.0
轻音助眠，你需要睡一个好觉,112,251,856252,1101.0
刷题背书轻音乐（致正在努力的你）,218,443,47007372,24757.0
钢琴 | 感受到孤独与平静,4,43,1,0.0
