playlist_name,song_ranking,trackcount,playcount,playlist_heat
钢琴独奏² | 似乎听见繁星正在坠落,37,217,48458,81.0
静心休息 舒服纯音乐,29,132,125566,200.0
|学习歌单| 用轻音乐抚慰浮躁的心.,238,437,14524172,11940.0
「轻音乐」让心静下来的雨声助眠,24,60,2047362,4781.0
高级感国纯 | 沉寂的繁星会在夜空泛起微光,21,102,182975,157.0
一个正经的写作业or复习歌单,215,621,8938028,6525.0
（纯音乐）日落归山海,688,904,124335,85.0
时间之外的往事-静心向「睡前/学习」,574,667,1153685,658.0
【纯音乐】够了，哭累了，该睡了,79,98,38,3.0
「纯音乐」静心 学习 思考...,20,129,13260977,9285.0
钢琴 | 它们都有着独一无二的故事,19,33,2,0.0
高效助学｜用往日苦难铺垫梦想路,53,85,2356265,4164.0
【睡觉专用】适合晚上安静听的纯音乐,3,134,53071572,26854.0
安静的下午【读书专用歌单】,92,314,71638,49.0
