playlist_name,song_ranking,trackcount,playcount,playlist_heat
唯美治愈系『纯音乐』-放松心情必备,25,255,2103642,975.0
写作业必备 纯音乐 浑浊的世间需要温柔,30,292,20151154,13486.0
|学习歌单| 用轻音乐抚慰浮躁的心.,286,437,14524172,11940.0
「学习专用轻音乐」提升专注力 高效学习,129,230,108208,81.0
[纯音乐]适合写作业时听的歌,4,477,1896655,1537.0
高级感国纯 | 沉寂的繁星会在夜空泛起微光,52,102,182975,157.0
安静纯音乐「学习/阅读/午休」,33,52,425084,291.0
唯纯音，美食与爱不可辜负～,27,765,5047,1.0
写作业必备歌单（清新，醒脑，静心）,644,866,4578888,3069.0
【高效学习&赶作业】纯音乐,196,520,1628303,1386.0
时间之外的往事-静心向「睡前/学习」,590,667,1153685,658.0
静心学习「钢琴曲」,246,290,1457485,959.0
轻音乐|抄书写作业必备,279,528,210477,357.0
学习歌单‖极静轻音乐01,272,521,105043376,73744.0
学习丨阅读丨刷题丨背书集中注意力轻音乐,300,553,888424,2331.0
【钢琴曲】献给你 以极致温柔,13,42,136458,47.0
刷题背书轻音乐（致正在努力的你）,228,443,47007372,24757.0
学习歌单‖极静轻音乐01,340,569,34623,118.0
