playlist_contributing_factors,estimated_play_count
3551,358
598,60
275,28
7657,326
1931,82
443,19
394,17
245,10
235,10
26,1
4,0
2,0
12574,717
3426,195
2448,140
2099,120
1806,103
1186,68
610,35
445,25
317,18
269,15
146,8
103,6
50,3
37,2
2,0
0,0
0,0
26253,701
7845,209
5437,145
4266,114
2869,77
1568,42
156,4
125,3
92,2
67,2
35,1
20,1
1,0
0,0
35244,988
12100,339
12015,337
4126,116
1524,43
1066,30
879,25
864,24
787,22
168,5
146,4
106,3
77,2
76,2
47,1
36,1
32,1
1,0
629,65
2082,792
185,70
109,41
41,16
20,8
13,5
10,4
6,2
6133,494
5822,469
2425,195
1261,102
1205,97
1087,88
663,53
653,53
568,46
560,45
404,33
369,30
0,0
12127,134
1262,14
1017,11
1010,11
655,7
13636,197
607,9
133,2
7049,61
652,6
